acquisition_order,location,location_order,instrument_scan_number,source,map_start_time,map_end_time,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,measured_gap_speed_um_per_s,variant,baseline_method,dmin_nm,dmax_nm,safe_dmin_nm,detected_snap_max_nm,detected_snap_median_nm,snap_detected_pixels,minimum_pixels_per_fitted_bin,noise_floor_pN,hydro_speed_um_s,no_slip_correction_applied_to_pixels,lambda_D_apparent_nm,surface_potential_magnitude_apparent_mV,baseline_pN,r2,residual_rmse_pN,weighted_sse,soft_l1_cost,optimizer_success,optimizer_nfev,jacobian_rank,normalized_jacobian_condition,local_log_lambda_scale,local_log_potential_scale,local_lambda_potential_correlation,local_scale_interpretation,fit_quality_pass,quality_flags,n_points,force_signal_pN,two_start_costs,data_speed_groups,zero_speed_extrapolated,model,probe_radius_um,temperature_model_C
1,A,1,5,10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,0.0,2.0,1.9685219831883085,primary,linear_drift_corrected,150.0,250.0,150.0,139.2698155324957,8.923567234632015,54,64,3.0,0.0,False,90.63652590638249,26.060529358063146,-15.660821691462147,0.9538718807649059,1.9079099656939453,0.016512612398273254,0.008251943112542293,True,51,3,40.56871264921484,7.468536343375096,1.2759158677128521,0.7393724308811845,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,21,29.91964432949491,0.00825194311;0.0083120697,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
2,A,2,6,10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,2026-09-10T13:23:01.584000+02:00,2026-09-10T13:25:10.820000+02:00,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,0.9843516830615893,primary,linear_drift_corrected,25.0,250.0,25.0,12.896634284798505,8.9130802891754,57,64,3.0,0.0,False,38.347095886601814,39.09412179135512,16.44933001208345,0.9685026300598687,28.655431555125777,1.805976190873053,0.8723826669189783,True,18,3,4.156847135634885,0.0943059724495328,0.04722388625926532,-0.597195159850788,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,691.5118406504166,0.872382667;0.872382667,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
3,A,3,7,10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,2026-09-10T13:28:51.815000+02:00,2026-09-10T13:29:25.130000+02:00,2026-09-10T13:29:08.472500+02:00,8.748166666666666,4.0,3.9392611017175154,primary,linear_drift_corrected,25.0,250.0,25.0,14.103071923392356,8.328219770845266,46,64,3.0,0.0,False,37.96662438604686,38.399321531592605,10.874357738021336,0.9806820180658199,20.994737384712113,1.3330142198224686,0.650774293631883,True,30,3,3.763101241568924,0.10404510448111573,0.046849024485080604,-0.5355711359260609,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,636.1152041223413,0.650774295;0.650774294,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
4,A,4,8,10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,2026-09-10T13:31:44.500000+02:00,2026-09-10T13:32:17.816000+02:00,2026-09-10T13:32:01.158000+02:00,11.626258333333334,4.0,3.940914791787354,primary,linear_drift_corrected,25.0,250.0,25.0,14.166600290043327,9.064139947711372,43,64,3.0,0.0,False,36.325829951509704,38.96028590202619,3.5267183992986335,0.9819525395237376,21.06537328372029,1.8137883474821646,0.8820563541671047,True,17,3,3.7456414292439573,0.09464570035782795,0.04533175484819538,-0.5491898414539926,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,664.5136315588603,0.882056354;0.882056354,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
5,A,5,9,10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,2026-09-10T13:34:12.107000+02:00,2026-09-10T13:36:21.383000+02:00,2026-09-10T13:35:16.745000+02:00,14.886041666666667,1.0,0.9848614761320538,primary,linear_drift_corrected,25.0,250.0,25.0,14.726186510374577,9.236570947018564,46,64,3.0,0.0,False,36.97479497251466,39.69089340977832,3.9920702793077485,0.9889275385629999,16.57232061206153,0.6846547092008808,0.33746424574641876,True,8,3,3.826965289212551,0.10444623252707716,0.04893173450880494,-0.5617812784698788,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,656.1294057304965,0.337464246;0.337491699,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
6,A,6,10,10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,2026-09-10T13:38:35.524000+02:00,2026-09-10T13:39:40.828000+02:00,2026-09-10T13:39:08.176000+02:00,18.743225,2.0,1.9700085263745484,primary,linear_drift_corrected,20.0,250.0,20.0,12.394675284555992,8.96114589379448,39,64,3.0,0.0,False,36.72701808000833,38.83978218869349,4.657102844979084,0.9679459034270917,31.93728695291736,1.5557807586813341,0.7483716790664818,True,22,3,3.4451166741049852,0.10761965513450253,0.04717002576365973,-0.47861021341716276,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,47,769.1503526911524,0.748371688;0.748371679,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
7,A,7,11,10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,2026-09-10T13:42:56.599000+02:00,2026-09-10T13:45:05.865000+02:00,2026-09-10T13:44:01.232000+02:00,23.627491666666668,1.0,0.9854226347428373,primary,linear_drift_corrected,25.0,250.0,25.0,13.289733657221618,8.259697216197758,43,64,3.0,0.0,False,38.940420553724444,39.036791653870026,-2.044182279562941,0.9821114340340436,20.319663004709138,0.8047170015277715,0.39245904527172204,True,16,3,3.557614123566038,0.11817872198014166,0.050180014596412706,-0.43680683507457907,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,639.3150574036546,0.392459045;0.392459045,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
8,A,8,12,10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,2026-09-10T13:47:12.986000+02:00,2026-09-10T13:47:46.301000+02:00,2026-09-10T13:47:29.643500+02:00,27.101016666666666,4.0,3.940859585508959,primary,linear_drift_corrected,20.0,250.0,20.0,10.870605816539088,7.913474692750897,34,64,3.0,0.0,False,37.35619700676475,39.6632292619647,4.201289929273005,0.972294184161276,30.381172006976104,1.815999466102983,0.8789204240398387,True,17,3,3.440981209896171,0.09617127846364676,0.04177504194100328,-0.42438320016478565,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,47,785.9668851231779,0.878920424;0.878920424,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
9,A,9,13,10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,2026-09-10T13:51:22.029000+02:00,2026-09-10T13:52:27.332000+02:00,2026-09-10T13:51:54.680500+02:00,31.5183,2.0,1.9719137395756543,primary,linear_drift_corrected,25.0,250.0,25.0,13.229260300427322,8.103042692153604,36,64,3.0,0.0,False,38.32386911175933,38.403418269953235,-2.878521500159826,0.9862675448481979,17.2749880712785,0.6785949513663082,0.33273900882412155,True,8,3,3.6249423358201667,0.10975019753807533,0.0475072272443826,-0.5089097656491927,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,609.2041111128472,0.332739009;0.332739009,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
10,A,10,14,10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,2026-09-10T13:55:28.787000+02:00,2026-09-10T13:56:34.083000+02:00,2026-09-10T13:56:01.435000+02:00,35.630874999999996,2.0,1.9726336279791,primary,linear_drift_corrected,20.0,250.0,20.0,12.074126133847948,8.369147745621706,36,64,3.0,0.0,False,35.90578419466963,38.769266323181526,-2.6277414198632822,0.9795747409724463,24.60643122604348,0.7131983618315159,0.3489800366135525,True,7,3,3.2425381373822906,0.13388587548224554,0.06214985588103471,-0.4712965155019951,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,47,745.8429484864934,0.348980037;0.348980037,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
11,A,11,15,10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,2026-09-10T13:59:45.901000+02:00,2026-09-10T14:00:19.214000+02:00,2026-09-10T14:00:02.557500+02:00,39.64958333333333,4.0,3.9453950828688007,primary,linear_drift_corrected,25.0,250.0,25.0,13.529397833081228,8.47098978331628,39,64,3.0,0.0,False,35.737445614851076,37.641719709088136,0.07192253722628529,0.9880805791298616,15.678653482331862,0.9711350262984365,0.477364546922588,True,14,3,3.4631789588176933,0.10551698513292877,0.0500849652257169,-0.5140137534508031,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,593.0625976246649,0.477364547;0.477364547,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
12,A,12,16,10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,2026-09-10T14:03:53.052000+02:00,2026-09-10T14:06:02.308000+02:00,2026-09-10T14:04:57.680000+02:00,44.56829166666667,1.0,0.9867888690527282,primary,linear_drift_corrected,25.0,250.0,25.0,15.068520630781432,9.36500012755422,44,64,3.0,0.0,False,36.74119612110136,38.343888590332256,-1.0065254877377112,0.9947536279066115,10.374974802379114,0.2997414308368395,0.14899771751824242,True,17,3,3.3866727611565346,0.15888699653317373,0.06534624927135696,-0.4778312335526977,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,587.5826572886795,0.148997718;0.148997718,1,False,nonlinear_pb_derjaguin,4.546848945303745,25.6
