acquisition_order,location,location_order,instrument_scan_number,variant,distance_nm,predicted_force_pN
1,A,1,5,primary,150.0,30.216376086868223
1,A,1,5,primary,155.0,28.10847365602551
1,A,1,5,primary,160.0,26.05368695420413
1,A,1,5,primary,165.0,24.08796715702924
1,A,1,5,primary,170.0,22.215677711052756
1,A,1,5,primary,175.0,20.385741635265106
1,A,1,5,primary,180.0,18.685182798162835
1,A,1,5,primary,185.0,17.02276158846592
1,A,1,5,primary,190.0,15.444481453341293
1,A,1,5,primary,195.0,13.93846819323402
1,A,1,5,primary,200.0,12.475661079326848
1,A,1,5,primary,205.0,11.114992991112075
1,A,1,5,primary,210.0,9.786594108656342
1,A,1,5,primary,215.0,8.534725271513537
1,A,1,5,primary,220.0,7.336760411711584
1,A,1,5,primary,225.0,6.180501125635242
1,A,1,5,primary,230.0,5.10263771906526
1,A,1,5,primary,235.0,4.051547365921184
1,A,1,5,primary,240.0,3.0681035670532637
1,A,1,5,primary,245.0,2.123609827225536
1,A,1,5,primary,250.0,1.2177790663511097
1,A,1,5,constant_baseline,150.0,36.20658826949652
1,A,1,5,constant_baseline,155.0,33.03968593042461
1,A,1,5,constant_baseline,160.0,30.13956940255138
1,A,1,5,constant_baseline,165.0,27.485388788771246
1,A,1,5,constant_baseline,170.0,25.057677482568916
1,A,1,5,constant_baseline,175.0,22.838299649582545
1,A,1,5,constant_baseline,180.0,20.81039241895295
1,A,1,5,constant_baseline,185.0,18.958304622564057
1,A,1,5,constant_baseline,190.0,17.26753356536722
1,A,1,5,constant_baseline,195.0,15.7246610157744
1,A,1,5,constant_baseline,200.0,14.317289361268362
1,A,1,5,constant_baseline,205.0,13.03397867234828
1,A,1,5,constant_baseline,210.0,11.8641852506362
1,A,1,5,constant_baseline,215.0,10.79820209859086
1,A,1,5,constant_baseline,220.0,9.827101634014916
1,A,1,5,constant_baseline,225.0,8.942680878446302
1,A,1,5,constant_baseline,230.0,8.137409304046743
1,A,1,5,constant_baseline,235.0,7.406704606385724
1,A,1,5,constant_baseline,240.0,6.741514829885277
1,A,1,5,constant_baseline,245.0,6.136089400105802
1,A,1,5,constant_baseline,250.0,5.5851638135799915
1,A,1,5,lower_plus_10nm,160.0,24.308750233978927
1,A,1,5,lower_plus_10nm,165.0,22.768939177222983
1,A,1,5,lower_plus_10nm,170.0,21.278928162392432
1,A,1,5,lower_plus_10nm,175.0,19.78859003852388
1,A,1,5,lower_plus_10nm,180.0,18.314125447320116
1,A,1,5,lower_plus_10nm,185.0,16.905935751593013
1,A,1,5,lower_plus_10nm,190.0,15.497512869149567
1,A,1,5,lower_plus_10nm,195.0,14.100890664847121
1,A,1,5,lower_plus_10nm,200.0,12.77399161866574
1,A,1,5,lower_plus_10nm,205.0,11.446921887882084
1,A,1,5,lower_plus_10nm,210.0,10.12755706019204
1,A,1,5,lower_plus_10nm,215.0,8.880598680815183
1,A,1,5,lower_plus_10nm,220.0,7.633512510657141
1,A,1,5,lower_plus_10nm,225.0,6.390137755665904
1,A,1,5,lower_plus_10nm,230.0,5.221126772822416
1,A,1,5,lower_plus_10nm,235.0,4.052018225305268
1,A,1,5,lower_plus_10nm,240.0,2.882822559542113
1,A,1,5,lower_plus_10nm,245.0,1.7892721690867788
1,A,1,5,lower_plus_10nm,250.0,0.6956460083364249
1,A,1,5,common_150_250nm,150.0,30.216376086868223
1,A,1,5,common_150_250nm,155.0,28.10847365602551
1,A,1,5,common_150_250nm,160.0,26.05368695420413
1,A,1,5,common_150_250nm,165.0,24.08796715702924
1,A,1,5,common_150_250nm,170.0,22.215677711052756
