acquisition_order,location,location_order,instrument_scan_number,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,baseline_method,distance_nm,force_median_pN,pixel_spread_mad_pN,fit_weight_scale_pN,pixel_count,safe_dmin_nm,detected_snap_max_nm
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,5.0,1253.243151088855,673.4299275240425,673.4299275240425,62,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,10.0,1305.4140499996406,778.2803535082551,778.2803535082551,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,15.0,1023.6216630690058,524.7568372461295,524.7568372461295,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,20.0,807.560636961741,377.783935113941,377.783935113941,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,25.0,666.9467506268876,283.6332177890654,283.6332177890654,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,30.0,558.9394340095015,251.36591379248503,251.36591379248503,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,35.0,482.1867064647886,208.01193324752657,208.01193324752657,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,40.0,408.12223675635107,180.31876132085284,180.31876132085284,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,45.0,363.756612141366,150.59824913418544,150.59824913418544,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,50.0,319.2732133883412,139.53098815374713,139.53098815374713,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,55.0,280.22883890870906,134.26657745585788,134.26657745585788,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,60.0,248.05975294317852,122.35639355122099,122.35639355122099,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,65.0,216.5172625606858,115.91328397907186,115.91328397907186,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,70.0,204.87799296636234,104.53518841307884,104.53518841307884,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,75.0,179.46628699691723,103.60722546504205,103.60722546504205,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,80.0,163.80103255876622,97.03274083240176,97.03274083240176,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,85.0,142.88774766386322,100.12749618643343,100.12749618643343,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,90.0,128.6290253227046,85.7807829079353,85.7807829079353,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,95.0,112.87193522646658,96.60201720928721,96.60201720928721,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,100.0,100.83834478422719,84.58798491180274,84.58798491180274,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,105.0,89.11868421456316,89.27221608517408,89.27221608517408,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,110.0,84.6479197621855,85.00778139502533,85.00778139502533,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,115.0,72.27553424569078,90.39217669693593,90.39217669693593,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,120.0,67.59576341149568,83.49358149614953,83.49358149614953,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,125.0,55.619237223789014,84.63092411799161,84.63092411799161,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,130.0,53.87421766041163,79.86451276684068,79.86451276684068,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,135.0,47.90395616748967,73.13589357690563,73.13589357690563,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,140.0,44.25229436007274,79.63626425088633,79.63626425088633,64,150.0,139.2698155324957
1,A,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear_drift_corrected,145.0,31.808204329697197,83.52199367833511,83.52199367833511,64,150.0,139.2698155324957
