location,location_order,instrument_scan_number,point_index,gap_speed_um_per_s,far_sample_count,far_distance_min_nm,far_distance_max_nm,hydro_far_line_slope_pN_per_nm,hydro_far_line_intercept_pN
A,1,5,0,1.9769155738602426,200,712.8397384824871,911.6094391588838,-0.001037717476979807,1.6824040852198454
A,1,5,1,1.977678608870434,197,701.8043103320475,895.7459197905663,-0.0010706396260544027,1.7092183927966755
A,1,5,2,1.971705255517478,200,713.8710793735346,910.7431397031716,-0.0010322033549661307,1.6757075341827756
A,1,5,3,1.970785533599365,200,713.4246361872432,911.7333260155372,-0.001032659467423715,1.6756947587303814
A,1,5,4,1.971829415242298,200,713.7160783644382,911.4576637241479,-0.0010324952767155893,1.6760008264555282
A,1,5,5,1.9836725518057297,200,712.7594350081972,909.6162030831398,-0.0010411830824066624,1.6880908918685371
A,1,5,6,1.9875911308057863,200,699.8376049626081,899.0851777859216,-0.0010771681207300495,1.7188559199543052
A,1,5,7,1.9825101452577456,200,714.8322979790127,914.0336378246899,-0.0010352704827191756,1.6827810967299812
A,1,5,8,1.9742839436020356,198,704.129307338467,898.9093199696922,-0.001061464351298634,1.700431475102414
A,1,5,9,1.9732203240413713,196,697.4291078984344,890.4819972613283,-0.0010812121263089368,1.7157072816735819
A,1,5,10,1.9727774194822463,197,697.9661935292419,891.9544169515822,-0.001078498713180085,1.7133963905418996
A,1,5,11,1.9803588773181473,198,698.859557497857,893.4999301204857,-0.0010793131298485127,1.7173649383304426
A,1,5,12,1.9834169382732403,200,712.0698423648349,908.912680406576,-0.0010428733345602308,1.6893595647815651
A,1,5,13,1.9774299334987164,200,714.2562952376372,913.6062318708755,-0.0010340133995380832,1.6796100695393767
A,1,5,14,1.9665145794932202,200,715.6476906188426,914.7089838046652,-0.001024841581144771,1.6675080790573837
A,1,5,15,1.9694776295528604,200,714.0254240274271,913.1453498967884,-0.0010304741057749216,1.6733602749975889
A,1,5,16,1.9652610557474899,197,701.0307908131049,894.8325199165627,-0.0010664264792687736,1.7004979467437848
A,1,5,17,1.9681911977377888,197,698.6691175594732,892.63615177523,-0.0010738747008941748,1.7077212704931721
A,1,5,18,1.9718555548457255,197,701.2447635389238,895.1400443748402,-0.0010693626802756072,1.7056896281554619
A,1,5,19,1.977058869205806,198,705.2697284426528,900.2028217294006,-0.001059929341871006,1.700382011085701
A,1,5,20,1.9770804610816877,200,714.8502723467936,912.4761277119088,-0.0010323005154469031,1.6780594820365713
A,1,5,21,1.9766926338401765,200,713.814271955806,912.9935756657583,-0.001034801863515665,1.679940740165529
A,1,5,22,1.9739917799927633,200,713.0565134653177,912.1175898858764,-0.0010355621843142814,1.679417749551902
A,1,5,23,1.9782827958457927,200,711.0409023323164,910.3457879145658,-0.001042686769424397,1.687037009551831
A,1,5,24,1.9823578237661204,200,719.7505076843963,918.9251716597427,-0.0010231685817201023,1.6728025273214877
A,1,5,25,2.003540760808657,195,695.3303561672716,887.110199797538,-0.0011054655339733904,1.7481066079735426
A,1,5,26,1.9914668096914594,196,704.3110085955559,897.0906430456902,-0.0010729717771359125,1.7169479545928925
A,1,5,27,1.9655044665009636,200,715.1479222780531,912.1063876738297,-0.0010259281294962598,1.667962229676998
A,1,5,28,1.9702452763046787,200,714.1614846944979,912.6597850557804,-0.001030672975117062,1.6738451948752862
A,1,5,29,1.9828778651208103,200,720.959893751732,920.4275349517667,-0.001019321455212376,1.6698594441681505
A,1,5,30,1.976936487747411,200,709.3766050630812,908.5508363572981,-0.0010465176003392278,1.689575909681921
A,1,5,31,1.9682923039819928,200,714.4944342853286,913.5652677936812,-0.0010286883760451072,1.6714013624800166
A,1,5,32,1.9570040030770464,200,708.8515668915725,905.5963692916362,-0.0010373606143635398,1.6736670648880465
A,1,5,33,1.9725477055867306,197,698.7287720732323,892.610376263939,-0.001076494004607103,1.7116951791388453
A,1,5,34,1.964674432837742,198,705.9280318803832,900.8221750895572,-0.00105141839168657,1.6882206722379731
A,1,5,35,1.9630963892796307,200,712.3339256728178,911.3762127055285,-0.0010312428438309302,1.6712870945855074
A,1,5,36,1.9549511732549274,200,712.0312539573378,910.9432825792927,-0.001027447791939922,1.664747442544793
A,1,5,37,1.9661952112411036,200,711.531498450971,910.6972734843938,-0.001034979949234634,1.6756418279470677
A,1,5,38,1.9461848492662492,200,712.8648714791188,911.8619899665813,-0.0010214400284624745,1.6561408469124508
A,1,5,39,1.9475702953993723,200,705.1763620767438,904.2343350306747,-0.0010417063020680655,1.6731643736994766
