location,variant,maps_with_variant,quality_pass_maps,lambda_relative_change_median_percent,lambda_relative_change_q25_percent,lambda_relative_change_q75_percent,potential_relative_change_median_percent,potential_relative_change_q25_percent,potential_relative_change_q75_percent
A,constant_baseline,18,17,4.566028871151239,2.84421780359706,5.87923195888011,-2.2827236453749844,-3.240753694611806,-1.4627703376116656
A,lower_plus_10nm,18,17,3.6345495870198974,3.109063531906764,4.282419678060323,-1.6783778023900464,-1.8902732904993946,-1.3461863509711374
A,upper_200nm,17,17,-3.7630957755552696,-4.720732136502193,-3.0740002595263882,-0.06558691926824567,-0.1581629883984803,-0.009339009944941967
A,common_150_250nm,18,0,5.909607236748881,1.0085649252540574,50.8031066456609,2.9180564481014026,-23.172853441200154,13.978708298136949
A,no_slip_hydrodynamic,18,17,-0.5585918042168292,-1.071876154372617,-0.32776675439606384,-1.8596777922994856,-3.577604272098384,-0.9944565319196186
B,constant_baseline,17,17,6.062278392026199,2.51251394579044,8.556167661177327,-1.4705181012950819,-2.8479614705610667,-0.13562787710190705
B,lower_plus_10nm,17,17,2.973392261523533,2.727669255931553,3.5392403709890052,-1.3461580148237173,-1.6194723117376353,-1.27026556608969
B,upper_200nm,17,17,-2.136625922011781,-2.5942341989176554,-1.534084673330094,0.00862832951546988,-0.04864390430878718,0.07899750567166297
B,common_150_250nm,17,0,-4.155098591320538,-12.723816775334996,22.25681612064858,7.4432201160388844,-10.12101835361856,32.742663070300026
B,no_slip_hydrodynamic,17,17,-0.7368177877761006,-1.1033286929033825,-0.43940328837651643,-1.9194077589406833,-3.6043157180211005,-1.0174643673072192
