source,timestamp,acquisition_order,block,nominal_speed_um_per_s,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,pixel_count,location,location_order,block_in_location,global_primary_order,instrument_scan_number,map_start_time,map_end_time,map_midpoint_time,fixed_pixel_time,relative_time_min,idle_before_map_s,spring_constant_used_N_per_m,spring_constant_repeatability_sd_N_per_m,stored_spring_constant_N_per_m,stored_InvOLS_nm_per_V
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,5.0,1253.243151088855,784.7422093188227,1674.6461312434878,62,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,10.0,1305.4140499996406,782.3471388260455,1830.8321563175098,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,15.0,1023.6216630690058,738.0970666172859,1449.4476105033693,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,20.0,807.560636961741,608.122677217047,1085.5104242063376,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,25.0,666.9467506268876,518.8236760149571,888.2688752721048,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,30.0,558.9394340095015,419.6810816985246,737.8271762846553,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,35.0,482.1867064647886,353.2890775338171,623.3702772664614,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,40.0,408.12223675635107,290.6746423127595,530.8798395172881,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,45.0,363.756612141366,259.86308638093743,464.94468552529435,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,50.0,319.2732133883412,228.73573533300402,413.03866298606374,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,55.0,280.22883890870906,190.46573113006997,370.424042208847,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,60.0,248.05975294317852,169.68414042540758,330.5996684001561,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,65.0,216.5172625606858,138.58970328492398,298.0435562864,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,70.0,204.87799296636234,124.94923121021364,263.8470241305748,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,75.0,179.46628699691723,102.42957861091955,235.995328131716,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,80.0,163.80103255876622,86.61724202368634,218.0869263227586,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,85.0,142.88774766386322,76.4199695672811,211.1113686806269,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,90.0,128.6290253227046,73.40096012103281,189.85758088507325,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
