source,location,location_order,block_in_location,instrument_scan_number,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,baseline,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,finite_pixels
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,807.560636961741,608.122677217047,1085.5104242063376,64
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,319.2732133883412,228.73573533300402,413.03866298606374,64
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,100.83834478422719,50.438160385044625,159.93539160180083,64
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,200.0,12.710288861343027,-30.88508182587642,64.22693598430926,64
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,constant,20.0,827.996616957992,674.0279319933192,1080.0410932856134,64
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,constant,50.0,321.6215861689667,264.2924183353321,377.6327578766163,64
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,constant,100.0,97.91255797334053,77.75229272161772,122.34002065812406,64
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,constant,200.0,13.828791533961564,6.533301676756427,23.13677397830841,64
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,1,6,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,linear,20.0,881.6454306976844,666.7513083696491,1129.8861894727002,64
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,1,6,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,linear,50.0,336.62116344079016,271.71127324306985,391.4366378005833,64
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,1,6,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,linear,100.0,110.98881215070773,92.56346394553162,127.97875741474536,64
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,1,6,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,linear,200.0,27.098395396494517,7.848069701223162,32.760566276563026,64
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,1,6,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,constant,20.0,855.2437094580545,638.916115594556,1156.3672140862604,64
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,1,6,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,constant,50.0,324.3870875527895,258.8851564047118,386.1128995913932,64
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,1,6,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,constant,100.0,102.00655066173627,82.11394052597245,113.20504964261612,64
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,1,6,2026-09-10T13:24:06.202000+02:00,3.7103249999999997,1.0,constant,200.0,10.893933014022974,7.662041608471744,14.856477176305319,64
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,1,7,2026-09-10T13:29:08.472500+02:00,8.748166666666666,4.0,linear,20.0,787.3221433012861,638.5632158847255,1086.6461363005487,64
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,1,7,2026-09-10T13:29:08.472500+02:00,8.748166666666666,4.0,linear,50.0,309.33710403418894,272.5568267605085,379.11186619010334,64
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,1,7,2026-09-10T13:29:08.472500+02:00,8.748166666666666,4.0,linear,100.0,100.95852093447074,83.5283529411942,123.63184566155681,64
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,1,7,2026-09-10T13:29:08.472500+02:00,8.748166666666666,4.0,linear,200.0,20.49770806995846,-1.6141025779110796,32.73932182822415,64
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,1,7,2026-09-10T13:29:08.472500+02:00,8.748166666666666,4.0,constant,20.0,784.2477362811844,614.7416721468584,1081.3110660186671,64
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,1,7,2026-09-10T13:29:08.472500+02:00,8.748166666666666,4.0,constant,50.0,297.8802450048503,242.58399887603585,364.39220145910974,64
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,1,7,2026-09-10T13:29:08.472500+02:00,8.748166666666666,4.0,constant,100.0,82.9788230623219,71.60879058327865,104.20167681708696,64
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,1,7,2026-09-10T13:29:08.472500+02:00,8.748166666666666,4.0,constant,200.0,1.3752238466621178,-3.9407306538454385,7.469686124980778,64
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,1,8,2026-09-10T13:32:01.158000+02:00,11.626258333333334,4.0,linear,20.0,805.7675520119606,656.7219453027433,1018.9788770986183,64
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,1,8,2026-09-10T13:32:01.158000+02:00,11.626258333333334,4.0,linear,50.0,313.5846163295472,261.806735091257,367.5778814055892,64
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,1,8,2026-09-10T13:32:01.158000+02:00,11.626258333333334,4.0,linear,100.0,91.07366961048271,77.9674716930333,112.87656923234671,64
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,1,8,2026-09-10T13:32:01.158000+02:00,11.626258333333334,4.0,linear,200.0,7.521845002660025,-2.8772727051602205,19.848807480986526,64
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,1,8,2026-09-10T13:32:01.158000+02:00,11.626258333333334,4.0,constant,20.0,786.978727671957,628.7175957328676,1032.124635186403,64
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,1,8,2026-09-10T13:32:01.158000+02:00,11.626258333333334,4.0,constant,50.0,293.4409154181631,245.21895595293492,359.23107422774933,64
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,1,8,2026-09-10T13:32:01.158000+02:00,11.626258333333334,4.0,constant,100.0,85.45033472580313,62.053270340929885,100.47858860405415,64
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,1,8,2026-09-10T13:32:01.158000+02:00,11.626258333333334,4.0,constant,200.0,-1.6245139590916198,-6.68809776593131,6.05820620683469,64
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,A,5,1,9,2026-09-10T13:35:16.745000+02:00,14.886041666666667,1.0,linear,20.0,784.0699384464883,646.4045250982604,1085.9983377882252,64
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,A,5,1,9,2026-09-10T13:35:16.745000+02:00,14.886041666666667,1.0,linear,50.0,320.97997456197595,257.53454213737297,374.3373302629086,64
