source,sha256,timestamp,acquisition_order,block,nominal_speed_um_per_s,grid_i,grid_j,field_u_um,field_v_um,approach_curves,skipped_curves,retract_curves,retract_skipped_curves,valid_contact_curves,map_contact_invOLS_median_nm_per_V,map_contact_invOLS_mad_nm_per_V,global_water_InvOLS_used_nm_per_V,scanner_speed_median_um_per_s,gap_speed_20_200nm_median_um_per_s,terminal_load_median_nN,far_slope_median_pN_per_100nm,far_slope_mad_pN_per_100nm,contact_height_median_um,approach_snap_detected_fraction,approach_snap_distance_median_nm,retract_free_baseline_valid_fraction,retract_snapoff_detected_fraction,retract_detachment_right_censored_fraction,retract_pull_off_censored_fraction,retract_detachment_piezo_travel_median_nm,retract_pull_off_force_median_nN,branch_contact_height_difference_median_nm,location,location_order,block_in_location,global_primary_order,instrument_scan_number,map_start_time,map_end_time,map_midpoint_time,fixed_pixel_time,relative_time_min,idle_before_map_s,spring_constant_used_N_per_m,spring_constant_repeatability_sd_N_per_m,stored_spring_constant_N_per_m,stored_InvOLS_nm_per_V,approach_snap_candidate_unconditional_median_nm,approach_snap_distance_max_nm,approach_snap_detected_count
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,b219f1f1027aa2e63afae7abc7061774dc8650519c9a451ae87ec4bc8708c935,2026-09-10T13:19:51.438000,1,1,2.0,8,8,1.9999999999999996,1.9999999999999996,64,0,64,0,61,53.97057187862632,1.0644971978971454,54.415557777695916,2.0007111398721777,1.9685219831883085,13.57483764713841,-1.059148741354726,9.905317596836806,7.657708047737355,0.84375,8.923567234632015,1.0,0.953125,0.0,0.015625,74.82259940415419,-10.795216820845738,-0.25379038290474054,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986,9.069643977545203,139.2698155324957,54
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,cf3cce95a2f3b0804a6666e5d7cc9bcf6ba38a6ea919d1d6fc68b629efef7284,2026-09-10T13:23:02.584000,2,1,1.0,8,8,1.9999999999999996,1.9999999999999996,64,0,64,0,64,54.06902541482669,0.8726999772747818,54.415557777695916,1.0001808324806665,0.9843516830615893,13.614351086581554,2.2296401105187775,2.8791196084680997,7.707484483089173,0.890625,8.9130802891754,0.984375,0.890625,0.015625,0.03125,67.34940283953631,-8.956250278715814,-0.25157615104833325,A,2,1,2,6,2026-09-10T13:23:01.584000+02:00,2026-09-10T13:25:10.820000+02:00,2026-09-10T13:24:06.202000+02:00,2026-09-10T13:23:58.073000+02:00,3.7103249999999997,125.356,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986,9.14798148274518,12.896634284798505,57
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,42e10cc8b5c44c93573d0e0c97849ecc2fc3e08badb7fe05ad5fe18203585f9d,2026-09-10T13:28:52.066000,3,1,4.0,8,8,1.9999999999999996,1.9999999999999996,64,0,64,0,63,54.39323875195821,1.1255750459916605,54.415557777695916,4.0030029504252,3.9392611017175154,13.621590494649086,2.775828345486457,3.660650732358298,7.798993407062011,0.71875,8.328219770845266,1.0,1.0,0.0,0.03125,51.103114079952604,-7.031607322428376,-0.6631074360491219,A,3,1,3,7,2026-09-10T13:28:51.815000+02:00,2026-09-10T13:29:25.130000+02:00,2026-09-10T13:29:08.472500+02:00,2026-09-10T13:29:06.384000+02:00,8.748166666666666,220.995,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986,8.828341422104494,14.103071923392356,46
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,1d35f1b17cdf348f101290a7fe87df3c09350b73b837bb4ffb03ddf4346a5515,2026-09-10T13:31:44.751000,4,1,4.0,8,8,1.9999999999999996,1.9999999999999996,64,0,64,0,61,54.36484993231086,0.718958608841912,54.415557777695916,4.003015114615735,3.940914791787354,13.60238354015571,1.4135132934020205,2.805704890027904,7.833147976389748,0.671875,9.064139947711372,1.0,0.984375,0.0,0.03125,64.64420270586244,-8.150438773817575,-0.3202832502717792,A,4,1,4,8,2026-09-10T13:31:44.500000+02:00,2026-09-10T13:32:17.816000+02:00,2026-09-10T13:32:01.158000+02:00,2026-09-10T13:31:59.071000+02:00,11.626258333333334,139.37,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986,10.739719729007735,14.166600290043327,43
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,53996e0caff9ee6657c3aefd56ac3baf07b2c6472e2edd61f84deae70563d984,2026-09-10T13:34:13.108000,5,1,1.0,8,8,1.9999999999999996,1.9999999999999996,64,0,64,0,63,54.390118608794765,0.9296358613597261,54.415557777695916,1.0001828199507095,0.9848614761320538,13.607725221562614,2.168004494930646,3.570808749002966,7.864458792992996,0.71875,9.236570947018564,0.984375,0.9375,0.015625,0.046875,70.86906823689442,-8.132223271056962,-0.1470256469620902,A,5,1,5,9,2026-09-10T13:34:12.107000+02:00,2026-09-10T13:36:21.383000+02:00,2026-09-10T13:35:16.745000+02:00,2026-09-10T13:35:08.623000+02:00,14.886041666666667,114.291,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986,9.595197140977756,14.726186510374577,46
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,7aafc9f430672f3d75379b120439daba53cacbef61a8ac06f83985ea31086bce,2026-09-10T13:38:36.025000,6,1,2.0,8,8,1.9999999999999996,1.9999999999999996,64,0,64,0,63,54.34099333066324,0.9737160962234677,54.415557777695916,2.0007380952655907,1.9700085263745484,13.635889549920408,1.6660180051962536,3.5849313892437764,7.912690121874255,0.609375,8.96114589379448,0.984375,0.953125,0.015625,0.046875,60.09029823839216,-6.462480002507949,-0.4296105426902764,A,6,1,6,10,2026-09-10T13:38:35.524000+02:00,2026-09-10T13:39:40.828000+02:00,2026-09-10T13:39:08.176000+02:00,2026-09-10T13:39:04.079000+02:00,18.743225,134.141,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986,10.248640007110597,12.394675284555992,39
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,a6f96ede68eeb1396ec1936e9f4b3bfce4d300db4949e0f7fa8dcec77ce6ce3d,2026-09-10T13:42:57.599000,7,2,1.0,8,8,1.9999999999999996,1.9999999999999996,64,0,64,0,61,54.289222922576315,0.9173274692510601,54.415557777695916,1.0001843662610908,0.9854226347428373,13.63107476543539,1.0955092841838439,3.958368518364153,7.979266805222153,0.671875,8.259697216197758,0.984375,0.953125,0.015625,0.03125,62.62137231787713,-5.695426863955735,0.022093667498800096,A,7,2,7,11,2026-09-10T13:42:56.599000+02:00,2026-09-10T13:45:05.865000+02:00,2026-09-10T13:44:01.232000+02:00,2026-09-10T13:43:53.108000+02:00,23.627491666666668,195.771,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986,9.188069165103318,13.289733657221618,43
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,d6cff7ce41604eaa259fb1c3d589ffa99a6e5e830f4ab67d7abc9e77e5bad95d,2026-09-10T13:47:13.237000,8,2,4.0,8,8,1.9999999999999996,1.9999999999999996,64,0,64,0,63,54.46231257357909,1.0197515735965403,54.415557777695916,4.003002903232505,3.940859585508959,13.619292942374035,1.5815268980529271,3.379264760701013,8.02248518198088,0.53125,7.913474692750897,1.0,1.0,0.0,0.03125,49.16598247067159,-4.943576121844751,-0.6974444829446151,A,8,2,8,12,2026-09-10T13:47:12.986000+02:00,2026-09-10T13:47:46.301000+02:00,2026-09-10T13:47:29.643500+02:00,2026-09-10T13:47:27.558000+02:00,27.101016666666666,127.121,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986,9.456342173357044,10.870605816539088,34
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,33ea31539e4da34f2f208eb82826e22e9d314d1719513edd0ee9bc350687513d,2026-09-10T13:51:22.530000,9,2,2.0,8,8,1.9999999999999996,1.9999999999999996,64,0,64,0,64,54.735068604553106,1.0846234483792954,54.415557777695916,2.0007518246480496,1.9719137395756543,13.613135956293428,0.7396660687081802,3.725997436770983,8.069957237631074,0.5625,8.103042692153604,1.0,1.0,0.0,0.015625,46.0322672594533,-5.446303528611897,-0.610982152431909,A,9,2,9,13,2026-09-10T13:51:22.029000+02:00,2026-09-10T13:52:27.332000+02:00,2026-09-10T13:51:54.680500+02:00,2026-09-10T13:51:50.582000+02:00,31.5183,215.728,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986,9.931321911334724,13.229260300427322,36
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,152f86681d1407d1bac223ef4f9ab503fa2e57b78fa231e621be87176167183d,2026-09-10T13:55:29.288000,10,2,2.0,8,8,1.9999999999999996,1.9999999999999996,64,0,64,0,64,54.66221508952409,1.2262806180591737,54.415557777695916,2.000752612761098,1.9726336279791,13.596879363682842,-0.07185624015347042,4.988645099896414,8.115449419879045,0.5625,8.369147745621706,0.984375,0.96875,0.015625,0.03125,41.11297900507466,-4.66451807975959,-0.8013878352296582,A,10,2,10,14,2026-09-10T13:55:28.787000+02:00,2026-09-10T13:56:34.083000+02:00,2026-09-10T13:56:01.435000+02:00,2026-09-10T13:55:57.336000+02:00,35.630874999999996,181.455,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986,10.223054395762071,12.074126133847948,36
