source,location,location_order,relative_time_min,nominal_speed_um_per_s,point_index,row,column,distance_nm,normalization_valid,normalization_denominator_pN,normalization_threshold_pN,normalized_force
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,0,0,0,20.0,True,551.9756576466475,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,1,0,1,20.0,True,563.6998273305949,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,2,0,2,20.0,True,722.9295643498214,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,3,0,3,20.0,True,744.6960144355526,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,4,0,4,20.0,True,610.0313754066925,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,5,0,5,20.0,True,381.1174485657122,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,6,0,6,20.0,True,287.56786579446856,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,7,0,7,20.0,True,412.38126636137537,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,8,1,7,20.0,True,684.4072917694139,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,9,1,6,20.0,True,638.2497800642583,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,10,1,5,20.0,True,596.0569988044044,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,11,1,4,20.0,True,473.4166396123492,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,12,1,3,20.0,True,436.714380224686,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,13,1,2,20.0,True,600.0258655051994,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,14,1,1,20.0,True,839.2305336694237,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,15,1,0,20.0,True,848.6016643115009,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,16,2,0,20.0,True,1001.8014705022305,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,17,2,1,20.0,True,870.2308959692718,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,18,2,2,20.0,True,692.3354458602329,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,19,2,3,20.0,True,532.1407867963424,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,20,2,4,20.0,True,483.0067860473397,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,21,2,5,20.0,True,511.8373015380617,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,22,2,6,20.0,True,647.8452222817064,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,23,2,7,20.0,True,440.92222506903903,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,24,3,7,20.0,True,988.1296829250637,86.67228718641334,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,25,3,6,20.0,True,291.2067736446605,62.19268858905406,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,26,3,5,20.0,True,372.72791572485124,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,27,3,4,20.0,True,704.9790711741634,80.91689191464664,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,28,3,3,20.0,True,716.6772847342406,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,29,3,2,20.0,True,678.9147597348574,68.0245908612397,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,30,3,1,20.0,True,746.4377698018333,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,31,3,0,20.0,True,1102.310223610666,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,32,4,0,20.0,True,1436.4042436584898,69.92868971796334,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,33,4,1,20.0,True,954.9042912702889,50.0,1.0
