source,location,location_order,relative_time_min,nominal_speed_um_per_s,distance_nm,valid_pixels,normalized_force_median,normalized_force_q25,normalized_force_q75
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,50.0,64,0.3679440212587487,0.3323321264857742,0.4060190265369026
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,100.0,64,0.10788225162997445,0.08901174497448441,0.12403788016163364
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,3.7103249999999997,1.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,3.7103249999999997,1.0,50.0,64,0.37279062418310216,0.3351391582891613,0.4032232594720444
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,3.7103249999999997,1.0,100.0,64,0.1033587767921532,0.0928301469916095,0.1189542679791683
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,A,2,3.7103249999999997,1.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,8.748166666666666,4.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,8.748166666666666,4.0,50.0,64,0.3783923408627976,0.34337218403963654,0.4033615477848501
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,8.748166666666666,4.0,100.0,64,0.10170334232633294,0.092338512258998,0.11677553319524211
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,A,3,8.748166666666666,4.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,11.626258333333334,4.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,11.626258333333334,4.0,50.0,64,0.3796729239021276,0.3473041926236919,0.40296860850970906
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,11.626258333333334,4.0,100.0,64,0.10521030385797225,0.09168444262482009,0.11720147441539035
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,A,4,11.626258333333334,4.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,A,5,14.886041666666667,1.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,A,5,14.886041666666667,1.0,50.0,64,0.37333800989014265,0.33521221515648963,0.4038131673158283
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,A,5,14.886041666666667,1.0,100.0,64,0.10967062718131765,0.09098299644656431,0.12006815937799248
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,A,5,14.886041666666667,1.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,18.743225,2.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,18.743225,2.0,50.0,64,0.3879965637689883,0.35404768531173625,0.4103424272877268
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,18.743225,2.0,100.0,64,0.11023970786555101,0.09421708716232748,0.12530283825222532
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,18.743225,2.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,23.627491666666668,1.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,23.627491666666668,1.0,50.0,64,0.3829680198455263,0.33881524627045634,0.41015768254326307
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,23.627491666666668,1.0,100.0,64,0.10815675786986173,0.09163743521765896,0.121799579101718
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,23.627491666666668,1.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,27.101016666666666,4.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,27.101016666666666,4.0,50.0,64,0.39859713267351515,0.35256327770565554,0.4221378677350286
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,27.101016666666666,4.0,100.0,64,0.11145292763160611,0.09309669727594938,0.12445514996385942
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,27.101016666666666,4.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,31.5183,2.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,31.5183,2.0,50.0,64,0.3917780005455166,0.35522377170061403,0.40743446914153697
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,31.5183,2.0,100.0,64,0.10974733407138154,0.0954885052149709,0.12250756092125836
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,31.5183,2.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,35.630874999999996,2.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,35.630874999999996,2.0,50.0,64,0.38677547691149106,0.33055377134751485,0.4090046031150598
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,35.630874999999996,2.0,100.0,64,0.10310806807502937,0.0869008865397369,0.11736468847960743
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,35.630874999999996,2.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,39.64958333333333,4.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,39.64958333333333,4.0,50.0,64,0.3888174676909103,0.34979373563617633,0.4112629585005694
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,39.64958333333333,4.0,100.0,64,0.10438222702521888,0.0908016285743954,0.11585991806509978
10-09-26/map-data-2026.09.10-13.59.46.152.jpk-force-map,A,11,39.64958333333333,4.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,44.56829166666667,1.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,44.56829166666667,1.0,50.0,64,0.38134858768181934,0.3391687963681952,0.40497692710118743
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,44.56829166666667,1.0,100.0,64,0.0971362988536136,0.08121008372375041,0.11353001506587651
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,44.56829166666667,1.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.07.52.999.jpk-force-map,A,13,47.76365833333333,4.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.07.52.999.jpk-force-map,A,13,47.76365833333333,4.0,50.0,64,0.39144017024024147,0.353948218258396,0.4183379544234456
10-09-26/map-data-2026.09.10-14.07.52.999.jpk-force-map,A,13,47.76365833333333,4.0,100.0,64,0.1043322710223861,0.09256120222790302,0.12618312131253867
10-09-26/map-data-2026.09.10-14.07.52.999.jpk-force-map,A,13,47.76365833333333,4.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.11.58.250.jpk-force-map,A,14,52.113508333333336,2.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.11.58.250.jpk-force-map,A,14,52.113508333333336,2.0,50.0,64,0.3845634251594984,0.34646806531010144,0.41854115437051886
10-09-26/map-data-2026.09.10-14.11.58.250.jpk-force-map,A,14,52.113508333333336,2.0,100.0,64,0.10224751501130067,0.07864437828840537,0.12676497238024498
10-09-26/map-data-2026.09.10-14.11.58.250.jpk-force-map,A,14,52.113508333333336,2.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.16.20.761.jpk-force-map,A,15,57.01323333333333,1.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.16.20.761.jpk-force-map,A,15,57.01323333333333,1.0,50.0,64,0.3762023429415642,0.3338563236037341,0.4035286296064631
10-09-26/map-data-2026.09.10-14.16.20.761.jpk-force-map,A,15,57.01323333333333,1.0,100.0,64,0.09450873979244728,0.08195366465626432,0.1110133890492132
10-09-26/map-data-2026.09.10-14.16.20.761.jpk-force-map,A,15,57.01323333333333,1.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.20.24.406.jpk-force-map,A,16,61.073991666666664,1.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.20.24.406.jpk-force-map,A,16,61.073991666666664,1.0,50.0,64,0.3795882748741737,0.33703883332087997,0.40513478781282924
10-09-26/map-data-2026.09.10-14.20.24.406.jpk-force-map,A,16,61.073991666666664,1.0,100.0,64,0.09933748235831946,0.08149427853140306,0.11481515749390737
10-09-26/map-data-2026.09.10-14.20.24.406.jpk-force-map,A,16,61.073991666666664,1.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.24.25.397.jpk-force-map,A,17,64.56592500000001,2.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.24.25.397.jpk-force-map,A,17,64.56592500000001,2.0,50.0,64,0.3753396891953037,0.3391095169708867,0.40135033470384585
10-09-26/map-data-2026.09.10-14.24.25.397.jpk-force-map,A,17,64.56592500000001,2.0,100.0,64,0.09365998603988898,0.0758689143297995,0.10992580713768418
10-09-26/map-data-2026.09.10-14.24.25.397.jpk-force-map,A,17,64.56592500000001,2.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.28.22.447.jpk-force-map,A,18,68.25440833333333,4.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.28.22.447.jpk-force-map,A,18,68.25440833333333,4.0,50.0,64,0.37955435597271336,0.3617736898101326,0.39982989745446734
10-09-26/map-data-2026.09.10-14.28.22.447.jpk-force-map,A,18,68.25440833333333,4.0,100.0,64,0.09929354116014465,0.08336605988839356,0.1108313135570813
10-09-26/map-data-2026.09.10-14.28.22.447.jpk-force-map,A,18,68.25440833333333,4.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.36.07.898.jpk-force-map,B,1,0.0,2.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.36.07.898.jpk-force-map,B,1,0.0,2.0,50.0,64,0.40075132368169003,0.3359606825020946,0.4269824818136698
10-09-26/map-data-2026.09.10-14.36.07.898.jpk-force-map,B,1,0.0,2.0,100.0,64,0.11134842863703748,0.09421760276387578,0.1271362941369618
10-09-26/map-data-2026.09.10-14.36.07.898.jpk-force-map,B,1,0.0,2.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.37.27.040.jpk-force-map,B,2,1.8435750000000002,1.0,20.0,64,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.37.27.040.jpk-force-map,B,2,1.8435750000000002,1.0,50.0,64,0.38460583187828623,0.340681946507557,0.41458488132268917
10-09-26/map-data-2026.09.10-14.37.27.040.jpk-force-map,B,2,1.8435750000000002,1.0,100.0,64,0.1088473852123644,0.09378975104537751,0.12284868760214762
10-09-26/map-data-2026.09.10-14.37.27.040.jpk-force-map,B,2,1.8435750000000002,1.0,200.0,64,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.40.34.815.jpk-force-map,B,3,4.186333333333334,4.0,20.0,63,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.40.34.815.jpk-force-map,B,3,4.186333333333334,4.0,50.0,63,0.394014209596859,0.34080814399858883,0.4148999756888744
10-09-26/map-data-2026.09.10-14.40.34.815.jpk-force-map,B,3,4.186333333333334,4.0,100.0,63,0.11006963743289315,0.08766393082149383,0.12566762810199508
10-09-26/map-data-2026.09.10-14.40.34.815.jpk-force-map,B,3,4.186333333333334,4.0,200.0,63,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.41.13.754.jpk-force-map,B,4,4.835325,4.0,20.0,63,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.41.13.754.jpk-force-map,B,4,4.835325,4.0,50.0,63,0.3853793017001771,0.34944409925419584,0.4208277358073177
10-09-26/map-data-2026.09.10-14.41.13.754.jpk-force-map,B,4,4.835325,4.0,100.0,63,0.11151933783178049,0.09262188939076477,0.12622366963747567
10-09-26/map-data-2026.09.10-14.41.13.754.jpk-force-map,B,4,4.835325,4.0,200.0,63,0.0,0.0,0.0
10-09-26/map-data-2026.09.10-14.42.02.531.jpk-force-map,B,5,6.681575,1.0,20.0,58,1.0,1.0,1.0
10-09-26/map-data-2026.09.10-14.42.02.531.jpk-force-map,B,5,6.681575,1.0,50.0,58,0.38899584627633266,0.3565242543234732,0.42589601015657624
