location,baseline,distance_nm,palindrome_pairs,pair_median_difference_median_pN,pair_median_difference_q25_pN,pair_median_difference_q75_pN,negative_pair_medians,positive_pair_medians,speed_um_per_s,pair_median_difference_mean_pN,pair_median_difference_sd_pN,pair_median_difference_values_pN
A,linear,20.0,9,-26.781248580471157,-38.065342498569464,-9.977595909492607,8,1,,,,
A,linear,20.0,3,,,,2,1,1.0,-12.773634703587126,26.28660724938236,-9.97759591;-40.346496;12.0031878
A,linear,20.0,3,,,,3,0,2.0,-25.77302853567943,12.826178213140503,-26.7812486;-12.4724945;-38.0653425
A,linear,20.0,3,,,,3,0,4.0,-29.19879221807049,21.085809343328847,-9.12792271;-27.2976653;-51.1707886
A,linear,50.0,9,-16.334444302076434,-24.45926662998022,-13.35059578724298,8,1,,,,
A,linear,50.0,3,,,,2,1,1.0,-13.13639144006269,14.914655289613668,-15.293391;-26.8551028;2.73931947
A,linear,50.0,3,,,,3,0,2.0,-18.9748466662593,7.311238466402979,-13.3505958;-16.3344443;-27.2394999
A,linear,50.0,3,,,,3,0,4.0,-17.06973053106643,7.693709342775944,-9.10422125;-24.4592666;-17.6457037
A,linear,100.0,9,-10.003733903547165,-11.950482168030128,-9.052470882787574,8,1,,,,
A,linear,100.0,3,,,,2,1,1.0,-5.4466226726690286,14.326672887349872,-17.5822468;-9.11526405;10.3576429
A,linear,100.0,3,,,,3,0,2.0,-9.036349321409725,2.9222269802401013,-6.10609491;-11.9504822;-9.05247088
A,linear,100.0,3,,,,3,0,4.0,-11.280306375021754,1.4436019355832685,-10.0037339;-12.8469021;-10.9902831
A,linear,200.0,9,-7.143311720619028,-9.917899314168412,-3.3167996841445784,7,2,,,,
A,linear,200.0,3,,,,2,1,1.0,-4.672509404081597,11.026638570258365,-15.7356165;-4.59920687;6.31729516
A,linear,200.0,3,,,,3,0,2.0,-8.486001116960862,2.2014115626013147,-11.0265975;-7.28809416;-7.14331172
A,linear,200.0,3,,,,2,1,4.0,-1.854026253012562,8.886021276316006,-9.91789931;-3.31679968;7.67262024
A,constant,20.0,9,-20.33756080871899,-27.41132364877558,-5.439059266102845,7,2,,,,
A,constant,20.0,3,,,,2,1,1.0,-13.983818354928948,14.20863009355924,-20.3375608;-23.9068569;2.29296267
A,constant,20.0,3,,,,3,0,2.0,-18.21037996976716,12.59559173630423,-30.6225614;-5.43905927;-18.5695192
A,constant,20.0,3,,,,2,1,4.0,-25.33896135799327,31.13665246143523,6.78210538;-27.4113236;-55.3876658
A,constant,50.0,9,-13.383366925430337,-17.617295328327927,-3.8181247678010664,9,0,,,,
A,constant,50.0,3,,,,3,0,1.0,-11.162887295484103,8.242255365296565,-18.2438257;-13.1296867;-2.11514953
A,constant,50.0,3,,,,3,0,2.0,-11.656981761699953,7.697013165194404,-18.3442003;-3.24337811;-13.3833669
A,constant,50.0,3,,,,3,0,4.0,-12.432465082225306,7.511686330057141,-3.81812477;-15.8619752;-17.6172953
A,constant,100.0,9,-4.027554403979003,-7.601490102776204,-0.3453493702799548,7,2,,,,
A,constant,100.0,3,,,,2,1,1.0,-8.365041887334913,9.341107641959253,-18.064491;-7.6014901;0.5708554
A,constant,100.0,3,,,,2,1,2.0,-6.870265713224669,8.65806266394069,-16.3712688;0.574721717;-4.81425004
A,constant,100.0,3,,,,3,0,4.0,-2.4752532601247546,1.9078462141067665,-4.0275544;-3.05285601;-0.34534937
A,constant,200.0,9,2.813780452524668,-0.610977788058857,5.4201517310614555,3,6,,,,
A,constant,200.0,3,,,,1,2,1.0,-3.3087978459138934,9.803327834195269,-14.5886849;3.15476463;1.5075267
A,constant,200.0,3,,,,1,2,2.0,-3.034800723640455,12.455585034730547,-17.3383344;2.81378045;5.42015173
A,constant,200.0,3,,,,1,2,4.0,4.123605347171164,4.198342604633745,-0.610977788;5.58874808;7.39304575
B,linear,20.0,9,-16.99373301862363,-18.776205850998508,4.641798085476694,6,3,,,,
B,linear,20.0,3,,,,2,1,1.0,-37.51692100264719,40.80076507099288,-41.5747448;-76.137154;5.16113577
B,linear,20.0,3,,,,2,1,2.0,-7.697682021563092,11.82738670357042,-18.7762059;4.75799577;-9.07483598
B,linear,20.0,3,,,,2,1,4.0,-10.051268504482001,12.730982913442622,4.64179809;-16.993733;-17.8018706
B,linear,50.0,9,-8.278141461996071,-13.213674223290354,-0.9636767710184557,7,2,,,,
B,linear,50.0,3,,,,2,1,1.0,-15.188190597540052,20.32936010765147,-28.976343;-24.7470175;8.15878876
B,linear,50.0,3,,,,3,0,2.0,-11.380714754075234,2.7016310543554747,-12.6503286;-8.27814146;-13.2136742
B,linear,50.0,3,,,,2,1,4.0,0.0414520509931009,2.6873130562545895,3.08644414;-0.963676771;-1.99841122
B,linear,100.0,9,-4.512570169386088,-8.221296828138016,1.0975880068870936,6,3,,,,
B,linear,100.0,3,,,,2,1,1.0,-5.668981028066294,6.481129451709086,-11.0162488;-7.5296701;1.5389758
B,linear,100.0,3,,,,3,0,2.0,-7.185672697130123,2.3344517519468004,-8.82315109;-4.51257017;-8.22129683
B,linear,100.0,3,,,,1,2,4.0,1.0095631759896797,3.061102473237787,4.02570387;1.09758801;-2.09460235
B,linear,200.0,9,-2.1077830092225804,-3.331596933103806,0.8680771449364268,6,3,,,,
B,linear,200.0,3,,,,3,0,1.0,-1.88769436588039,1.5655926008068268,-3.33159693;-0.223703155;-2.10778301
B,linear,200.0,3,,,,3,0,2.0,-4.932176377608922,2.764615679394625,-2.93488212;-3.77415673;-8.08749028
B,linear,200.0,3,,,,0,3,4.0,3.300362235632388,2.1099638885752503,0.868077145;4.63873219;4.39427737
B,constant,20.0,9,-14.862769294659785,-17.913567422625135,1.099343454081037,5,4,,,,
B,constant,20.0,3,,,,2,1,1.0,-28.011509009179843,33.9799407011857,-30.4289588;-60.7181689;7.11260061
B,constant,20.0,3,,,,1,2,2.0,-4.934164057572588,11.249746526304103,-17.9135674;2.0117318;1.09934345
B,constant,20.0,3,,,,2,1,4.0,-10.44523658709329,9.59418425535362,0.561962872;-14.8627693;-17.0349033
B,constant,50.0,9,-3.9785020719714055,-8.791255475761886,-0.3576218072766153,7,2,,,,
B,constant,50.0,3,,,,2,1,1.0,-12.519964398419296,12.27681297449938,-13.4108801;-24.3270507;0.17803764
B,constant,50.0,3,,,,3,0,2.0,-4.6642577476331155,3.8304384839303967,-8.79125548;-1.2230157;-3.97850207
B,constant,50.0,3,,,,2,1,4.0,-2.614207844841445,4.750577075950856,0.587493033;-0.357621807;-8.07249476
B,constant,100.0,9,-1.0677020184512074,-5.856184932013782,-0.452608474088521,7,2,,,,
B,constant,100.0,3,,,,2,1,1.0,-3.9049796979061617,4.483480761042402,-5.85618493;-7.08223132;1.22347716
B,constant,100.0,3,,,,3,0,2.0,-0.8233133976284748,0.326422844372563,-0.9496297;-0.452608474;-1.06770202
B,constant,100.0,3,,,,2,1,4.0,-2.342089835550091,5.019674374004887,-3.66688943;3.20710956;-6.56648964
B,constant,200.0,9,-1.500392726407679,-2.1282201713566717,0.4569736701723599,5,4,,,,
B,constant,200.0,3,,,,1,2,1.0,-0.9669449781513269,2.1265978056476516,0.45697367;-3.4114631;0.0536544959
B,constant,200.0,3,,,,2,1,2.0,0.15325579855512142,3.4223450173498455,4.08838029;-2.12822017;-1.50039273
B,constant,200.0,3,,,,2,1,4.0,-0.10730067710442419,3.703671411285535,-1.93819695;4.15524263;-2.53894771
