location,block_in_location,pair_depth,speed_um_per_s,early_location_order,late_location_order,early_scan_number,late_scan_number,pair_center_time,pair_center_relative_min,early_late_separation_min,baseline,distance_nm,paired_pixels,difference_median,difference_q25,difference_q75,negative_pixel_fraction,positive_pixel_fraction,naive_pixel_wilcoxon_p,exact_physical_row_signflip_p,row_cluster_bootstrap_median_95CI_low,row_cluster_bootstrap_median_95CI_high,history_half_difference_median_pN,exact_row_signflip_BH_q_across_primary_pair_tests
A,1,1,2.0,1,6,5,10,2026-09-10T13:29:45.879250+02:00,9.3716125,18.743225,linear,20.0,64,-26.781248580471157,-149.95920027485727,190.1208588067665,0.53125,0.46875,0.9307211430715726,0.8515625,-69.35417525320827,93.31018229892618,-13.390624290235579,0.9619565217391305
A,1,1,2.0,1,6,5,10,2026-09-10T13:29:45.879250+02:00,9.3716125,18.743225,linear,50.0,64,-13.35059578724298,-99.73479229258847,64.69796943328248,0.515625,0.484375,0.6349203846446694,0.9921875,-59.909830198858515,23.95349507988614,-6.67529789362149,0.9921875
A,1,1,2.0,1,6,5,10,2026-09-10T13:29:45.879250+02:00,9.3716125,18.743225,linear,100.0,64,-6.106094913411475,-62.515490572109954,61.04751585041309,0.515625,0.484375,0.6444845196073246,0.90625,-45.88875941626935,5.223272005161,-3.0530474567057375,0.9619565217391305
A,1,1,2.0,1,6,5,10,2026-09-10T13:29:45.879250+02:00,9.3716125,18.743225,linear,200.0,64,-11.026597471990257,-50.947654390703775,42.56958726327535,0.625,0.375,0.30939100732488667,0.8671875,-29.219119456696966,-5.39709271399424,-5.513298735995129,0.9619565217391305
A,1,1,2.0,1,6,5,10,2026-09-10T13:29:45.879250+02:00,9.3716125,18.743225,constant,20.0,64,-30.62256144084978,-152.31479323592816,115.06725476453971,0.59375,0.40625,0.2698368824384756,0.21875,-99.5350389982546,70.64632097044833,-15.31128072042489,
A,1,1,2.0,1,6,5,10,2026-09-10T13:29:45.879250+02:00,9.3716125,18.743225,constant,50.0,64,-18.344200252419796,-52.45793327429098,23.91147779953326,0.640625,0.359375,0.030767713977873173,0.046875,-38.31752909979207,-5.957544785111551,-9.172100126209898,
A,1,1,2.0,1,6,5,10,2026-09-10T13:29:45.879250+02:00,9.3716125,18.743225,constant,100.0,64,-16.371268813798572,-37.595195159600486,-1.8975756822018823,0.765625,0.234375,0.00042457921609581763,0.0234375,-19.968177915992143,-9.502882213555878,-8.185634406899286,
A,1,1,2.0,1,6,5,10,2026-09-10T13:29:45.879250+02:00,9.3716125,18.743225,constant,200.0,64,-17.338334354507488,-29.155599880460684,-8.824237650182525,0.859375,0.140625,7.216642494353944e-07,0.0078125,-25.124247755888227,-11.339370094542636,-8.669167177253744,
A,1,2,1.0,2,5,6,9,2026-09-10T13:29:41.473500+02:00,9.298183333333332,11.175716666666666,linear,20.0,64,-9.977595909492607,-121.36273832805648,84.14237636206838,0.546875,0.453125,0.38464171836176364,0.5078125,-67.51179495654964,38.53290159185053,-4.988797954746303,0.8502906976744186
A,1,2,1.0,2,5,6,9,2026-09-10T13:29:41.473500+02:00,9.298183333333332,11.175716666666666,linear,50.0,64,-15.293391020200431,-51.19361033581213,11.322744491748821,0.59375,0.40625,0.01606208774206509,0.0234375,-32.03275495398012,2.6090655643658636,-7.646695510100216,0.225
