source,location,location_order,block_in_location,instrument_scan_number,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,baseline,distance_nm,point_index,row,column,force_pN
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,0,0,0,555.8227386185405
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,1,0,1,572.6868932487938
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,2,0,2,760.8575232591204
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,3,0,3,741.4123588214818
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,4,0,4,619.1874672094347
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,5,0,5,390.16912889969143
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,6,0,6,236.32163844749076
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,7,0,7,437.1073619418036
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,8,1,7,750.380591479368
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,9,1,6,574.9283072398841
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,10,1,5,757.5644558355602
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,11,1,4,706.5801709357692
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,12,1,3,311.11197049617397
