source,filename,size_bytes,sha256,zip_crc_ok,instrument_scan_number,nominal_speed_um_per_s,grid_i,grid_j,field_u_um,field_v_um,grid_center_x_um,grid_center_y_um,grid_theta,grid_reflect,back_and_forth,segment_header_count,analysis_role
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,map-data-2026.09.10-13.19.51.438.jpk-force-map,2767003,b219f1f1027aa2e63afae7abc7061774dc8650519c9a451ae87ec4bc8708c935,True,5,2.0,8,8,1.9999999999999996,1.9999999999999996,-0.9673173058196616,3.962016165706996,-0.0,false,true,128,location_A_primary
10-09-26/map-data-2026.09.10-13.23.02.584.jpk-force-map,map-data-2026.09.10-13.23.02.584.jpk-force-map,2772972,cf3cce95a2f3b0804a6666e5d7cc9bcf6ba38a6ea919d1d6fc68b629efef7284,True,6,1.0,8,8,1.9999999999999996,1.9999999999999996,-0.9673173058196616,3.962016165706996,-0.0,false,true,128,location_A_primary
10-09-26/map-data-2026.09.10-13.28.52.066.jpk-force-map,map-data-2026.09.10-13.28.52.066.jpk-force-map,2743558,42e10cc8b5c44c93573d0e0c97849ecc2fc3e08badb7fe05ad5fe18203585f9d,True,7,4.0,8,8,1.9999999999999996,1.9999999999999996,-0.9673173058196616,3.962016165706996,-0.0,false,true,128,location_A_primary
10-09-26/map-data-2026.09.10-13.31.44.751.jpk-force-map,map-data-2026.09.10-13.31.44.751.jpk-force-map,2741675,1d35f1b17cdf348f101290a7fe87df3c09350b73b837bb4ffb03ddf4346a5515,True,8,4.0,8,8,1.9999999999999996,1.9999999999999996,-0.9673173058196616,3.962016165706996,-0.0,false,true,128,location_A_primary
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,map-data-2026.09.10-13.34.13.108.jpk-force-map,2768367,53996e0caff9ee6657c3aefd56ac3baf07b2c6472e2edd61f84deae70563d984,True,9,1.0,8,8,1.9999999999999996,1.9999999999999996,-0.9673173058196616,3.962016165706996,-0.0,false,true,128,location_A_primary
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,map-data-2026.09.10-13.38.36.025.jpk-force-map,2750890,7aafc9f430672f3d75379b120439daba53cacbef61a8ac06f83985ea31086bce,True,10,2.0,8,8,1.9999999999999996,1.9999999999999996,-0.9673173058196616,3.962016165706996,-0.0,false,true,128,location_A_primary
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,map-data-2026.09.10-13.42.57.599.jpk-force-map,2765471,a6f96ede68eeb1396ec1936e9f4b3bfce4d300db4949e0f7fa8dcec77ce6ce3d,True,11,1.0,8,8,1.9999999999999996,1.9999999999999996,-0.9673173058196616,3.962016165706996,-0.0,false,true,128,location_A_primary
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,map-data-2026.09.10-13.47.13.237.jpk-force-map,2733734,d6cff7ce41604eaa259fb1c3d589ffa99a6e5e830f4ab67d7abc9e77e5bad95d,True,12,4.0,8,8,1.9999999999999996,1.9999999999999996,-0.9673173058196616,3.962016165706996,-0.0,false,true,128,location_A_primary
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,map-data-2026.09.10-13.51.22.530.jpk-force-map,2753396,33ea31539e4da34f2f208eb82826e22e9d314d1719513edd0ee9bc350687513d,True,13,2.0,8,8,1.9999999999999996,1.9999999999999996,-0.9673173058196616,3.962016165706996,-0.0,false,true,128,location_A_primary
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,map-data-2026.09.10-13.55.29.288.jpk-force-map,2749902,152f86681d1407d1bac223ef4f9ab503fa2e57b78fa231e621be87176167183d,True,14,2.0,8,8,1.9999999999999996,1.9999999999999996,-0.9673173058196616,3.962016165706996,-0.0,false,true,128,location_A_primary
