location,metric,unit,distance_nm,full_interval_change_at_mean_speed,HC3_95CI_low,HC3_95CI_high,HC3_p,HAC2_95CI_low,HAC2_95CI_high,HAC2_p,residual_lag1_correlation,minimum_snap_safe_pixels_per_map,maximum_snap_safe_pixels_per_map,design_rank,design_parameters,design_condition_number,guard
A,force,pN,20.0,-200.9784564291379,-253.03122510168632,-148.9256877565895,6.066410684428078e-07,-229.97006404337705,-171.98684881489876,2.400589498801028e-10,-0.3699926391515781,58,64,3,3,4.480985491052548,bin_lower_edge_at_least_5nm_beyond_detected_snap
A,force,pN,50.0,-80.74119765685504,-99.25627340623532,-62.22612190747475,1.2961040649115806e-07,-92.97105234718705,-68.51134296652302,4.766617405855454e-10,-0.14160573801671705,63,64,3,3,4.480985491052548,bin_lower_edge_at_least_5nm_beyond_detected_snap
A,force,pN,100.0,-37.87075236330097,-47.41558686175384,-28.32591786484811,4.3165448418928486e-07,-43.409894406564156,-32.33161032003779,2.917568038943425e-10,0.06751509717307708,63,64,3,3,4.480985491052548,bin_lower_edge_at_least_5nm_beyond_detected_snap
A,force,pN,200.0,-16.758039083323602,-30.701770253596756,-2.8143079130504507,0.021691047872639778,-27.007263627359947,-6.508814539287256,0.003324050739745311,-0.1801697424059163,64,64,3,3,4.480985491052548,bin_lower_edge_at_least_5nm_beyond_detected_snap
A,endpoint_normalized_force,dimensionless,50.0,0.004623391282466832,-0.011205607423056763,0.020452389987990427,0.5429218871627157,-0.011438341338096573,0.020685123903030237,0.5487106583101584,0.5808002099670532,58,64,3,3,4.480985491052548,bin_lower_edge_at_least_5nm_beyond_detected_snap
A,endpoint_normalized_force,dimensionless,100.0,-0.010764999944283545,-0.017767132616563923,-0.003762867272003167,0.005094901414744643,-0.018168399018287377,-0.0033616008702797113,0.007328308205006401,0.3621461199912228,58,64,3,3,4.480985491052548,bin_lower_edge_at_least_5nm_beyond_detected_snap
B,force,pN,20.0,-103.19373037504243,-164.81750754456652,-41.56995320551836,0.0027964424191822468,-160.26677422703744,-46.12068652304741,0.0015615250693130137,0.21781688735796761,37,55,3,3,4.560112747765234,bin_lower_edge_at_least_5nm_beyond_detected_snap
B,force,pN,50.0,-62.565665780914685,-83.0759539013773,-42.055377660452066,9.997569239732737e-06,-77.513759048656,-47.61757251317337,2.1945593729194426e-07,-0.1530610767499472,44,64,3,3,4.560112747765234,bin_lower_edge_at_least_5nm_beyond_detected_snap
B,force,pN,100.0,-23.92853568730021,-34.226054491803765,-13.631016882796661,0.0001735301596269641,-31.991017499188633,-15.86605387541179,1.3601696658571594e-05,-0.03198764887786696,44,64,3,3,4.560112747765234,bin_lower_edge_at_least_5nm_beyond_detected_snap
B,force,pN,200.0,-4.7929708159030895,-17.06252696592413,7.476585334117948,0.41811471822483637,-10.147399013753605,0.5614573819474256,0.07572706122102672,-0.6561217210129664,44,64,3,3,4.560112747765234,bin_lower_edge_at_least_5nm_beyond_detected_snap
B,endpoint_normalized_force,dimensionless,50.0,-0.010132632679736964,-0.020893572535949954,0.0006283071764760263,0.06312108866851404,-0.019397070167098227,-0.0008681951923757009,0.03410110203825576,0.047324837737326354,37,55,3,3,4.560112747765234,bin_lower_edge_at_least_5nm_beyond_detected_snap
B,endpoint_normalized_force,dimensionless,100.0,-0.012853642158702772,-0.0187037943555705,-0.0070034899618350455,0.0002943718427976594,-0.01717192179592722,-0.008535362521478325,1.3165974543067e-05,-0.4310271280313222,37,55,3,3,4.560112747765234,bin_lower_edge_at_least_5nm_beyond_detected_snap
