concentration_wt_percent,primary_included,load_regime,source,timestamp,speed_um_per_s,minimum_distance_with_50pct_free_branch_support_nm,qualified_bins_25_250nm,odd_even_can_constrain_primary_fit_window,interpretation
0,True,main,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,440.0,0,False,free_retract_overlap_only_not_adhered_branch
0,True,main,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:06:26.277000,1.000167902191217,345.0,0,False,free_retract_overlap_only_not_adhered_branch
0,True,main,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,2026-08-20T15:15:57.076000,4.0027032818698425,285.0,0,False,free_retract_overlap_only_not_adhered_branch
10,False,main,20-08-26/10/map-data-2026.08.20-15.29.51.296.jpk-force-map,2026-08-20T15:29:51.296000,2.0006918234419464,55.0,40,True,free_retract_overlap_only_not_adhered_branch
10,False,main,20-08-26/10/map-data-2026.08.20-15.35.17.160.jpk-force-map,2026-08-20T15:35:17.160000,1.000168231925071,40.0,43,True,free_retract_overlap_only_not_adhered_branch
10,False,main,20-08-26/10/map-data-2026.08.20-15.44.18.192.jpk-force-map,2026-08-20T15:44:18.192000,4.002688814186261,65.0,38,True,free_retract_overlap_only_not_adhered_branch
20,True,main,20-08-26/20/map-data-2026.08.20-15.54.06.570.jpk-force-map,2026-08-20T15:54:06.570000,2.000700857790752,620.0,0,False,free_retract_overlap_only_not_adhered_branch
20,True,main,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,1.00017199010353,580.0,0,False,free_retract_overlap_only_not_adhered_branch
20,True,main,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,4.00274158490682,580.0,0,False,free_retract_overlap_only_not_adhered_branch
30,True,low_load,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,2.000701279094644,nan,0,False,free_retract_overlap_only_not_adhered_branch
30,True,low_load,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,2.000698613716714,nan,0,False,free_retract_overlap_only_not_adhered_branch
30,True,high_load,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,2.0006948003103613,nan,0,False,free_retract_overlap_only_not_adhered_branch
30,True,high_load,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,1.0001704103420987,nan,0,False,free_retract_overlap_only_not_adhered_branch
30,True,high_load,20-08-26/30/map-data-2026.08.20-16.42.02.033.jpk-force-map,2026-08-20T16:42:02.033000,1.0001721841168327,nan,0,False,free_retract_overlap_only_not_adhered_branch
30,True,high_load,20-08-26/30/map-data-2026.08.20-16.53.04.534.jpk-force-map,2026-08-20T16:53:04.534000,4.00273760231792,nan,0,False,free_retract_overlap_only_not_adhered_branch
40,True,main,20-08-26/40/map-data-2026.08.20-17.03.03.894.jpk-force-map,2026-08-20T17:03:03.894000,2.00069701891158,605.0,0,False,free_retract_overlap_only_not_adhered_branch
40,True,main,20-08-26/40/map-data-2026.08.20-17.07.48.782.jpk-force-map,2026-08-20T17:07:48.782000,1.0001694814408835,645.0,0,False,free_retract_overlap_only_not_adhered_branch
40,True,main,20-08-26/40/map-data-2026.08.20-17.18.39.693.jpk-force-map,2026-08-20T17:18:39.693000,4.0027398807261,640.0,0,False,free_retract_overlap_only_not_adhered_branch
