concentration_wt_percent,primary_included,source,timestamp,speed_um_per_s,speed_label_um_per_s,load_regime,retained_contact_valid_pixels,sensitivity_used_nm_per_V,contact_response_center,contact_response_mad,contact_invOLS_center_nm_per_V,terminal_load_center_nN,far_slope_center_pN_per_100nm
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,2.00068807156822,2.0,main,256,66.6088141893779,1.0017534610498218,0.010633161305988698,66.4922226710205,17.763593253118238,-3.2099907533803287
0,True,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:06:26.277000,1.000167902191217,1.0,main,256,66.6088141893779,0.9993799353526734,0.008682638798193528,66.65014163364356,17.755671880354818,-4.016705170645557
0,True,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,2026-08-20T15:15:57.076000,4.0027032818698425,4.0,main,255,66.6088141893779,0.9924312817944358,0.012873572940110977,67.11680235324818,17.71160465926122,-7.009378023177275
10,False,20-08-26/10/map-data-2026.08.20-15.29.51.296.jpk-force-map,2026-08-20T15:29:51.296000,2.0006918234419464,2.0,main,63,64.17743997896658,0.9579854920822178,0.038378243153259745,66.9920792218622,0.8748672783794512,-1.1069036269341046
10,False,20-08-26/10/map-data-2026.08.20-15.35.17.160.jpk-force-map,2026-08-20T15:35:17.160000,1.000168231925071,1.0,main,102,64.17743997896658,0.9837723555774633,0.039016906071847546,65.23606849155587,1.0212692524127691,21.048110308575822
10,False,20-08-26/10/map-data-2026.08.20-15.44.18.192.jpk-force-map,2026-08-20T15:44:18.192000,4.002688814186261,4.0,main,112,64.17743997896658,1.010087933489722,0.027393193901556614,63.536501683013704,0.8782279084515594,10.716675506818145
20,True,20-08-26/20/map-data-2026.08.20-15.54.06.570.jpk-force-map,2026-08-20T15:54:06.570000,2.000700857790752,2.0,main,242,60.718363337402,0.9671909214958809,0.048622618140923536,62.77805860179578,7.039811012860185,12.428165494183489
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,1.00017199010353,1.0,main,251,60.718363337402,1.0126289262125547,0.02582261126508332,59.961118792548675,7.200225332080184,33.545881608588125
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,4.00274158490682,4.0,main,252,60.718363337402,1.026883479012346,0.025150121727297473,59.12877616048661,6.871228338162802,4.504055220481488
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,2.000701279094644,2.0,low_load,149,58.673052856898124,0.9622800175261718,0.014136038479626207,60.97295151959482,6.66705720096232,0.6563158453848801
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,2.000698613716714,2.0,low_load,111,58.673052856898124,0.9650020247258569,0.010775055795062256,60.80096347317643,6.699942826798849,4.343188455168564
30,True,20-08-26/30/map-data-2026.08.20-16.27.34.022.jpk-force-map,2026-08-20T16:27:34.022000,2.0006948003103613,2.0,high_load,206,58.673052856898124,0.9942215281537514,0.016145460187992806,59.014063964047196,18.414067909448363,8.56080139578404
30,True,20-08-26/30/map-data-2026.08.20-16.37.53.539.jpk-force-map,2026-08-20T16:37:53.539000,1.0001704103420987,1.0,high_load,101,58.673052856898124,1.0132625529666317,0.00845774560271265,57.90508361837222,18.567791068437952,23.192390295303767
30,True,20-08-26/30/map-data-2026.08.20-16.42.02.033.jpk-force-map,2026-08-20T16:42:02.033000,1.0001721841168327,1.0,high_load,179,58.673052856898124,1.0173275001234479,0.010224471012597621,57.67371161182453,18.622065996834685,34.496552783814195
30,True,20-08-26/30/map-data-2026.08.20-16.53.04.534.jpk-force-map,2026-08-20T16:53:04.534000,4.00273760231792,4.0,high_load,256,58.673052856898124,1.020501445017358,0.008081351781239164,57.494336176388686,18.43942844693676,20.058983131489278
40,True,20-08-26/40/map-data-2026.08.20-17.03.03.894.jpk-force-map,2026-08-20T17:03:03.894000,2.00069701891158,2.0,main,255,57.90260230663586,1.0077655023974126,0.0078002247343690245,57.45642430594132,18.06549891871024,1.7981266281664194
40,True,20-08-26/40/map-data-2026.08.20-17.07.48.782.jpk-force-map,2026-08-20T17:07:48.782000,1.0001694814408835,1.0,main,255,57.90260230663586,1.0039848387362662,0.006309042285396806,57.672785556721074,18.264394393311143,19.812493866015522
40,True,20-08-26/40/map-data-2026.08.20-17.18.39.693.jpk-force-map,2026-08-20T17:18:39.693000,4.0027398807261,4.0,main,256,57.90260230663586,0.9643604190308408,0.009255581571547397,60.042492439086175,18.11006947029661,8.906146527229076
