concentration_wt_percent,primary_included,speed_label_um_per_s,map_count,median_approach_contact_invOLS_nm_per_V,map_mad_approach_contact_invOLS_nm_per_V,map_min_approach_contact_invOLS_nm_per_V,map_max_approach_contact_invOLS_nm_per_V,median_approach_contact_response_ratio,map_mad_approach_contact_response_ratio,map_min_approach_contact_response_ratio,map_max_approach_contact_response_ratio,median_approach_contact_residual_pN,map_mad_approach_contact_residual_pN,map_min_approach_contact_residual_pN,map_max_approach_contact_residual_pN,median_approach_contact_height_um,map_mad_approach_contact_height_um,map_min_approach_contact_height_um,map_max_approach_contact_height_um,median_approach_terminal_load_nN,map_mad_approach_terminal_load_nN,map_min_approach_terminal_load_nN,map_max_approach_terminal_load_nN,median_approach_far_slope_pN_per_100nm,map_mad_approach_far_slope_pN_per_100nm,map_min_approach_far_slope_pN_per_100nm,map_max_approach_far_slope_pN_per_100nm,median_approach_far_noise_pN,map_mad_approach_far_noise_pN,map_min_approach_far_noise_pN,map_max_approach_far_noise_pN,median_approach_snap_distance_nm,map_mad_approach_snap_distance_nm,map_min_approach_snap_distance_nm,map_max_approach_snap_distance_nm,median_approach_snap_step_pN,map_mad_approach_snap_step_pN,map_min_approach_snap_step_pN,map_max_approach_snap_step_pN,median_approach_barrier_force_nN,map_mad_approach_barrier_force_nN,map_min_approach_barrier_force_nN,map_max_approach_barrier_force_nN,median_retract_contact_invOLS_nm_per_V,map_mad_retract_contact_invOLS_nm_per_V,map_min_retract_contact_invOLS_nm_per_V,map_max_retract_contact_invOLS_nm_per_V,median_retract_contact_response_ratio,map_mad_retract_contact_response_ratio,map_min_retract_contact_response_ratio,map_max_retract_contact_response_ratio,median_retract_terminal_load_nN,map_mad_retract_terminal_load_nN,map_min_retract_terminal_load_nN,map_max_retract_terminal_load_nN,median_retract_far_slope_pN_per_100nm,map_mad_retract_far_slope_pN_per_100nm,map_min_retract_far_slope_pN_per_100nm,map_max_retract_far_slope_pN_per_100nm,median_retract_far_noise_pN,map_mad_retract_far_noise_pN,map_min_retract_far_noise_pN,map_max_retract_far_noise_pN,median_branch_contact_height_difference_nm,map_mad_branch_contact_height_difference_nm,map_min_branch_contact_height_difference_nm,map_max_branch_contact_height_difference_nm,median_retract_detachment_piezo_travel_nm,map_mad_retract_detachment_piezo_travel_nm,map_min_retract_detachment_piezo_travel_nm,map_max_retract_detachment_piezo_travel_nm,median_retract_detachment_free_side_distance_nm,map_mad_retract_detachment_free_side_distance_nm,map_min_retract_detachment_free_side_distance_nm,map_max_retract_detachment_free_side_distance_nm,median_retract_pull_off_force_nN,map_mad_retract_pull_off_force_nN,map_min_retract_pull_off_force_nN,map_max_retract_pull_off_force_nN,median_retract_pull_off_observed_floor_nN,map_mad_retract_pull_off_observed_floor_nN,map_min_retract_pull_off_observed_floor_nN,map_max_retract_pull_off_observed_floor_nN,median_retract_min_precontact_force_nN,map_mad_retract_min_precontact_force_nN,map_min_retract_min_precontact_force_nN,map_max_retract_min_precontact_force_nN,median_retract_retraction_range_nm,map_mad_retract_retraction_range_nm,map_min_retract_retraction_range_nm,map_max_retract_retraction_range_nm,median_approach_contact_valid_fraction,median_approach_snap_detected_fraction,median_retract_contact_valid_fraction,median_approach_raw_saturation_fraction,median_retract_raw_saturation_fraction,median_retract_free_baseline_valid_fraction,median_retract_snapoff_detected_fraction,median_retract_pull_off_censored_fraction,median_retract_detachment_right_censored_fraction
0,True,1.0,1,66.65014163364356,0.0,66.65014163364356,66.65014163364356,0.9993799353526734,0.0,0.9993799353526734,0.9993799353526734,57.01188448233873,0.0,57.01188448233873,57.01188448233873,7.411209954692971,0.0,7.411209954692971,7.411209954692971,17.755671880354818,0.0,17.755671880354818,17.755671880354818,-4.016705170645557,0.0,-4.016705170645557,-4.016705170645557,8.007044309315749,0.0,8.007044309315749,8.007044309315749,6.581452830609954,0.0,6.581452830609954,6.581452830609954,-283.00440274663833,0.0,-283.00440274663833,-283.00440274663833,7.235894311429823,0.0,7.235894311429823,7.235894311429823,65.95257544574947,0.0,65.95257544574947,65.95257544574947,1.0099501609939185,0.0,1.0099501609939185,1.0099501609939185,18.59621846171381,0.0,18.59621846171381,18.59621846171381,-4.76019525851585,0.0,-4.76019525851585,-4.76019525851585,7.919594398163245,0.0,7.919594398163245,7.919594398163245,-0.3845152953911738,0.0,-0.3845152953911738,-0.3845152953911738,342.37465834718915,0.0,342.37465834718915,342.37465834718915,344.82540641044477,0.0,344.82540641044477,344.82540641044477,-105.48143964821918,0.0,-105.48143964821918,-105.48143964821918,-105.48143964821918,0.0,-105.48143964821918,-105.48143964821918,-105.03350275318567,0.0,-105.03350275318567,-105.03350275318567,997.6129876150884,0.0,997.6129876150884,997.6129876150884,1.0,0.17578125,1.0,0.0,0.0,1.0,0.984375,0.0,0.0
0,True,2.0,1,66.4922226710205,0.0,66.4922226710205,66.4922226710205,1.0017534610498218,0.0,1.0017534610498218,1.0017534610498218,52.027841079878925,0.0,52.027841079878925,52.027841079878925,7.361528975297425,0.0,7.361528975297425,7.361528975297425,17.763593253118238,0.0,17.763593253118238,17.763593253118238,-3.2099907533803287,0.0,-3.2099907533803287,-3.2099907533803287,10.527587455800273,0.0,10.527587455800273,10.527587455800273,10.363310654186453,0.0,10.363310654186453,10.363310654186453,-223.8933257260137,0.0,-223.8933257260137,-223.8933257260137,4.806211573557539,0.0,4.806211573557539,4.806211573557539,66.03627286421577,0.0,66.03627286421577,66.03627286421577,1.0086701035764298,0.0,1.0086701035764298,1.0086701035764298,19.206598256739074,0.0,19.206598256739074,19.206598256739074,-4.044986388097305,0.0,-4.044986388097305,-4.044986388097305,10.32611771681885,0.0,10.32611771681885,10.32611771681885,-0.3353337402771229,0.0,-0.3353337402771229,-0.3353337402771229,429.50615793761176,0.0,429.50615793761176,429.50615793761176,433.3079343400375,0.0,433.3079343400375,433.3079343400375,-131.43953706721967,0.0,-131.43953706721967,-131.43953706721967,-131.43953706721967,0.0,-131.43953706721967,-131.43953706721967,-130.97100528260125,0.0,-130.97100528260125,-130.97100528260125,995.8800397138491,0.0,995.8800397138491,995.8800397138491,1.0,0.05078125,1.0,0.0,0.0,1.0,0.96875,0.0,0.0
0,True,4.0,1,67.11680235324818,0.0,67.11680235324818,67.11680235324818,0.9924312817944358,0.0,0.9924312817944358,0.9924312817944358,45.0161041325981,0.0,45.0161041325981,45.0161041325981,7.443283683835322,0.0,7.443283683835322,7.443283683835322,17.712471336296964,0.0,17.712471336296964,17.712471336296964,-7.007763131496878,0.0,-7.007763131496878,-7.007763131496878,14.659612481843983,0.0,14.659612481843983,14.659612481843983,5.395127589873097,0.0,5.395127589873097,5.395127589873097,-137.9379522194272,0.0,-137.9379522194272,-137.9379522194272,7.1169904140568825,0.0,7.1169904140568825,7.1169904140568825,65.79538374469684,0.0,65.79538374469684,65.79538374469684,1.0123630321742247,0.0,1.0123630321742247,1.0123630321742247,19.76646195723558,0.0,19.76646195723558,19.76646195723558,-6.797949802261607,0.0,-6.797949802261607,-6.797949802261607,14.780939113465411,0.0,14.780939113465411,14.780939113465411,-1.2655275885103234,0.0,-1.2655275885103234,-1.2655275885103234,274.1984268418312,0.0,274.1984268418312,274.1984268418312,283.12306074811227,0.0,283.12306074811227,283.12306074811227,-84.42991967110918,0.0,-84.42991967110918,-84.42991967110918,-84.42991967110918,0.0,-84.42991967110918,-84.42991967110918,-83.960190782737,0.0,-83.960190782737,-83.960190782737,992.2579776579516,0.0,992.2579776579516,992.2579776579516,0.99609375,0.078125,1.0,0.0,0.0,1.0,0.984375,0.0,0.0
10,False,1.0,1,65.23606849155587,0.0,65.23606849155587,65.23606849155587,0.9837723555774633,0.0,0.9837723555774633,0.9837723555774633,38.114380644746745,0.0,38.114380644746745,38.114380644746745,7.54197218356146,0.0,7.54197218356146,7.54197218356146,1.004931921773248,0.0,1.004931921773248,1.004931921773248,17.460635881993028,0.0,17.460635881993028,17.460635881993028,10.37959738941953,0.0,10.37959738941953,10.37959738941953,7.8662865633377415,0.0,7.8662865633377415,7.8662865633377415,-599.7323679415376,0.0,-599.7323679415376,-599.7323679415376,0.2444314325295559,0.0,0.2444314325295559,0.2444314325295559,61.498734878279215,0.0,61.498734878279215,61.498734878279215,1.0435570765153,0.0,1.0435570765153,1.0435570765153,1.7769886336728704,0.0,1.7769886336728704,1.7769886336728704,7.668645626642675,0.0,7.668645626642675,7.668645626642675,10.22142709544552,0.0,10.22142709544552,10.22142709544552,-0.37733885915630405,0.0,-0.37733885915630405,-0.37733885915630405,30.63293371415434,0.0,30.63293371415434,30.63293371415434,31.696313334639548,0.0,31.696313334639548,31.696313334639548,-2.0756281982936775,0.0,-2.0756281982936775,-2.0756281982936775,-2.0756281982936775,0.0,-2.0756281982936775,-2.0756281982936775,-0.198608561829275,0.0,-0.198608561829275,-0.198608561829275,997.6243112783928,0.0,997.6243112783928,997.6243112783928,0.3984375,0.1171875,0.98828125,0.0,0.0,1.0,0.640625,0.0,0.0
10,False,2.0,1,66.9920792218622,0.0,66.9920792218622,66.9920792218622,0.9579854920822178,0.0,0.9579854920822178,0.9579854920822178,38.48769903315915,0.0,38.48769903315915,38.48769903315915,7.466675919797862,0.0,7.466675919797862,7.466675919797862,0.85558765413565,0.0,0.85558765413565,0.85558765413565,-0.9575438008981587,0.0,-0.9575438008981587,-0.9575438008981587,12.065999473794935,0.0,12.065999473794935,12.065999473794935,7.556269900150186,0.0,7.556269900150186,7.556269900150186,-253.9667405024174,0.0,-253.9667405024174,-253.9667405024174,0.24556560952553924,0.0,0.24556560952553924,0.24556560952553924,62.28703655104935,0.0,62.28703655104935,62.28703655104935,1.0303498853822841,0.0,1.0303498853822841,1.0303498853822841,2.2001116144869335,0.0,2.2001116144869335,2.2001116144869335,1.28107693395,0.0,1.28107693395,1.28107693395,11.897501765155472,0.0,11.897501765155472,11.897501765155472,-0.8416744062364031,0.0,-0.8416744062364031,-0.8416744062364031,26.384989192836308,0.0,26.384989192836308,26.384989192836308,27.828601644522468,0.0,27.828601644522468,27.828601644522468,-0.2653147571106928,0.0,-0.2653147571106928,-0.2653147571106928,-0.2653147571106928,0.0,-0.2653147571106928,-0.2653147571106928,-0.19133785025476238,0.0,-0.19133785025476238,-0.19133785025476238,995.9017410273198,0.0,995.9017410273198,995.9017410273198,0.24609375,0.1015625,0.9921875,0.0,0.0,1.0,0.61328125,0.0,0.0
10,False,4.0,1,63.536501683013704,0.0,63.536501683013704,63.536501683013704,1.010087933489722,0.0,1.010087933489722,1.010087933489722,40.278492228054056,0.0,40.278492228054056,40.278492228054056,7.563812758626174,0.0,7.563812758626174,7.563812758626174,0.8800392774265899,0.0,0.8800392774265899,0.8800392774265899,10.813260370932412,0.0,10.813260370932412,10.813260370932412,17.723589867419356,0.0,17.723589867419356,17.723589867419356,7.957780383380155,0.0,7.957780383380155,7.957780383380155,-279.51757402076566,0.0,-279.51757402076566,-279.51757402076566,0.23385105936680103,0.0,0.23385105936680103,0.23385105936680103,59.870506083037974,0.0,59.870506083037974,59.870506083037974,1.0719374893867617,0.0,1.0719374893867617,1.0719374893867617,3.0333073461242686,0.0,3.0333073461242686,3.0333073461242686,11.67482635537915,0.0,11.67482635537915,11.67482635537915,17.51428524824147,0.0,17.51428524824147,17.51428524824147,-0.5524939343133188,0.0,-0.5524939343133188,-0.5524939343133188,38.72320864925463,0.0,38.72320864925463,38.72320864925463,40.26855360833824,0.0,40.26855360833824,40.26855360833824,-3.1658807957110575,0.0,-3.1658807957110575,-3.1658807957110575,-3.1658807957110575,0.0,-3.1658807957110575,-3.1658807957110575,-0.2252669026456702,0.0,-0.2252669026456702,-0.2252669026456702,992.2467622732593,0.0,992.2467622732593,992.2467622732593,0.4375,0.14453125,0.99609375,0.0,0.0,1.0,0.546875,0.0,0.0
20,True,1.0,1,59.961118792548675,0.0,59.961118792548675,59.961118792548675,1.0126289262125547,0.0,1.0126289262125547,1.0126289262125547,46.86642903927549,0.0,46.86642903927549,46.86642903927549,6.706613630428885,0.0,6.706613630428885,6.706613630428885,7.201420033832507,0.0,7.201420033832507,7.201420033832507,33.58142909875495,0.0,33.58142909875495,33.58142909875495,11.219057981051188,0.0,11.219057981051188,11.219057981051188,10.227321653621686,0.0,10.227321653621686,10.227321653621686,-605.174339357935,0.0,-605.174339357935,-605.174339357935,3.212298908075236,0.0,3.212298908075236,3.212298908075236,57.036305739494786,0.0,57.036305739494786,57.036305739494786,1.0645563829944473,0.0,1.0645563829944473,1.0645563829944473,8.041683322751913,0.0,8.041683322751913,8.041683322751913,14.74387307632637,0.0,14.74387307632637,14.74387307632637,10.861499883580034,0.0,10.861499883580034,10.861499883580034,-0.9961540137565502,0.0,-0.9961540137565502,-0.9961540137565502,567.5279048656665,0.0,567.5279048656665,567.5279048656665,569.847242939939,0.0,569.847242939939,569.847242939939,nan,nan,nan,nan,-161.89172721424114,0.0,-161.89172721424114,-161.89172721424114,-161.89172721424114,0.0,-161.89172721424114,-161.89172721424114,997.6050547820125,0.0,997.6050547820125,997.6050547820125,0.98046875,0.6796875,0.97265625,0.0,0.58203125,0.9765625,0.97265625,0.578125,0.0234375
20,True,2.0,1,62.77805860179578,0.0,62.77805860179578,62.77805860179578,0.9671909214958809,0.0,0.9671909214958809,0.9671909214958809,40.01146921768351,0.0,40.01146921768351,40.01146921768351,6.6322569069583714,0.0,6.6322569069583714,6.6322569069583714,7.04122734113756,0.0,7.04122734113756,7.04122734113756,12.055781202209698,0.0,12.055781202209698,12.055781202209698,12.44840074135513,0.0,12.44840074135513,12.44840074135513,8.103450045646177,0.0,8.103450045646177,8.103450045646177,-366.374554484217,0.0,-366.374554484217,-366.374554484217,4.056812323320888,0.0,4.056812323320888,4.056812323320888,58.11751488797731,0.0,58.11751488797731,58.11751488797731,1.0447515427745686,0.0,1.0447515427745686,1.0447515427745686,8.402099987170038,0.0,8.402099987170038,8.402099987170038,7.4333631663992445,0.0,7.4333631663992445,7.4333631663992445,12.335595797654623,0.0,12.335595797654623,12.335595797654623,-1.7857939969299894,0.0,-1.7857939969299894,-1.7857939969299894,597.3109651934412,0.0,597.3109651934412,597.3109651934412,602.3971213115204,0.0,602.3971213115204,602.3971213115204,-155.0796072731739,0.0,-155.0796072731739,-155.0796072731739,-190.23359069625053,0.0,-190.23359069625053,-190.23359069625053,-189.87407004822634,0.0,-189.87407004822634,-189.87407004822634,995.8571530345166,0.0,995.8571530345166,995.8571530345166,0.9453125,0.4765625,0.9453125,0.0,0.375,0.95703125,0.94140625,0.37109375,0.04296875
20,True,4.0,1,59.12877616048661,0.0,59.12877616048661,59.12877616048661,1.026883479012346,0.0,1.026883479012346,1.026883479012346,45.81270602788325,0.0,45.81270602788325,45.81270602788325,6.7302735785417624,0.0,6.7302735785417624,6.7302735785417624,6.871228338162802,0.0,6.871228338162802,6.871228338162802,4.504055220481488,0.0,4.504055220481488,4.504055220481488,20.096844600268305,0.0,20.096844600268305,20.096844600268305,7.92115894116356,0.0,7.92115894116356,7.92115894116356,-534.8312338818575,0.0,-534.8312338818575,-534.8312338818575,3.4850208930846094,0.0,3.4850208930846094,3.4850208930846094,55.061663398969145,0.0,55.061663398969145,55.061663398969145,1.1027339095325197,0.0,1.1027339095325197,1.1027339095325197,9.091988056366914,0.0,9.091988056366914,9.091988056366914,7.824177082617263,0.0,7.824177082617263,7.824177082617263,19.90486868846761,0.0,19.90486868846761,19.90486868846761,-1.406645481537347,0.0,-1.406645481537347,-1.406645481537347,559.6978868910301,0.0,559.6978868910301,559.6978868910301,577.5573815759457,0.0,577.5573815759457,577.5573815759457,nan,nan,nan,nan,-136.41714590387375,0.0,-136.41714590387375,-136.41714590387375,-136.41714590387375,0.0,-136.41714590387375,-136.41714590387375,992.180472966987,0.0,992.180472966987,992.180472966987,0.984375,0.84375,1.0,0.0,0.75,1.0,1.0,0.75,0.0
30,True,1.0,2,57.78939761509837,0.17151606845380052,57.67371161182453,57.90508361837222,1.0152950265450398,0.0030133453273478166,1.0132625529666317,1.0173275001234479,56.832122681393344,1.6699863394061736,55.70573232701173,57.95851303577495,6.972972079806528,0.009956623776170615,6.9662564290739155,6.97968773053914,18.59482315986834,0.04007777875469437,18.567791068437952,18.62185525129873,28.83238681260012,8.361858836543574,23.192390295303767,34.47238332989647,13.892660133569958,1.2124648651972374,13.074863785804386,14.71045648133553,10.460533870824438,0.6614785996406382,10.01437266777531,10.906695073873568,-1003.3650711198738,311.9031851068758,-1213.7408873257796,-792.9892549139681,2.851761821046335,0.19626969186483764,2.7193797275181835,2.984143914574487,57.362366177830324,0.17841710867333058,57.24202548669763,57.482706868963014,1.022853805586373,0.0031815236881386644,1.0207078972576675,1.0249997139150784,19.534481672254202,0.1021042108514576,19.465613325531244,19.60335001897716,4.510220774426498,4.75946442544184,1.300005999408394,7.720435549444602,13.229452292246169,0.8025838573378447,12.68811689676671,13.770787687725626,-0.5752145552156169,0.1813713530395571,-0.6975478568745654,-0.45288125355666836,nan,nan,nan,nan,824.84569707884,2.056301346706926,823.4587408217868,826.232653335893,nan,nan,nan,nan,-184.87405708672935,17.604285291059252,-196.74798484273856,-173.00012933072014,-184.87405708672935,17.604285291059252,-196.74798484273856,-173.00012933072014,997.636102249393,0.009691176300833739,997.6295656405297,997.6426388582564,0.9972375690607735,0.7877304305016137,0.15138668562988894,0.0027624309392265192,0.9922870740112686,0.15138668562988894,0.15138668562988894,0.9922870740112686,0.8486133143701111
