concentration_wt_percent,primary_included,source,source_type,timestamp,curve_count,paired_retract_count,approach_speed_um_per_s,retract_speed_um_per_s,speed_label_um_per_s,sensitivity_used_nm_per_V,sensitivity_anchor_nm_per_V,sensitivity_anchor_mad_nm_per_V,approach_contact_valid_fraction,approach_snap_detected_fraction,retract_contact_valid_fraction,approach_raw_saturation_fraction,retract_raw_saturation_fraction,retract_free_baseline_valid_fraction,retract_snapoff_detected_fraction,retract_pull_off_censored_fraction,retract_detachment_right_censored_fraction,median_approach_contact_invOLS_nm_per_V,mad_approach_contact_invOLS_nm_per_V,n_approach_contact_invOLS_nm_per_V,median_approach_contact_response_ratio,mad_approach_contact_response_ratio,n_approach_contact_response_ratio,median_approach_contact_residual_pN,mad_approach_contact_residual_pN,n_approach_contact_residual_pN,median_approach_contact_height_um,mad_approach_contact_height_um,n_approach_contact_height_um,median_approach_terminal_load_nN,mad_approach_terminal_load_nN,n_approach_terminal_load_nN,median_approach_far_slope_pN_per_100nm,mad_approach_far_slope_pN_per_100nm,n_approach_far_slope_pN_per_100nm,median_approach_far_noise_pN,mad_approach_far_noise_pN,n_approach_far_noise_pN,median_approach_snap_distance_nm,mad_approach_snap_distance_nm,n_approach_snap_distance_nm,median_approach_snap_step_pN,mad_approach_snap_step_pN,n_approach_snap_step_pN,median_approach_barrier_force_nN,mad_approach_barrier_force_nN,n_approach_barrier_force_nN,median_retract_contact_invOLS_nm_per_V,mad_retract_contact_invOLS_nm_per_V,n_retract_contact_invOLS_nm_per_V,median_retract_contact_response_ratio,mad_retract_contact_response_ratio,n_retract_contact_response_ratio,median_retract_terminal_load_nN,mad_retract_terminal_load_nN,n_retract_terminal_load_nN,median_retract_far_slope_pN_per_100nm,mad_retract_far_slope_pN_per_100nm,n_retract_far_slope_pN_per_100nm,median_retract_far_noise_pN,mad_retract_far_noise_pN,n_retract_far_noise_pN,median_branch_contact_height_difference_nm,mad_branch_contact_height_difference_nm,n_branch_contact_height_difference_nm,median_retract_detachment_piezo_travel_nm,mad_retract_detachment_piezo_travel_nm,n_retract_detachment_piezo_travel_nm,median_retract_detachment_free_side_distance_nm,mad_retract_detachment_free_side_distance_nm,n_retract_detachment_free_side_distance_nm,median_retract_pull_off_force_nN,mad_retract_pull_off_force_nN,n_retract_pull_off_force_nN,median_retract_pull_off_observed_floor_nN,mad_retract_pull_off_observed_floor_nN,n_retract_pull_off_observed_floor_nN,median_retract_min_precontact_force_nN,mad_retract_min_precontact_force_nN,n_retract_min_precontact_force_nN,median_retract_retraction_range_nm,mad_retract_retraction_range_nm,n_retract_retraction_range_nm
0,True,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2026-08-20T14:59:33.875000,1,1,2.0000057762358256,2.001143647465878,2.0,66.6088141893779,68.63875155125953,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,68.63875155125953,0.0,1,0.9704257825790191,0.0,1,176.8084872753424,0.0,1,7.296136241593647,0.0,1,18.657387933285545,0.0,1,3.627138797845933,0.0,1,9.52806250521113,0.0,1,nan,nan,0,nan,nan,0,nan,nan,0,65.81674893227459,0.0,1,1.012034402639947,0.0,1,20.329926668771137,0.0,1,0.26689454641242216,0.0,1,9.632777914212147,0.0,1,-1.3023348278066638,0.0,1,430.6157088874724,0.0,1,429.83545298543044,0.0,1,-131.66067001224295,0.0,1,-131.66067001224295,0.0,1,-131.66067001224295,0.0,1,996.7976325672599,0.0,1
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,map,2026-08-20T15:01:47.915000,256,256,2.00068807156822,2.000935230425103,2.0,66.6088141893779,66.49149015915835,0.6996818395144013,1.0,0.05078125,1.0,0.0,0.0,1.0,0.96875,0.0,0.0,66.4922226710205,0.7022754253108898,256,1.0017534610498218,0.010633161305988698,256,52.027841079878925,16.1872714812345,256,7.361528975297425,0.01835215205471509,256,17.763593253118238,0.11297296803471642,256,-3.2099907533803287,4.877157892714442,256,10.527587455800273,1.0748176725481213,256,10.363310654186453,2.6111107628556334,13,-223.8933257260137,109.89939151315599,13,4.806211573557539,0.6040356170997543,13,66.03627286421577,0.1460882783384515,256,1.0086701035764298,0.0022314283688628198,256,19.206598256739074,0.10983168294001021,256,-4.044986388097305,3.787926228779333,256,10.32611771681885,0.900520965190549,256,-0.3353337402771229,0.46259288660433107,256,429.50615793761176,124.58837953436064,248,433.3079343400375,125.02531510937625,248,-131.43953706721967,37.07667943594096,248,-131.43953706721967,37.07667943594096,248,-130.97100528260125,37.593809205485066,256,995.8800397138491,0.09862694067523461,256
0,True,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,map,2026-08-20T15:06:26.277000,256,256,1.000167902191217,1.0002300913234698,1.0,66.6088141893779,66.6483580585742,0.5707845620748706,1.0,0.17578125,1.0,0.0,0.0,1.0,0.984375,0.0,0.0,66.65014163364356,0.578114051802539,256,0.9993799353526734,0.008682638798193528,256,57.01188448233873,22.867999377297867,256,7.411209954692971,0.01739765602133085,256,17.755671880354818,0.12468421253484367,256,-4.016705170645557,4.121466190024336,256,8.007044309315749,0.995693609057549,256,6.581452830609954,1.322808229046124,45,-283.00440274663833,201.96154319838806,45,7.235894311429823,0.8629299312050678,45,65.95257544574947,0.2139450802556858,256,1.0099501609939185,0.003276180417366155,256,18.59621846171381,0.11694387061508489,256,-4.76019525851585,3.6988844513715224,256,7.919594398163245,0.9983473784274449,256,-0.3845152953911738,0.4779973513593389,256,342.37465834718915,104.3493534099713,252,344.82540641044477,103.80453164712301,252,-105.48143964821918,32.177245531660255,252,-105.48143964821918,32.177245531660255,252,-105.03350275318567,32.38863895694987,256,997.6129876150884,0.062304040136512695,256
0,True,20-08-26/0/force-save-2026.08.20-15.15.19.592.jpk-force,force,2026-08-20T15:15:19.592000,1,1,0.999975258750033,1.0002765729395622,1.0,66.6088141893779,66.55353882104183,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,66.55353882104183,0.0,1,1.0008305398828556,0.0,1,126.21750206628005,0.0,1,7.435137911336655,0.0,1,17.841267265574082,0.0,1,-2.765976608396782,0.0,1,9.291837720234454,0.0,1,nan,nan,0,nan,nan,0,nan,nan,0,65.856677260195,0.0,1,1.0114208150255024,0.0,1,18.516300312009967,0.0,1,0.36564001627283416,0.0,1,6.853663420792381,0.0,1,-0.22348016892977166,0.0,1,267.7653898245255,0.0,1,269.93776559513407,0.0,1,-82.1344632284343,0.0,1,-82.1344632284343,0.0,1,-82.1344632284343,0.0,1,997.9388549484752,0.0,1
0,True,20-08-26/0/force-save-2026.08.20-15.15.29.074.jpk-force,force,2026-08-20T15:15:29.074000,1,1,0.9999761689681751,1.0002739462821402,1.0,66.6088141893779,66.56927032018159,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,66.56927032018159,0.0,1,1.000594025877197,0.0,1,62.80234724286333,0.0,1,7.436276876110646,0.0,1,17.62067833136837,0.0,1,10.928509615273573,0.0,1,7.674061739593178,0.0,1,nan,nan,0,nan,nan,0,nan,nan,0,65.81305581746958,0.0,1,1.0120911931838468,0.0,1,18.366232188892706,0.0,1,-4.690601958712421,0.0,1,6.412566091964633,0.0,1,-0.6445688742688,0.0,1,285.1781758349377,0.0,1,287.2620636810779,0.0,1,-87.76122946438566,0.0,1,-87.76122946438566,0.0,1,-87.76122946438566,0.0,1,997.9722275565852,0.0,1
0,True,20-08-26/0/force-save-2026.08.20-15.15.38.488.jpk-force,force,2026-08-20T15:15:38.488000,1,1,0.9999745475053594,1.0002751087971549,1.0,66.6088141893779,66.08781419917523,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,66.08781419917523,0.0,1,1.0078834501718044,0.0,1,93.14230838575979,0.0,1,7.436191520627909,0.0,1,17.508987361385756,0.0,1,-0.01802733994107183,0.0,1,8.674582681380528,0.0,1,nan,nan,0,nan,nan,0,nan,nan,0,66.14569032395312,0.0,1,1.0070015727881378,0.0,1,18.43786990762015,0.0,1,-2.035927384455664,0.0,1,7.104667050040796,0.0,1,0.08569035461942781,0.0,1,303.3194914326236,0.0,1,305.39227772470224,0.0,1,-93.32773465594175,0.0,1,-93.32773465594175,0.0,1,-93.32773465594175,0.0,1,998.0749440676123,0.0,1
0,True,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,map,2026-08-20T15:15:57.076000,256,256,4.002703248567697,4.003769088651444,4.0,66.6088141893779,67.09177236030787,0.8191128237514174,0.99609375,0.078125,1.0,0.0,0.0,1.0,0.984375,0.0,0.0,67.11680235324818,0.8672167469314811,255,0.9924312817944358,0.012873572940110977,255,45.0161041325981,13.55569376312473,255,7.443283683835322,0.005199544797777182,255,17.712471336296964,0.12650889420743822,256,-7.007763131496878,4.405806331390637,256,14.659612481843983,1.149393798869458,256,5.395127589873097,0.4907125374850047,20,-137.9379522194272,79.57328025955958,20,7.1169904140568825,0.7297898719496907,20,65.79538374469684,0.17475393777772485,256,1.0123630321742247,0.002684369300416306,256,19.76646195723558,0.1263106275623232,256,-6.797949802261607,3.2620884204263705,256,14.780939113465411,1.3557603045746263,256,-1.2655275885103234,0.6908808205232003,255,274.1984268418312,90.6187599742679,252,283.12306074811227,100.13292001246357,252,-84.42991967110918,28.616022643998054,252,-84.42991967110918,28.616022643998054,252,-83.960190782737,28.952657102056104,256,992.2579776579516,0.16473309880256412,256
0,True,20-08-26/0/force-save-2026.08.20-15.18.48.223.jpk-force,force,2026-08-20T15:18:48.223000,1,1,1.9999142826805856,2.0011127762235406,2.0,66.6088141893779,67.53290633777235,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,67.53290633777235,0.0,1,0.9863164167143567,0.0,1,36.226154900673635,0.0,1,7.436161641956688,0.0,1,17.64311230577712,0.0,1,1.3658792938284308,0.0,1,11.295595811798437,0.0,1,nan,nan,0,nan,nan,0,nan,nan,0,65.83714004473546,0.0,1,1.0117209548306334,0.0,1,18.964618541136762,0.0,1,-10.937824884628983,0.0,1,9.522974628726912,0.0,1,-1.597168720340547,0.0,1,248.015294910445,0.0,1,250.39428785171228,0.0,1,-76.52338268777395,0.0,1,-76.52338268777395,0.0,1,-76.52338268777395,0.0,1,996.6669231854974,0.0,1
10,False,20-08-26/10/force-save-2026.08.20-15.29.21.903.jpk-force,force,2026-08-20T15:29:21.903000,1,1,2.0008012533463453,2.001020501388317,2.0,64.17743997896658,nan,nan,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,0,0.5815467431733713,0.0,1,-7.889989523696716,0.0,1,11.725613752481246,0.0,1,nan,nan,0,nan,nan,0,nan,nan,0,60.85957679295462,0.0,1,1.054516698288905,0.0,1,1.9629271808479902,0.0,1,-13.840526168487106,0.0,1,10.309977301702983,0.0,1,nan,nan,0,48.92604280723584,0.0,1,50.02304251130963,0.0,1,-0.3081420023890345,0.0,1,-0.3081420023890345,0.0,1,-0.3081420023890345,0.0,1,995.8340554968343,0.0,1
10,False,20-08-26/10/force-save-2026.08.20-15.29.34.212.jpk-force,force,2026-08-20T15:29:34.212000,1,1,2.0007811776366986,2.0010281841306354,2.0,64.17743997896658,64.87403479565249,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,64.87403479565249,0.0,1,0.9892623478887951,0.0,1,22.48485784854024,0.0,1,7.400387647941265,0.0,1,0.7153911636830426,0.0,1,0.8037416798674641,0.0,1,12.017554825664872,0.0,1,nan,nan,0,nan,nan,0,nan,nan,0,61.55047274028254,0.0,1,1.0426798872815932,0.0,1,2.157299928805257,0.0,1,1.9934439943253495,0.0,1,10.91708724061664,0.0,1,-0.3983215860893876,0.0,1,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,0,-0.1381846298457647,0.0,1,996.0324561079581,0.0,1
