before_map,after_map,distance_nm,baseline,before_speed_um_per_s,after_speed_um_per_s,idle_s,paired_pixels,median_paired_change_pN,q25_change_pN,q75_change_pN,positive_pixel_fraction,fixed_pixel_change_pN
1,2,20.0,line,2.0,1.0,17.994,25,-196.22926041410022,-811.2669728348569,546.7173321037446,0.44,nan
1,2,50.0,line,2.0,1.0,17.994,64,35.47212987348209,-151.75203930272355,162.29503965094938,0.546875,-388.0518230514824
1,2,100.0,line,2.0,1.0,17.994,64,4.459314102687523,-149.47004100732633,131.5252266029654,0.5,-393.5546587024559
1,2,200.0,line,2.0,1.0,17.994,64,18.79259172387743,-102.99689205222762,108.41815556156635,0.53125,-284.2451536773978
1,2,20.0,constant,2.0,1.0,17.994,25,-230.0841379460951,-838.1177135907851,724.373146256969,0.4,nan
1,2,50.0,constant,2.0,1.0,17.994,64,-4.795555332880667,-44.91689765391443,33.35491835339293,0.46875,-47.26835824712833
1,2,100.0,constant,2.0,1.0,17.994,64,-7.707279466142424,-69.82089106496358,28.411588016447325,0.390625,-77.36600621078864
1,2,200.0,constant,2.0,1.0,17.994,64,-15.022602064240104,-47.990879645840984,22.07615758846181,0.4375,-15.390363678954003
2,3,20.0,line,1.0,4.0,9.131,11,-2268.9050660832927,-3246.2158323883414,-582.8411591668879,0.18181818181818182,nan
2,3,50.0,line,1.0,4.0,9.131,64,42.598774027884524,-95.24223643697852,203.84507877545576,0.5625,278.9668364552557
2,3,100.0,line,1.0,4.0,9.131,64,11.847772013123532,-103.67474434107314,169.66088468068676,0.5625,219.4597630109315
2,3,200.0,line,1.0,4.0,9.131,64,0.5247063551146898,-115.46367840743781,134.65578647345865,0.5,115.52430006073722
2,3,20.0,constant,1.0,4.0,9.131,11,-2245.3130859935536,-3046.3473646313932,-712.3439896648836,0.18181818181818182,nan
2,3,50.0,constant,1.0,4.0,9.131,64,55.576652794683014,23.469193063011275,83.97767097752727,0.90625,47.35004840656393
2,3,100.0,constant,1.0,4.0,9.131,64,24.57857348966018,-12.357320305094895,70.28956497014025,0.65625,5.030492489883294
2,3,200.0,constant,1.0,4.0,9.131,64,17.371225327489135,-27.738548405152862,45.14803091799833,0.578125,-66.02803566999398
3,4,20.0,line,4.0,4.0,4.219,4,473.23337174759024,-77.06100005328346,863.6117906982035,0.75,nan
3,4,50.0,line,4.0,4.0,4.219,63,-25.36472344874278,-123.16969754668389,97.94274070432093,0.4444444444444444,96.43413959833752
3,4,100.0,line,4.0,4.0,4.219,64,-16.702343653573706,-135.4407737360888,79.59678477127814,0.4375,60.992823404347675
3,4,200.0,line,4.0,4.0,4.219,64,-15.002948337996571,-125.97430831914345,85.94969930277686,0.46875,117.22921686346469
3,4,20.0,constant,4.0,4.0,4.219,4,222.7305581626481,-213.20204024310374,668.3973185515243,0.75,nan
3,4,50.0,constant,4.0,4.0,4.219,63,-6.972972235265672,-38.93396649978311,44.4715303877326,0.4603174603174603,84.47828822939914
3,4,100.0,constant,4.0,4.0,4.219,64,-6.702147531120239,-52.05501184698989,28.84732083252998,0.453125,49.64392055532656
3,4,200.0,constant,4.0,4.0,4.219,64,-9.583409341568633,-38.028437318320854,19.834744864609817,0.453125,107.08837831223795
4,5,20.0,line,4.0,1.0,17.578,8,344.3635282537375,-381.5664942361831,819.0537932066745,0.625,nan
4,5,50.0,line,4.0,1.0,17.578,62,42.38974296810629,-124.60329183478822,133.17938101370305,0.532258064516129,42.99664010019646
4,5,100.0,line,4.0,1.0,17.578,64,28.205890635896765,-126.96845070309719,130.6967628159936,0.546875,53.96067582622426
4,5,200.0,line,4.0,1.0,17.578,64,30.851043197282532,-116.09865760311189,108.7867829888856,0.546875,77.76802297465386
4,5,20.0,constant,4.0,1.0,17.578,8,180.02721439386414,-358.55413600461833,749.2464590890534,0.625,nan
4,5,50.0,constant,4.0,1.0,17.578,62,-19.054510303641408,-45.62057107499257,34.116445244266586,0.4032258064516129,-68.67523334803832
