source,acquisition_order,block,map_start_time,fixed_pixel_time,nominal_speed_um_per_s,physical_row_zero_based,physical_column_zero_based,point_index_in_archive,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN,force_local_map_InvOLS_pN,force_contact_40nm_pN,force_contact_60nm_pN,force_k_only_uncertainty_pN,raw_samples_in_bin
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,5.0,nan,nan,nan,nan,nan,nan,0
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,10.0,nan,nan,nan,nan,nan,nan,0
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,15.0,-1426.8222962677444,-1432.3199604237445,-1386.3929023461867,-1425.7457511551138,-1427.9448244990629,32.85446076932306,1
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,20.0,nan,nan,nan,nan,nan,nan,0
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,25.0,796.0525948761889,790.5721076727757,773.4962302716312,795.4519689028966,825.0308070028127,18.330158434649086,4
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,30.0,603.9235046078477,598.4794438068209,586.8111695047687,603.4678410686746,639.9446147165495,13.906133329785966,6
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,35.0,407.16631028279653,401.7686668588833,395.6291432557113,406.85910110719743,432.1919319264756,9.375540039406498,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,40.0,348.41718370595856,343.0420477522147,338.54468899800895,348.15430106299993,348.6912950133088,8.022764098492466,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,45.0,263.3630778933882,258.0375751218023,255.9006141735561,263.16436903167846,269.8047713936533,6.0642813988609126,6
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,50.0,218.03672912962276,212.76145902251915,211.85859970565193,217.87221924234916,224.67836005210987,5.020582578642629,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,55.0,179.9512374293575,174.71379957317146,174.85227066682944,179.81546325083985,178.09558400626418,4.143614019754942,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,60.0,160.3308007520228,155.11265114921056,155.78778434534203,160.20983029872585,161.0823385381234,3.691827648895262,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,65.0,157.8294575630806,152.63513203896977,153.35731738911875,157.71037438670115,157.95362721077373,3.63423093072883,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,70.0,149.48964581899992,144.33902865643077,145.25381645621266,149.37685507553016,149.607254261313,3.4421957918848665,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,75.0,146.65099379610731,141.54983976232302,142.49559840266576,146.5403448308882,146.76636897710753,3.376832093989313,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,80.0,150.5069679053924,145.44240703892896,146.24231244738397,150.3934095869254,150.62537670859504,3.465620971505746,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,85.0,142.6372257200496,137.6010247576201,138.59556152570775,142.52960516447675,142.74944313712146,3.2844098027643,5
