source,acquisition_order,block,map_start_time,fixed_pixel_time,nominal_speed_um_per_s,physical_row_zero_based,physical_column_zero_based,point_index_in_archive,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN,force_local_map_InvOLS_pN,force_contact_40nm_pN,force_contact_60nm_pN,force_k_only_uncertainty_pN,raw_samples_in_bin
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,20.0,nan,nan,nan,nan,nan,nan,0
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,50.0,218.03672912962276,212.76145902251915,211.85859970565193,217.87221924234916,224.67836005210987,5.020582578642629,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,100.0,127.22402802222992,122.29603041322149,123.61910093449619,127.12803680739204,127.32411936754357,2.929500645248715,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,200.0,56.80118004472089,52.60160319813362,55.19170331503681,56.758323248237716,56.84586740932065,1.307921908924494,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,2,1,2026-09-08T15:18:10.439000+02:00,2026-09-08T15:19:07.016000+02:00,1.0,3,3,28,20.0,814.7547176192423,1165.0809554043633,789.8180037449557,814.1399807935421,676.4044457040096,18.76079941886413,3
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,2,1,2026-09-08T15:18:10.439000+02:00,2026-09-08T15:19:07.016000+02:00,1.0,3,3,28,50.0,-170.01509392185966,165.49310077539081,-164.81154289017275,-169.8868166171709,-166.2179407035664,3.9148212416217683,6
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,2,1,2026-09-08T15:18:10.439000+02:00,2026-09-08T15:19:07.016000+02:00,1.0,3,3,28,100.0,-266.330630680226,44.93002420243284,-258.1792072031855,-266.12968278394453,-268.70400046929626,6.1326132064525725,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,2,1,2026-09-08T15:18:10.439000+02:00,2026-09-08T15:19:07.016000+02:00,1.0,3,3,28,200.0,-227.44397363267694,37.211239519179614,-220.482730978591,-227.2723659287239,-229.23933875929492,5.237196761278745,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.20.29.129.jpk-force-map,3,1,2026-09-08T15:20:28.878000+02:00,2026-09-08T15:20:43.468000+02:00,4.0,3,3,28,20.0,nan,nan,nan,nan,nan,nan,0
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.20.29.129.jpk-force-map,3,1,2026-09-08T15:20:28.878000+02:00,2026-09-08T15:20:43.468000+02:00,4.0,3,3,28,50.0,108.95174253339603,212.84314918195474,105.74263550092206,108.86953785644101,111.7087211795293,2.5087572293874083,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.20.29.129.jpk-force-map,3,1,2026-09-08T15:20:28.878000+02:00,2026-09-08T15:20:43.468000+02:00,4.0,3,3,28,100.0,-46.87086766929451,49.96051669231613,-45.49031488915348,-52.513545858381725,-52.59454286559697,1.0792634002798078,6
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.20.29.129.jpk-force-map,3,1,2026-09-08T15:20:28.878000+02:00,2026-09-08T15:20:43.468000+02:00,4.0,3,3,28,200.0,-111.91967357193973,-28.816796150814362,-108.62314794343212,-111.83522957501995,-112.00772447607339,2.577097746722296,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.06.677.jpk-force-map,4,1,2026-09-08T15:21:06.427000+02:00,2026-09-08T15:21:21.016000+02:00,4.0,3,3,28,20.0,-2165.809116832052,-2071.2276147001426,-2102.287977986404,-2164.175002180413,-2167.5130304053473,49.87060466389593,1
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.06.677.jpk-force-map,4,1,2026-09-08T15:21:06.427000+02:00,2026-09-08T15:21:21.016000+02:00,4.0,3,3,28,50.0,205.38588213173355,297.3214374113539,199.36210790600268,205.23091737670373,202.32390050996685,4.729280180664917,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.06.677.jpk-force-map,4,1,2026-09-08T15:21:06.427000+02:00,2026-09-08T15:21:21.016000+02:00,4.0,3,3,28,100.0,14.121955735053165,99.6044372476427,13.707772091607005,14.111300643338435,14.133065944106873,0.32517661232030315,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.06.677.jpk-force-map,4,1,2026-09-08T15:21:06.427000+02:00,2026-09-08T15:21:21.016000+02:00,4.0,3,3,28,200.0,5.309543291524963,78.2715821614236,5.153819394157099,5.305537212494839,5.313720484617426,0.12225922052853533,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.58.335.jpk-force-map,5,1,2026-09-08T15:21:57.334000+02:00,2026-09-08T15:22:53.910000+02:00,1.0,3,3,28,20.0,nan,nan,nan,nan,nan,nan,0
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.58.335.jpk-force-map,5,1,2026-09-08T15:21:57.334000+02:00,2026-09-08T15:22:53.910000+02:00,1.0,3,3,28,50.0,248.38252223193,228.64620406331557,230.08984830264797,237.37273956108828,259.41700214323157,5.7193343934983885,6
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.58.335.jpk-force-map,5,1,2026-09-08T15:21:57.334000+02:00,2026-09-08T15:22:53.910000+02:00,1.0,3,3,28,100.0,68.08263156127742,49.901836967099655,65.9439789828712,68.03126284882175,68.13619441643458,1.5676921741083618,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.58.335.jpk-force-map,5,1,2026-09-08T15:21:57.334000+02:00,2026-09-08T15:22:53.910000+02:00,1.0,3,3,28,200.0,83.07756626617882,68.1645139543103,80.46788377846592,83.01488379467062,83.14292613178154,1.9129702758659597,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.24.49.530.jpk-force-map,6,1,2026-09-08T15:24:49.029000+02:00,2026-09-08T15:25:17.619000+02:00,2.0,3,3,28,20.0,-2043.4080437470038,-2445.0404123862154,-1902.5608463235965,-2228.856334493592,-1953.2438196089556,47.052158902069166,6
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.24.49.530.jpk-force-map,6,1,2026-09-08T15:24:49.029000+02:00,2026-09-08T15:25:17.619000+02:00,2.0,3,3,28,50.0,671.3782519858942,279.9552319753377,654.4717492236632,636.3195292036223,671.9064474337216,15.459367644412037,5
