source,timestamp,acquisition_order,block,nominal_speed_um_per_s,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,pixel_count
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,5.0,-4182.326738431181,-4757.259894397954,-1616.296454575085,33
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,10.0,-2559.1169373148955,-3523.9184253689455,-1923.869946039883,23
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,15.0,-1218.4114930697529,-1574.5941701826293,-655.7828956230732,29
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,20.0,-405.88973355434746,-857.73271746448,134.8515756949096,41
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,25.0,628.3957772904979,441.2679594941327,706.941877621602,61
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,30.0,466.9073809159331,369.1497011324027,562.1172393096298,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,35.0,323.06118322469104,227.94055043350636,395.2510473337693,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,40.0,229.85377233179497,122.51498432240334,308.5571020669166,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,45.0,155.67789168538883,68.33249020609703,234.99524841143648,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,50.0,107.70493504203395,17.57925071232803,189.12163434325475,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,55.0,74.80670112327493,-9.476118021354807,159.9862023649458,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,60.0,50.2627224324265,-32.70302444685181,135.44823068503862,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,65.0,37.071663270718375,-42.432579162864265,126.80051580141006,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,70.0,32.75126941185382,-64.94885795987109,113.81181662161612,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,75.0,19.380067821095203,-68.03798571730518,103.1495484902023,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,80.0,24.712466194133594,-78.38290582883796,100.21902289809913,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,85.0,6.91692728872234,-76.86011998727,95.3049656552851,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,90.0,5.001973201072609,-85.1269822236664,94.84315970575535,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,95.0,2.074218007168165,-74.76916517095243,85.07284859640211,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,100.0,6.803557183546834,-74.30526667649183,71.4422666223012,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,105.0,4.975311649833233,-68.25998625239957,71.97314146381837,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,110.0,8.725233348271516,-75.26913552022947,67.41296508959061,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,115.0,-6.032339100909965,-74.57859136216396,66.6779579590235,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,120.0,-13.375874684885883,-70.28489765380972,60.837119494495845,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,125.0,-15.892194465821177,-75.47189743308112,64.75217495946178,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,130.0,-6.887358831315119,-60.32074730635529,64.48035728513965,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,135.0,-8.056072705279657,-69.9802304450008,60.8764398868581,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,140.0,-9.005885972635216,-73.29606499785018,70.11704140332877,64
