source,sha256,timestamp,acquisition_order,block,nominal_speed_um_per_s,grid_i,grid_j,field_u_um,field_v_um,approach_curves,skipped_curves,retract_curves,retract_skipped_curves,valid_contact_curves,map_contact_invOLS_median_nm_per_V,map_contact_invOLS_mad_nm_per_V,global_water_InvOLS_used_nm_per_V,scanner_speed_median_um_per_s,gap_speed_20_200nm_median_um_per_s,terminal_load_median_nN,far_slope_median_pN_per_100nm,far_slope_mad_pN_per_100nm,contact_height_median_um,approach_snap_detected_fraction,approach_snap_distance_median_nm,retract_free_baseline_valid_fraction,retract_snapoff_detected_fraction,retract_detachment_right_censored_fraction,retract_pull_off_censored_fraction,retract_detachment_piezo_travel_median_nm,retract_pull_off_force_median_nN,branch_contact_height_difference_median_nm,map_start_time,map_end_time,fixed_pixel_time,instrument_scan_number,grid_center_x_um,grid_center_y_um,grid_theta,grid_reflect,back_and_forth,fixed_pixel_x_um,fixed_pixel_y_um,instrument_failure_flag_count,segment_count,filename_time_minus_first_segment_s,stored_spring_constant_N_per_m,spring_constant_used_N_per_m,spring_constant_supplied_uncertainty_N_per_m,stored_InvOLS_nm_per_V,idle_before_map_s
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,5619b7286869401f1bb04e5fcf13dc0c8f962c69e4f3a1154d00fe6a83b377dd,2026-09-08T15:16:47.619000,1,1,2.0,8,8,20.0,20.0,64,0,64,0,64,79.63229141265235,0.4037915338780586,81.95449406743373,2.000708207454406,1.9956963550838331,30.65414794360872,-11.276017292857468,19.101543443849767,6.269627304125793,0.984375,23.80023315635337,1.0,1.0,0.0,0.0,376.3004727384159,-112.3012098686564,-2.963457460718705,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:52.445000+02:00,2026-09-08T15:17:15.706000+02:00,4,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.501,0.2384,0.2736,0.0063,59.040938734517894,0.0
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,c4cfb46d414b4aaea8e55a48fce0361f1fcffb9dedd3598f2fc9736d643cd079,2026-09-08T15:18:11.440000,2,1,1.0,8,8,20.0,20.0,64,0,64,0,62,79.44616152872413,0.432945555812847,81.95449406743373,1.000174677725848,0.9973372976357994,30.710260821528006,-7.9815356417346734,27.571532922025927,6.2891573173462,0.984375,23.518479434225593,0.84375,0.5625,0.15625,0.15625,513.8787210282067,-152.4941559539245,-2.9404815099093837,2026-09-08T15:18:10.439000+02:00,2026-09-08T15:20:19.747000+02:00,2026-09-08T15:19:07.016000+02:00,5,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.001,0.2384,0.2736,0.0063,59.040938734517894,17.994
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.20.29.129.jpk-force-map,e54bbb688df107ca8718b6992eaba9ba4bc751d348428f4bdd4a99d180ecac87,2026-09-08T15:20:29.129000,3,1,4.0,8,8,20.0,20.0,64,0,64,0,63,79.54057449956605,0.5291409399233423,81.95449406743373,4.0027848931489185,3.9893659718968193,30.68088986408936,-4.254330664409653,20.923324946355038,6.313269687096257,1.0,29.464424225127388,0.53125,0.203125,0.46875,0.46875,348.87872318682514,-103.53524191092488,-4.27161556919953,2026-09-08T15:20:28.878000+02:00,2026-09-08T15:21:02.208000+02:00,2026-09-08T15:20:43.468000+02:00,6,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.251,0.2384,0.2736,0.0063,59.040938734517894,9.131
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.06.677.jpk-force-map,3447b1a8cd387a5e299b31c96085dc6e661216788245dd67dfd7f0bc372d2d8b,2026-09-08T15:21:06.677000,4,1,4.0,8,8,20.0,20.0,64,0,64,0,64,79.55084604682841,0.599239163539845,81.95449406743373,4.0027713183624645,3.9900919196882967,30.62912801180782,-8.521479454550459,18.243519940250664,6.324739799109514,1.0,30.91582195455245,0.296875,0.171875,0.703125,0.703125,404.4139269570242,-118.12107932008246,-3.6354105605170357,2026-09-08T15:21:06.427000+02:00,2026-09-08T15:21:39.756000+02:00,2026-09-08T15:21:21.016000+02:00,7,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.25,0.2384,0.2736,0.0063,59.040938734517894,4.219
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.58.335.jpk-force-map,800fe9a2ce23d0a312d788ee683c6a9b2de6c34e3fb2c405db7d214e540a1780,2026-09-08T15:21:58.335000,5,1,1.0,8,8,20.0,20.0,64,0,64,0,58,79.38009019922336,0.4075324220078115,81.95449406743373,1.0001717055211454,0.9976422828015534,30.740679055317408,-3.6058433447616083,20.89400638646501,6.355626328099931,1.0,33.07037243393227,0.390625,0.265625,0.609375,0.609375,452.1617032320881,-134.34363130129756,-4.474749887244468,2026-09-08T15:21:57.334000+02:00,2026-09-08T15:24:06.641000+02:00,2026-09-08T15:22:53.910000+02:00,8,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.001,0.2384,0.2736,0.0063,59.040938734517894,17.578
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.24.49.530.jpk-force-map,3952f968b4a09ef3c8eb206c4296502375e7beeb07046dbb78e2dcd07a26b1bf,2026-09-08T15:24:49.530000,6,1,2.0,8,8,20.0,20.0,64,0,64,0,63,79.89073362206646,0.5903699063787897,81.95449406743373,2.00068904467805,1.9959281043990966,30.618370917906663,-12.039803945876724,31.365873427818773,6.393695452572301,1.0,38.05369574326883,0.578125,0.265625,0.421875,0.421875,611.0241307513528,-179.59702646171533,-4.69473621395258,2026-09-08T15:24:49.029000+02:00,2026-09-08T15:25:54.359000+02:00,2026-09-08T15:25:17.619000+02:00,9,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.501,0.2384,0.2736,0.0063,59.040938734517894,42.388
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.26.16.096.jpk-force-map,f98f811b47fa733083d56aaf69145580d60d1bbe8832f516ea87c1c001473c0d,2026-09-08T15:26:16.096000,7,2,1.0,8,8,20.0,20.0,64,0,64,0,63,79.86218171097292,0.39912804641494753,81.95449406743373,1.0001712919459145,0.9981455896881763,30.696000265666516,-9.757353564206127,38.87394140315035,6.427001472928779,1.0,40.56681002480384,0.703125,0.3125,0.296875,0.296875,565.0320018172471,-166.15102567730435,-2.151401042628577,2026-09-08T15:26:15.098000+02:00,2026-09-08T15:28:24.393000+02:00,2026-09-08T15:27:11.665000+02:00,10,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.998,0.2384,0.2736,0.0063,59.040938734517894,20.739
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.30.36.270.jpk-force-map,0c10a0f5b8e556a344290bb021936a3f5c981dec4b30be7023f077f4b7206823,2026-09-08T15:30:36.270000,8,2,4.0,8,8,20.0,20.0,64,0,64,0,62,80.19717875080121,0.3992353381925957,81.95449406743373,4.00279655682894,3.992104862799324,30.632040842563192,-10.351854957670927,29.004744495010968,6.485058424343633,1.0,41.55945465251632,0.9375,0.390625,0.0625,0.0625,620.0791281851469,-181.04934359409822,-3.0118035249956274,2026-09-08T15:30:36.019000+02:00,2026-09-08T15:31:09.348000+02:00,2026-09-08T15:30:50.608000+02:00,11,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.251,0.2384,0.2736,0.0063,59.040938734517894,131.626
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.33.30.403.jpk-force-map,ad91314cd3fd910f35c5d5f9472409e1640f894f5db8e8a6308bfd0db7e1e6f7,2026-09-08T15:33:30.403000,9,2,2.0,8,8,20.0,20.0,64,0,64,0,63,80.882033695723,0.5722374476337988,81.95449406743373,2.000686615015969,1.9956447919489735,30.689519788477455,-10.323763308578705,15.36934316873784,6.532065577388444,1.0,40.702313541613734,0.953125,0.34375,0.046875,0.046875,620.4103268515298,-181.0629995251503,-3.6129912692472774,2026-09-08T15:33:29.902000+02:00,2026-09-08T15:34:35.235000+02:00,2026-09-08T15:33:58.493000+02:00,12,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.501,0.2384,0.2736,0.0063,59.040938734517894,140.554
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.36.43.160.jpk-force-map,9716fbed4170c075688266146f10bee77c8729602c6ba83ea0679da31994a5b1,2026-09-08T15:36:43.160000,10,2,2.0,8,8,20.0,20.0,64,0,64,0,63,81.21580931603684,0.6173024559909421,81.95449406743373,2.0006881795686304,1.9969446627311123,30.712234757571835,-7.523610290122423,19.467706888979343,6.568419490118936,1.0,38.795632441417446,0.953125,0.34375,0.046875,0.046875,609.367179344363,-177.13396242713327,-3.297021327003134,2026-09-08T15:36:42.657000+02:00,2026-09-08T15:37:47.988000+02:00,2026-09-08T15:37:11.246000+02:00,13,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.503,0.2384,0.2736,0.0063,59.040938734517894,127.422
