source,timestamp,acquisition_order,block,nominal_speed_um_per_s,point_index,row,column,pixel_acquisition_order,sensitivity_used_nm_per_V,contact_invOLS_nm_per_V,contact_response_ratio,contact_fit_R2,contact_height_um,terminal_load_nN,far_slope_pN_per_100nm,far_noise_pN,scanner_speed_um_per_s,gap_speed_20_200nm_um_per_s,approach_snap_detected,approach_snap_distance_nm,approach_barrier_force_nN,retract_free_baseline_valid,retract_snapoff_detected,retract_detachment_right_censored,retract_pull_off_censored,retract_detachment_piezo_travel_nm,retract_pull_off_force_nN,retract_pull_off_observed_floor_nN,branch_contact_height_difference_nm
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,0,0,0,0,81.95449406743373,79.14221295597618,1.0355345271053,0.9998423402621406,6.266149455279784,30.581764592473068,11.595810910130808,15.601879639690985,1.9999754257110811,1.9909853562883981,True,17.783548566311932,1.19030195722388,True,True,False,False,268.3475605377365,-79.28095168102983,-79.28095168102983,-0.4810994463842237
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,1,0,1,1,81.95449406743373,79.50737500984526,1.0307785165500114,0.9997753667367648,6.269130414558713,30.46292113802427,-28.31757808480436,22.34813454565531,2.0010126705302627,1.9977979005574829,True,13.327632486895515,0.5840226466004094,True,True,False,False,364.66877989754704,-109.61941801902914,-109.61941801902914,-2.956303698956557
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,2,0,2,2,81.95449406743373,79.11081654692381,1.0359454957568692,0.9998783929710924,6.2699610854648,30.559117871369672,-17.718285430613633,20.87074724558542,2.0008332916797027,1.9990116604296404,True,14.499243667566503,0.7755426285597452,True,True,False,False,338.024943710528,-100.78849128093212,-100.78849128093212,-1.0810365567480922
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,3,0,3,3,81.95449406743373,79.72664192104894,1.0279436345580812,0.9997722325737439,6.27080389327095,30.661547311561726,-1.4255867311132107,23.328494463081437,2.0007799056230655,1.9942232440574847,True,16.17480200232068,0.8705920590375145,True,True,False,False,412.6398481969443,-123.74434663328769,-123.74434663328769,-3.694664648480569
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,4,0,4,4,81.95449406743373,79.08601890190661,1.0362703193984895,0.999889962250706,6.294200141091222,30.891797264573665,27.26708622373578,15.719034415231445,2.0007820867423414,1.9969257246797258,True,19.306048981746645,0.4593098624137607,True,True,False,False,46.51417545574922,-5.2558893350756755,-5.2558893350756755,-1.0262103435130134
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,5,0,5,5,81.95449406743373,78.85867578614886,1.039257802016359,0.9996695016893367,6.277219677685149,30.979713839295492,15.454737827439194,14.653250582301164,2.000731497300584,1.9919542621396902,True,13.104155759916313,0.7276616722251437,True,True,False,False,375.8945747840341,-112.42087932566713,-112.42087932566713,-2.9706112224808523
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,6,0,6,6,81.95449406743373,81.01630194599993,1.0115802881506384,0.9999180884143474,6.307651449376093,30.78782498561695,23.313988704131855,23.94395508515463,2.0007641016102453,1.9946876772244246,False,349.5686469574581,0.13012678715074347,True,True,False,False,16.013909548793375,-3.343394361725878,-3.343394361725878,-3.0900470652808507
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,7,0,7,7,81.95449406743373,80.1667489573845,1.02230033191192,0.9998774176490455,6.282224625092391,30.677760668374308,-15.528731078171308,16.316184158018626,2.000704012633037,1.9965702914338186,True,12.306710444421947,0.6916297431924203,True,True,False,False,373.74862725576565,-112.18154041164567,-112.18154041164567,-3.538031086208097
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,8,1,7,8,81.95449406743373,79.68237856517626,1.0285146545970512,0.9997957578687463,6.280994752707565,31.04527382889002,16.66475972574711,15.140286744792855,2.000730363363033,1.9915958945196677,True,12.97083726354044,0.8564946263834606,True,True,False,False,334.3157091166962,-99.30960206252918,-99.30960206252918,0.2752959686216471
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,9,1,6,9,81.95449406743373,79.27446820512081,1.033806923250225,0.9999109028410185,6.276521649927176,30.473211423575375,-42.87701911427617,14.461285270579706,2.000727557625825,1.996904342465789,True,18.773021470596262,0.488572918004024,True,True,False,False,432.90659917742676,-129.18878496463574,-129.18878496463574,-2.2395275919172946
