acquisition_order,block,nominal_speed_um_per_s,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
1,1,2.0,0,0,0,20.0,1130.6710464412704,1042.369739432727
1,1,2.0,0,0,0,50.0,232.51922671556417,147.85613299412765
1,1,2.0,0,0,0,100.0,165.22465430439638,86.59574704911627
1,1,2.0,0,0,0,200.0,32.91759919877369,-33.88676182461188
1,1,2.0,1,0,1,20.0,-258.552528889498,-46.62986546661802
1,1,2.0,1,0,1,50.0,-11.920608817234891,191.91643761361226
1,1,2.0,1,0,1,100.0,-105.3713049751775,83.31859975990302
1,1,2.0,1,0,1,200.0,-101.37476530124287,59.82999748916681
1,1,2.0,2,0,2,20.0,767.8573827565895,900.0613036478499
1,1,2.0,2,0,2,50.0,14.948798180291186,141.72856037067857
1,1,2.0,2,0,2,100.0,-86.34240941144064,31.10012964541818
1,1,2.0,2,0,2,200.0,-66.15377333057586,33.868989538015455
1,1,2.0,3,0,3,20.0,nan,nan
1,1,2.0,3,0,3,50.0,149.75229613708652,156.36687571161363
1,1,2.0,3,0,3,100.0,44.92309271658323,50.84177267182815
1,1,2.0,3,0,3,200.0,52.9625493287955,57.41128282193954
1,1,2.0,4,0,4,20.0,417.46329252277053,220.44968784461062
1,1,2.0,4,0,4,50.0,216.43377314757979,27.866571227533584
1,1,2.0,4,0,4,100.0,167.83372216712573,-7.116023552633821
1,1,2.0,4,0,4,200.0,157.47557795275165,10.089171202722307
1,1,2.0,5,0,5,20.0,-578.803892186917,-699.5320417969045
1,1,2.0,5,0,5,50.0,307.50626670071046,191.4107692908126
1,1,2.0,5,0,5,100.0,178.59602564552276,69.91156090605043
1,1,2.0,5,0,5,200.0,133.43842703395083,40.543137922887986
1,1,2.0,6,0,6,20.0,332.27993180861483,160.0014642175405
1,1,2.0,6,0,6,50.0,203.0946113290583,37.582836206263366
1,1,2.0,6,0,6,100.0,128.05931873035556,-25.082371045456902
1,1,2.0,6,0,6,200.0,129.08061571385906,-1.4404905976987912
1,1,2.0,7,0,7,20.0,-405.88973355434746,-287.82486283850074
1,1,2.0,7,0,7,50.0,71.76300040513091,185.33426860673632
1,1,2.0,7,0,7,100.0,-44.30145966503568,61.173582355747655
1,1,2.0,7,0,7,200.0,-21.638826379664753,68.16189488049773
1,1,2.0,8,1,7,20.0,-472.22200151291537,-598.5356291760193
1,1,2.0,8,1,7,50.0,303.98649189257384,182.4684406241176
1,1,2.0,8,1,7,100.0,152.8311435241426,39.98371622799818
1,1,2.0,8,1,7,200.0,103.76752242391962,7.775094770256178
1,1,2.0,9,1,6,20.0,-715.7178875393456,-385.2939442620354
1,1,2.0,9,1,6,50.0,-74.29418256756134,244.3674440674388
