before_map,after_map,idle_interval_start_instrument_time,idle_interval_end_instrument_time,idle_s,before_speed_um_per_s,after_speed_um_per_s,map_median_InvOLS_change_percent,paired_InvOLS_median_change_nm_per_V,InvOLS_positive_pixel_fraction,detected_snap_distance_before_nm,detected_snap_distance_after_nm,F20_line_paired_median_change_pN,F20_constant_paired_median_change_pN,F20_positive_pixel_fraction,F20_paired_pixel_count,blind_inference
1,2,2026-09-08T15:17:52.445000+02:00,2026-09-08T15:18:10.439000+02:00,17.994,2.0,1.0,-0.23373669227185756,-0.05875132344500855,0.375,23.789590986729245,23.419882821840044,-196.22926041410022,-230.0841379460951,0.44,25,not_selected_as_refresh_candidate
2,3,2026-09-08T15:20:19.747000+02:00,2026-09-08T15:20:28.878000+02:00,9.131,1.0,4.0,0.11883893321615879,0.01989815439399223,0.515625,23.419882821840044,29.464424225127388,-2268.9050660832927,-2245.3130859935536,0.18181818181818182,11,not_selected_as_refresh_candidate
3,4,2026-09-08T15:21:02.208000+02:00,2026-09-08T15:21:06.427000+02:00,4.219,4.0,4.0,0.012913594510699511,0.07537880395436503,0.59375,29.464424225127388,30.91582195455245,473.23337174759024,222.7305581626481,0.75,4,not_selected_as_refresh_candidate
4,5,2026-09-08T15:21:39.756000+02:00,2026-09-08T15:21:57.334000+02:00,17.578,4.0,1.0,-0.2146499454003692,0.12620753422933717,0.53125,30.91582195455245,33.07037243393227,344.3635282537375,180.02721439386414,0.625,8,not_selected_as_refresh_candidate
5,6,2026-09-08T15:24:06.641000+02:00,2026-09-08T15:24:49.029000+02:00,42.388,1.0,2.0,0.6432890433375915,0.41051614578051954,0.734375,33.07037243393227,38.05369574326883,-304.82932362966403,-698.4184365547476,0.2727272727272727,11,not_selected_as_refresh_candidate
6,7,2026-09-08T15:25:54.359000+02:00,2026-09-08T15:26:15.098000+02:00,20.739,2.0,1.0,-0.035738701848220256,-0.06886790061776082,0.484375,38.05369574326883,40.56681002480384,-518.5258980774861,-551.3426004804887,0.42857142857142855,35,not_selected_as_refresh_candidate
7,8,2026-09-08T15:28:24.393000+02:00,2026-09-08T15:30:36.019000+02:00,131.626,1.0,4.0,0.41946893091484583,0.34654723822628597,0.734375,40.56681002480384,41.55945465251632,-301.8935438333897,-421.21398039090946,0.36363636363636365,44,not_selected_as_refresh_candidate
8,9,2026-09-08T15:31:09.348000+02:00,2026-09-08T15:33:29.902000+02:00,140.554,4.0,2.0,0.8539638869963895,0.7249874453073417,0.828125,41.55945465251632,40.702313541613734,145.90858668029682,79.54735172389724,0.54,50,not_selected_as_refresh_candidate
9,10,2026-09-08T15:34:35.235000+02:00,2026-09-08T15:36:42.657000+02:00,127.422,2.0,2.0,0.4126696684822573,0.28640973073704146,0.703125,40.702313541613734,38.795632441417446,-687.309213115637,-685.0585410295505,0.2391304347826087,46,not_selected_as_refresh_candidate
10,11,2026-09-08T15:37:47.988000+02:00,2026-09-08T15:40:43.828000+02:00,175.84,2.0,4.0,0.5886125069183068,0.41938979289509604,0.6875,38.795632441417446,42.875653678472254,246.2515639434032,280.301386231092,0.6458333333333334,48,not_selected_as_refresh_candidate
11,12,2026-09-08T15:41:17.157000+02:00,2026-09-08T15:43:35.371000+02:00,138.214,4.0,1.0,-0.007706669180074233,0.11940621640336957,0.578125,42.875653678472254,36.826366490980895,-87.0991026483589,-142.175486609367,0.43902439024390244,41,not_selected_as_refresh_candidate
12,13,2026-09-08T15:45:44.700000+02:00,2026-09-08T15:49:51.191000+02:00,246.491,1.0,4.0,4.719183878105682,3.8140783157708356,1.0,36.826366490980895,41.89081919210858,404.7497065494724,525.5711012274614,0.675,40,secondary_liquid_or_optical_change_candidate
