acquisition_order,block,source,map_start_time,map_end_time,map_midpoint_time,nominal_speed_um_per_s,variant,baseline_method,dmin_nm,dmax_nm,safe_dmin_nm,detected_snap_max_nm,detected_snap_median_nm,detected_snap_p95_nm,snap_detected_pixels,minimum_pixels_per_fitted_bin,noise_floor_pN,hydro_speed_um_s,no_slip_correction_applied_to_pixels,lambda_D_apparent_nm,surface_potential_magnitude_apparent_mV,baseline_pN,r2,residual_rmse_pN,weighted_sse,soft_l1_cost,optimizer_success,optimizer_nfev,jacobian_rank,normalized_jacobian_condition,local_log_lambda_scale,local_log_potential_scale,local_lambda_potential_correlation,local_scale_interpretation,fit_quality_pass,quality_flags,n_points,force_signal_pN,two_start_costs,data_speed_groups,zero_speed_extrapolated,model,probe_radius_um,temperature_model_C
1,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:52.445000+02:00,2026-09-08T15:17:19.781500+02:00,2.0,primary,linear_drift_corrected,40.0,250.0,40,29.16552890190964,23.789590986729245,26.80816191542908,63,64,5.725437983391015,0.0,False,15.080983495435957,38.29126732020783,-7.349739607459923,0.9862480677599652,5.559514182675938,0.10003591983863103,0.04992366498552969,True,37,3,8.447550356268184,0.8005008706557897,0.8513130225437325,-0.9636719402868714,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,43,239.31466222619505,0.0499237428;0.049923665,1,False,nonlinear_pb_derjaguin,4.54685,25.6
1,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:52.445000+02:00,2026-09-08T15:17:19.781500+02:00,2.0,constant_baseline,far_constant_referenced,40.0,250.0,40,29.16552890190964,23.789590986729245,26.80816191542908,63,64,4.038776429974775,0.0,False,15.321124223414357,38.514380415721355,61.60119501598808,0.9859545511632773,5.854254410292828,1.0154427318096901,0.5009740181561035,True,7,3,7.545901727581366,0.24873857210510572,0.2661103737418091,-0.9541115439211344,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,43,253.42590059628114,0.500974018;0.501444871,1,False,nonlinear_pb_derjaguin,4.54685,25.6
1,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:52.445000+02:00,2026-09-08T15:17:19.781500+02:00,2.0,lower_plus_10nm,linear_drift_corrected,50.0,250.0,40,29.16552890190964,23.789590986729245,26.80816191542908,63,64,5.725437983391015,0.0,False,18.553506206924226,29.488648162605706,-8.300916372500724,0.9633558564004803,4.7688420288326725,0.07487862869445165,0.03737925332995107,True,26,3,7.872206957388311,1.398311725047136,1.4193923021410246,-0.9541688713493629,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,41,117.16582493643403,0.0373792533;0.760189553,1,False,nonlinear_pb_derjaguin,4.54685,25.6
1,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:52.445000+02:00,2026-09-08T15:17:19.781500+02:00,2.0,upper_200nm,linear_drift_corrected,40.0,200.0,40,29.16552890190964,23.789590986729245,26.80816191542908,63,64,5.725437983391015,0.0,False,14.765074191519911,39.03336878330941,-6.483985115172076,0.9875436567908114,5.849131450917709,0.08442231434035673,0.04212949661185528,True,24,3,8.439054704076154,0.7861937124578405,0.8426624365596012,-0.9605421671198875,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,33,237.92246128887075,0.0421294966;2.24408718,1,False,nonlinear_pb_derjaguin,4.54685,25.6
1,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:52.445000+02:00,2026-09-08T15:17:19.781500+02:00,2.0,common_80_250nm,linear_drift_corrected,80.0,250.0,40,29.16552890190964,23.789590986729245,26.80816191542908,63,64,5.725437983391015,0.0,False,19.03103753720003,32.081735100382346,-8.822109661919555,0.6933369745703992,4.544677248519343,0.061610347081688756,0.030755653618747436,True,26,3,14.799707927963386,5.331949087661083,9.820022878022995,-0.9859105786100547,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,r2_below_0.70;broad_local_parameter_scale,35,33.99440861337575,0.0307556536;0.0307558109,1,False,nonlinear_pb_derjaguin,4.54685,25.6
1,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:52.445000+02:00,2026-09-08T15:17:19.781500+02:00,2.0,no_slip_hydrodynamic,linear_then_no_slip_corrected,40.0,250.0,40,29.16552890190964,23.789590986729245,26.80816191542908,63,64,5.683594289131953,0.0,True,14.155413545613529,39.41159929877469,-9.868114285727417,0.9864358919307014,5.159545767513328,0.08866666311389661,0.04425402356846586,True,21,3,9.00932976924363,0.8567065105609994,0.9874463867661357,-0.9686759056230889,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,43,225.37617841207975,0.0442540236;2.07138957,1,False,nonlinear_pb_derjaguin,4.54685,25.6
2,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:10.439000+02:00,2026-09-08T15:20:19.747000+02:00,2026-09-08T15:19:15.093000+02:00,1.0,primary,linear_drift_corrected,45.0,250.0,45,35.15222269453039,23.419882821840044,28.786519229894523,63,64,6.333155378768014,0.0,False,14.718969769959333,41.37416961405395,16.034754494032043,0.9831821267364959,4.940975866143641,0.037947741921803835,0.018963899184238686,True,23,3,9.444756132189026,1.3774850784648203,1.7641598081212388,-0.9708835631355176,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,42,172.92539917527634,0.0189638992;0.0189639048,1,False,nonlinear_pb_derjaguin,4.54685,25.6
2,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:10.439000+02:00,2026-09-08T15:20:19.747000+02:00,2026-09-08T15:19:15.093000+02:00,1.0,constant_baseline,far_constant_referenced,45.0,250.0,45,35.15222269453039,23.419882821840044,28.786519229894523,63,64,3.0,0.0,False,15.028690033122066,40.43618574890291,47.097732127693426,0.9794407415059853,5.510211612047338,0.7765079423151572,0.3836775428914161,True,26,3,9.411460163447407,0.3512863170048166,0.4419340965906537,-0.9698410887165989,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,42,195.45055034137624,0.383677543;0.383677545,1,False,nonlinear_pb_derjaguin,4.54685,25.6
2,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:10.439000+02:00,2026-09-08T15:20:19.747000+02:00,2026-09-08T15:19:15.093000+02:00,1.0,lower_plus_10nm,linear_drift_corrected,55.0,250.0,45,35.15222269453039,23.419882821840044,28.786519229894523,63,64,6.333155378768014,0.0,False,12.958757226934312,53.1743181169155,16.36772774586691,0.9482206456291881,4.811814141783101,0.034887222565372356,0.017434939960215168,True,23,3,18.80677888354323,3.302637347895766,6.9754139995181665,-0.9929167147556976,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,40,95.36108556109463,0.01743494;0.0174369805,1,False,nonlinear_pb_derjaguin,4.54685,25.6
2,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:10.439000+02:00,2026-09-08T15:20:19.747000+02:00,2026-09-08T15:19:15.093000+02:00,1.0,upper_200nm,linear_drift_corrected,45.0,200.0,45,35.15222269453039,23.419882821840044,28.786519229894523,63,64,6.333155378768014,0.0,False,15.34238682284487,39.79871871482944,13.445002169691996,0.9917303842224523,3.9122072627275455,0.01596308020693111,0.007979371831206006,True,6,3,10.36922288250105,1.5035818107509689,1.8174950953635731,-0.972599811581398,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,32,183.72835497961196,0.00797937183;0.00797937183,1,False,nonlinear_pb_derjaguin,4.54685,25.6
