acquisition_order,block,source,map_start_time,map_end_time,map_midpoint_time,nominal_speed_um_per_s,variant,baseline_method,dmin_nm,dmax_nm,safe_dmin_nm,detected_snap_max_nm,detected_snap_median_nm,detected_snap_p95_nm,snap_detected_pixels,minimum_pixels_per_fitted_bin,noise_floor_pN,hydro_speed_um_s,no_slip_correction_applied_to_pixels,lambda_D_apparent_nm,surface_potential_magnitude_apparent_mV,baseline_pN,r2,residual_rmse_pN,weighted_sse,soft_l1_cost,optimizer_success,optimizer_nfev,jacobian_rank,normalized_jacobian_condition,local_log_lambda_scale,local_log_potential_scale,local_lambda_potential_correlation,local_scale_interpretation,fit_quality_pass,quality_flags,n_points,force_signal_pN,two_start_costs,data_speed_groups,zero_speed_extrapolated,model,probe_radius_um,temperature_model_C
1,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:52.445000+02:00,2026-09-08T15:17:19.781500+02:00,2.0,primary,linear_drift_corrected,40.0,250.0,40,29.16552890190964,23.789590986729245,26.80816191542908,63,64,5.725437983391015,0.0,False,15.080983495435957,38.29126732020783,-7.349739607459923,0.9862480677599652,5.559514182675938,0.10003591983863103,0.04992366498552969,True,37,3,8.447550356268184,0.8005008706557897,0.8513130225437325,-0.9636719402868714,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,43,239.31466222619505,0.0499237428;0.049923665,1,False,nonlinear_pb_derjaguin,4.54685,25.6
2,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:10.439000+02:00,2026-09-08T15:20:19.747000+02:00,2026-09-08T15:19:15.093000+02:00,1.0,primary,linear_drift_corrected,45.0,250.0,45,35.15222269453039,23.419882821840044,28.786519229894523,63,64,6.333155378768014,0.0,False,14.718969769959333,41.37416961405395,16.034754494032043,0.9831821267364959,4.940975866143641,0.037947741921803835,0.018963899184238686,True,23,3,9.444756132189026,1.3774850784648203,1.7641598081212388,-0.9708835631355176,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,42,172.92539917527634,0.0189638992;0.0189639048,1,False,nonlinear_pb_derjaguin,4.54685,25.6
3,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.20.29.129.jpk-force-map,2026-09-08T15:20:28.878000+02:00,2026-09-08T15:21:02.208000+02:00,2026-09-08T15:20:45.543000+02:00,4.0,primary,linear_drift_corrected,50.0,250.0,50,37.52556539152271,29.464424225127388,34.864650465653774,64,64,4.397500459496104,0.0,False,17.278351641302628,37.34165333078305,40.2412642860169,0.9897572742599058,3.3531273255025504,0.02452907980935583,0.012260019621532114,True,19,3,9.193340048549166,1.2625266603992749,1.4816892564690987,-0.9672214856364499,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,41,151.71321943588956,0.0122600196;0.979072331,1,False,nonlinear_pb_derjaguin,4.54685,25.6
4,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.06.677.jpk-force-map,2026-09-08T15:21:06.427000+02:00,2026-09-08T15:21:39.756000+02:00,2026-09-08T15:21:23.091500+02:00,4.0,primary,linear_drift_corrected,50.0,250.0,50,39.12294137599144,30.91582195455245,36.332357202151286,64,63,3.413328031592718,0.0,False,16.088863957915965,41.31529571184459,-1.4628743748522233,0.98275187954666,4.458186677537114,0.05793605945952061,0.02893051512363698,True,19,3,11.102471755709171,1.3013396572378575,1.7471429094556898,-0.9784243999584881,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,41,168.32514416711192,0.0289305151;0.028930516,1,False,nonlinear_pb_derjaguin,4.54685,25.6
5,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.58.335.jpk-force-map,2026-09-08T15:21:57.334000+02:00,2026-09-08T15:24:06.641000+02:00,2026-09-08T15:23:01.987500+02:00,1.0,primary,linear_drift_corrected,55.0,250.0,55,43.065507326154254,33.07037243393227,39.25404024206279,64,64,3.9271629954391982,0.0,False,27.956631709771994,23.28256163367385,25.86720571720411,0.8933260926234724,8.019439963181274,0.16053029303441493,0.08003788458074013,True,35,3,5.851435226911403,1.739365138234178,1.090579079441678,-0.8767175474942184,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,40,110.24222023537064,0.0800827904;0.0800378846,1,False,nonlinear_pb_derjaguin,4.54685,25.6
6,1,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.24.49.530.jpk-force-map,2026-09-08T15:24:49.029000+02:00,2026-09-08T15:25:54.359000+02:00,2026-09-08T15:25:21.694000+02:00,2.0,primary,linear_drift_corrected,65.0,250.0,65,54.48820791047674,38.05369574326883,45.3938129008193,64,64,3.0,0.0,False,28.813377721794485,26.518071809004727,10.967104665339123,0.9235355876024228,6.350267709092263,0.043324732779880776,0.021642584847758384,True,14,3,7.360978917839168,2.9613431627234115,2.2710421973777883,-0.9282471908195934,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,38,97.15198084806092,0.0216425848;0.0216425955,1,False,nonlinear_pb_derjaguin,4.54685,25.6
7,2,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.26.16.096.jpk-force-map,2026-09-08T15:26:15.098000+02:00,2026-09-08T15:28:24.393000+02:00,2026-09-08T15:27:19.745500+02:00,1.0,primary,linear_drift_corrected,55.0,250.0,55,46.81215119206033,40.56681002480384,44.86085561523697,64,64,10.435744023451408,0.0,False,9.113283922404587,249.9999999999071,9.0393858520489,0.8958225521605312,6.692363882671153,0.03039579775657119,0.01518980194952535,True,25,3,16.624714036597943,3.0244715559854147,104.26700618102858,-0.9913787541096614,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,parameter_boundary;broad_local_parameter_scale,40,100.69851488685092,0.015189802;0.0151898019,1,False,nonlinear_pb_derjaguin,4.54685,25.6
8,2,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.30.36.270.jpk-force-map,2026-09-08T15:30:36.019000+02:00,2026-09-08T15:31:09.348000+02:00,2026-09-08T15:30:52.683500+02:00,4.0,primary,linear_drift_corrected,60.0,250.0,60,48.34757197593941,41.55945465251632,45.63968492969323,64,64,3.9959470663061327,0.0,False,15.27710806365279,45.04860600118018,3.718880873495133,0.9252697526415261,5.32319487731253,0.039646370283905406,0.019807481932159643,True,28,3,14.194857636894946,3.3884840310759388,6.275272808341619,-0.9872907167846294,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,39,95.37660445723375,0.0198147293;0.0198074819,1,False,nonlinear_pb_derjaguin,4.54685,25.6
9,2,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.33.30.403.jpk-force-map,2026-09-08T15:33:29.902000+02:00,2026-09-08T15:34:35.235000+02:00,2026-09-08T15:34:02.568500+02:00,2.0,primary,linear_drift_corrected,65.0,250.0,65,56.51575566737629,40.702313541613734,47.67807982876429,64,64,5.8128513732724745,0.0,False,31.77073721233856,20.375721573261824,9.023747995695164,0.8457969410530257,6.488212714287736,0.12897944926324947,0.06436003186119765,True,23,3,7.3302307759023675,2.399116965936081,1.4531456950343093,-0.906687759824502,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,38,70.08662281342875,0.0643600319;0.0644004097,1,False,nonlinear_pb_derjaguin,4.54685,25.6
10,2,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.36.43.160.jpk-force-map,2026-09-08T15:36:42.657000+02:00,2026-09-08T15:37:47.988000+02:00,2026-09-08T15:37:15.322500+02:00,2.0,primary,linear_drift_corrected,60.0,250.0,60,50.83154477986967,38.795632441417446,48.529010266932765,64,64,5.229624449689839,0.0,False,27.777401623813525,22.997907481002294,20.68777658877939,0.835997347935851,8.329271757602866,0.21119017486765576,0.10522344546233442,True,24,3,6.756913732040077,1.8958358908465953,1.329497211249607,-0.9144802432684251,spatial_weight_curvature_no_downscaling_not_experimental_CI,False,broad_local_parameter_scale,39,83.4375849067803,0.105223445;0.105509707,1,False,nonlinear_pb_derjaguin,4.54685,25.6
