acquisition_order,block,nominal_speed_um_per_s,line_map_median_force_at_100nm_pN,constant_map_median_force_at_100nm_pN,line_minus_constant_at_100nm_pN,common_80_250_line_minus_constant_pixel_bin_median_pN,common_80_250_line_minus_constant_pixel_bin_mad_pN,common_80_250_line_minus_constant_pixel_bin_p95_abs_pN,independence_boundary
1,1,2.0,6.803557183546834,77.36101749876131,-70.55746031521448,-71.83235652140627,120.20922182255919,300.15727229532814,"pixel-distance cells are repeated, spatially and serially correlated measurements"
2,1,1.0,12.928738906536301,59.208154535040954,-46.27941562850465,-47.650225857798716,167.33520867416897,331.57454141200844,"pixel-distance cells are repeated, spatially and serially correlated measurements"
3,1,4.0,56.43305391125557,78.07228311596347,-21.639229204707902,-26.91976905541408,129.12305249302085,283.0251164407024,"pixel-distance cells are repeated, spatially and serially correlated measurements"
4,1,4.0,8.781326831082392,74.92802264335813,-66.14669581227574,-52.12298858122274,113.73036217447296,275.16041638719315,"pixel-distance cells are repeated, spatially and serially correlated measurements"
5,1,1.0,44.39869500686554,72.27680281623714,-27.8781078093716,-21.763717498016682,131.685966688519,257.0886953439398,"pixel-distance cells are repeated, spatially and serially correlated measurements"
6,1,2.0,44.519809174451794,102.669439557922,-58.14963038347021,-73.50284366560768,188.9294861733104,1005.9097121557083,"pixel-distance cells are repeated, spatially and serially correlated measurements"
7,2,1.0,4.487392471011448,61.374689809319676,-56.88729733830823,-57.111590287008724,249.22187977123454,710.0173199433648,"pixel-distance cells are repeated, spatially and serially correlated measurements"
8,2,4.0,17.017313997749568,89.81405871586925,-72.79674471811968,-63.1817027681229,179.1946389756128,331.79826824072194,"pixel-distance cells are repeated, spatially and serially correlated measurements"
9,2,2.0,28.90527445593262,99.07825284663075,-70.17297839069812,-63.80252881890541,94.08639425737314,239.8852253388833,"pixel-distance cells are repeated, spatially and serially correlated measurements"
10,2,2.0,29.55761976777879,93.0949475391021,-63.537327771323305,-46.7728878777693,118.93811752765676,235.254587959201,"pixel-distance cells are repeated, spatially and serially correlated measurements"
11,2,4.0,5.3128744535758825,111.00897591454586,-105.69610146096997,-88.30750359375817,130.4660194249648,317.0420451720612,"pixel-distance cells are repeated, spatially and serially correlated measurements"
12,2,1.0,-20.848069864296868,79.87620138480443,-100.72427124910129,-79.80471322893453,120.52279844715757,268.9144460093085,"pixel-distance cells are repeated, spatially and serially correlated measurements"
13,3,4.0,40.36681297067311,111.99998355864216,-71.63317058796905,-66.22275404886068,61.71786056725526,243.6674436566797,"pixel-distance cells are repeated, spatially and serially correlated measurements"
14,3,2.0,-2.281229732668169,108.30150835932604,-110.5827380919942,-96.5020167607241,37.55075417038696,159.2644913702347,"pixel-distance cells are repeated, spatially and serially correlated measurements"
15,3,1.0,-30.901078900505063,112.62771942884774,-143.5287983293528,-122.64660273086366,105.18133307013034,1344.3740592798201,"pixel-distance cells are repeated, spatially and serially correlated measurements"
16,3,1.0,8.122824540003306,116.7566581171651,-108.6338335771618,-100.25803771179517,50.23760358194444,163.32025444416175,"pixel-distance cells are repeated, spatially and serially correlated measurements"
17,3,2.0,31.913438877219,123.78391377517329,-91.8704748979543,-85.0737598448159,53.405275256349626,177.06383660968956,"pixel-distance cells are repeated, spatially and serially correlated measurements"
18,3,4.0,26.397984924679577,126.8937209553435,-100.49573603066392,-92.03021038355617,83.30980232228809,232.54924748020085,"pixel-distance cells are repeated, spatially and serially correlated measurements"
19,4,2.0,29.976020004184825,111.04355392478121,-81.06753392059639,-76.5755869897636,46.43930650809339,147.14130675273725,"pixel-distance cells are repeated, spatially and serially correlated measurements"
20,4,1.0,-0.6626835856025648,124.19766507888437,-124.86034866448693,-111.93535938210047,81.20222946023479,342.84779505688203,"pixel-distance cells are repeated, spatially and serially correlated measurements"
21,4,4.0,8.878954528173562,117.68826890869421,-108.80931438052065,-96.3466233630368,40.411866277406496,176.6487316078789,"pixel-distance cells are repeated, spatially and serially correlated measurements"
22,4,4.0,12.971948854225593,118.20419527060173,-105.23224641637614,-98.8146228948703,42.121316012091015,166.23175485859218,"pixel-distance cells are repeated, spatially and serially correlated measurements"
23,4,1.0,-0.9426354538575743,117.10396601257148,-118.04660146642905,-117.09421675015776,65.39818252918,297.46348685772034,"pixel-distance cells are repeated, spatially and serially correlated measurements"
24,4,2.0,-7.858182510289458,118.20678316496551,-126.06496567525497,-109.43068948324208,40.8907475286612,179.98305948102777,"pixel-distance cells are repeated, spatially and serially correlated measurements"
25,5,1.0,17.752380545117816,106.68850186385475,-88.93612131873694,-72.71045391184262,248.4576990259531,686.7952913351442,"pixel-distance cells are repeated, spatially and serially correlated measurements"
26,5,4.0,8.89754594734962,124.41604594785206,-115.51850000050243,-111.9821147670262,70.00453066041587,260.94075826494685,"pixel-distance cells are repeated, spatially and serially correlated measurements"
27,5,2.0,-23.454165381634617,120.30759215829414,-143.76175753992877,-126.04949384129728,51.30478564994532,198.48902961070388,"pixel-distance cells are repeated, spatially and serially correlated measurements"
28,5,2.0,-20.081373672479614,125.41226056012553,-145.49363423260513,-128.63775759933213,44.048945629550516,196.03328019293482,"pixel-distance cells are repeated, spatially and serially correlated measurements"
29,5,4.0,-27.329451410857025,129.62151751207256,-156.95096892292958,-137.14620677282528,46.113526541620736,205.51807685482146,"pixel-distance cells are repeated, spatially and serially correlated measurements"
30,5,1.0,-16.395812030526855,124.35543309672694,-140.7512451272538,-124.76244778792517,42.964393703450924,215.56684061105722,"pixel-distance cells are repeated, spatially and serially correlated measurements"
31,6,4.0,-43.86765772526727,114.74586419646835,-158.6135219217356,-132.90352335808666,68.74889341648883,224.69601855383618,"pixel-distance cells are repeated, spatially and serially correlated measurements"
32,6,2.0,-23.707584323162145,125.1108799948152,-148.81846431797734,-139.06224556250822,67.79889831463308,405.16308304636044,"pixel-distance cells are repeated, spatially and serially correlated measurements"
33,6,1.0,-25.214302757242262,129.2894563677972,-154.50375912503944,-131.9876278914159,81.49241311824032,289.08831229561827,"pixel-distance cells are repeated, spatially and serially correlated measurements"
34,6,1.0,-32.51804775493093,124.11662968790117,-156.6346774428321,-143.73414301155276,63.477670027288475,390.3109339221758,"pixel-distance cells are repeated, spatially and serially correlated measurements"
35,6,2.0,-24.50878801422038,125.10059077626042,-149.6093787904808,-139.92755554074532,51.29802514381413,223.5733764771724,"pixel-distance cells are repeated, spatially and serially correlated measurements"
36,6,4.0,-12.45821127594744,129.01367413107366,-141.4718854070211,-125.96398165324327,50.342456232697025,216.50302017670586,"pixel-distance cells are repeated, spatially and serially correlated measurements"
