acquisition_order,block,source,map_start_time,map_end_time,map_midpoint_time,nominal_speed_um_per_s,safe_dmin_nm,detected_snap_max_nm,detected_snap_median_nm,detected_snap_p95_nm,snap_detected_pixels,noise_floor_pN,variant,baseline_method,dmin_nm,dmax_nm,minimum_pixels_per_fitted_bin,hydro_speed_um_s,no_slip_correction_applied_to_pixels,lambda_D_apparent_nm,surface_potential_magnitude_apparent_mV,baseline_pN,r2,residual_rmse_pN,weighted_sse,soft_l1_cost,optimizer_success,optimizer_nfev,jacobian_rank,normalized_jacobian_condition,local_log_lambda_scale,local_log_potential_scale,local_lambda_potential_correlation,local_scale_interpretation,fit_quality_pass,quality_flags,n_points,force_signal_pN,two_start_costs,data_speed_groups,zero_speed_extrapolated,model,probe_radius_um,temperature_model_C
19,4,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.23.55.544.jpk-force-map,2026-09-08T16:23:55.043000+02:00,2026-09-08T16:25:00.363000+02:00,2026-09-08T16:24:27.703000+02:00,2.0,25,14.2503472655605,10.702136711658317,12.078488629897912,61,3.0,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,12.386469869890966,49.29926207114568,20.98990445472184,0.9989279467762184,4.902658004577221,0.3890081258013085,0.19339555826211163,True,14,3,5.147822121873942,0.11473943338545946,0.10078659460170673,-0.9125578252898764,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,798.983030125104,0.193395558;0.193395558,1,False,nonlinear_pb_derjaguin,4.54685,25.6
20,4,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.25.31.280.jpk-force-map,2026-09-08T16:25:30.279000+02:00,2026-09-08T16:27:39.602000+02:00,2026-09-08T16:26:34.940500+02:00,1.0,25,13.287004241011598,10.943220541202647,12.855295786707698,60,3.0,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,12.174384786800523,48.940984793778824,1.4329449720254603,0.9990159431246584,4.543251238351272,0.22614163050441588,0.11274321421083311,True,9,3,4.826566050301446,0.1767233707426602,0.15369660810311145,-0.9038961653762471,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,762.3933055442341,0.112743214;0.112743214,1,False,nonlinear_pb_derjaguin,4.54685,25.6
21,4,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.27.52.284.jpk-force-map,2026-09-08T16:27:52.033000+02:00,2026-09-08T16:28:25.366000+02:00,2026-09-08T16:28:08.699500+02:00,4.0,25,13.281025477515284,10.463814821426261,12.230517628670055,60,3.0,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,12.66018853571506,50.202239795548415,6.442575448507303,0.999100438206901,4.737001110992048,0.3863083740109882,0.19214703796764154,True,16,3,4.675979742175037,0.09830250446265325,0.08423959045663885,-0.8947113665762825,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,834.9603291931357,0.192147038;0.192147038,1,False,nonlinear_pb_derjaguin,4.54685,25.6
22,4,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.28.41.781.jpk-force-map,2026-09-08T16:28:41.530000+02:00,2026-09-08T16:29:14.863000+02:00,2026-09-08T16:28:58.196500+02:00,4.0,20.0,11.315316375492538,9.373763658170093,10.931677556785038,61,3.0,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,12.735566062060434,49.48342569397803,6.35300554856252,0.9984730199665076,6.068537743661972,0.5372761577145929,0.26687541801714,True,32,3,4.592776898640076,0.10910154533829013,0.08899635124675301,-0.8900575488961715,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,828.7565146484155,0.266876268;0.266875418,1,False,nonlinear_pb_derjaguin,4.54685,25.6
23,4,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.29.38.863.jpk-force-map,2026-09-08T16:29:37.862000+02:00,2026-09-08T16:31:47.194000+02:00,2026-09-08T16:30:42.528000+02:00,1.0,25,15.184332709049373,9.914967033076087,11.958714706146807,61,3.4066643573534843,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,11.768911681433599,50.47316312393403,-4.779564159864239,0.9991194396402695,4.332142545329335,0.17366106060489764,0.08666686236553844,True,17,3,4.927003183239243,0.1430762302318896,0.12416652939041425,-0.9005620796474175,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,782.0524409065725,0.0866668624;0.0866668624,1,False,nonlinear_pb_derjaguin,4.54685,25.6
24,4,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.32.05.092.jpk-force-map,2026-09-08T16:32:04.592000+02:00,2026-09-08T16:33:09.926000+02:00,2026-09-08T16:32:37.259000+02:00,2.0,20.0,11.195667976984371,9.041531309629747,10.88033369394374,58,3.0,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,12.10936290383699,50.299393899552165,-8.162208675818793,0.9994499037190501,3.528167176503089,0.24237931405048532,0.12081356942532762,True,17,3,5.660535904832919,0.1144149948844129,0.09151917624169015,-0.9263531776894293,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,792.7629313438583,0.120813569;0.120813569,1,False,nonlinear_pb_derjaguin,4.54685,25.6
25,5,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.33.27.648.jpk-force-map,2026-09-08T16:33:26.647000+02:00,2026-09-08T16:35:35.986000+02:00,2026-09-08T16:34:31.316500+02:00,1.0,20.0,11.60637459284393,8.994466872651753,11.403034741446863,58,3.4570390492268612,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,12.785005839549296,48.113976503425825,14.172031905268815,0.9984865299553154,5.7651179891391555,0.029529272356492674,0.014758411731160992,True,15,3,4.535881682477661,0.47590200950884454,0.35765173673337025,-0.8896615967838108,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,782.8030778416396,0.0147584117;0.0147584117,1,False,nonlinear_pb_derjaguin,4.54685,25.6
26,5,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.35.50.129.jpk-force-map,2026-09-08T16:35:49.878000+02:00,2026-09-08T16:36:23.211000+02:00,2026-09-08T16:36:06.544500+02:00,4.0,25,12.925042770405595,7.933370922793362,10.111617800697172,55,3.0,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,12.868549710445919,48.31970577681618,1.1606989002594825,0.9988911668024869,5.030762731704312,0.24156925293118714,0.12039855014032508,True,26,3,4.647185500845703,0.15525771437134414,0.13038334289514059,-0.8921582059465292,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,791.7074005526208,0.12039855;0.12039855,1,False,nonlinear_pb_derjaguin,4.54685,25.6
27,5,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.37.03.865.jpk-force-map,2026-09-08T16:37:03.364000+02:00,2026-09-08T16:38:08.693000+02:00,2026-09-08T16:37:36.028500+02:00,2.0,20.0,11.129544196292482,7.982221204827343,9.84125004116108,58,3.0,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,11.894511464469396,50.856306106749074,-19.6395934549319,0.9992422503333181,4.129562175775251,0.33508958099812797,0.16682992209000114,True,18,3,5.275405151098707,0.1167768607526455,0.10565025827788055,-0.9170361340950116,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,796.845981400526,0.166829922;0.166829922,1,False,nonlinear_pb_derjaguin,4.54685,25.6
28,5,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.38.22.628.jpk-force-map,2026-09-08T16:38:22.127000+02:00,2026-09-08T16:39:27.460000+02:00,2026-09-08T16:38:54.793500+02:00,2.0,20.0,10.072162783142673,7.84319686887427,9.453296390273799,57,3.0,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,11.974416960265767,50.10882122967501,-18.910147895211647,0.9994841477159664,3.347414794859227,0.21393265594164707,0.10667457260421509,True,18,3,5.1758376268962385,0.1194001766074875,0.1004365180695413,-0.9147763903977673,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,783.5221390772242,0.106674573;0.106674573,1,False,nonlinear_pb_derjaguin,4.54685,25.6
29,5,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.39.43.669.jpk-force-map,2026-09-08T16:39:43.419000+02:00,2026-09-08T16:40:16.750000+02:00,2026-09-08T16:40:00.084500+02:00,4.0,20.0,9.388378708381541,7.438003191757275,9.014553937567214,57,3.0,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,12.519920216103484,49.975706711547495,-26.73606676154844,0.9993151826221863,4.0453931451953045,0.2504474847323391,0.12478812820989948,True,34,3,4.694853790532326,0.12866179297268956,0.10652533619112253,-0.8976022669383448,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,816.8804661184245,0.124788714;0.124788128,1,False,nonlinear_pb_derjaguin,4.54685,25.6
30,5,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.40.42.235.jpk-force-map,2026-09-08T16:40:41.235000+02:00,2026-09-08T16:42:50.560000+02:00,2026-09-08T16:41:45.897500+02:00,1.0,20.0,11.620970672138927,7.944937230305101,9.98727677936869,58,3.0,common_25_250nm,linear_drift_corrected,25.0,250.0,64,0.0,False,12.313502767598296,48.96010597998459,-19.541697798289324,0.999307789042017,3.8544599429931443,0.2266250670328406,0.11305882649235288,True,7,3,4.618274852769332,0.11389514759207052,0.0939513890011093,-0.8912061457528909,spatial_weight_curvature_no_downscaling_not_experimental_CI,True,,46,776.2623029055521,0.113058826;0.113058826,1,False,nonlinear_pb_derjaguin,4.54685,25.6
