acquisition_order,point_index,baseline_method,reference_window_min_nm,reference_window_max_nm,per_pixel_reference_median_pN,finite_reference_bins
1,0,linear_drift_corrected,200.0,250.0,32.751285466692714,11
1,1,linear_drift_corrected,200.0,250.0,-97.89124776444666,11
1,2,linear_drift_corrected,200.0,250.0,-64.85344656247088,11
1,3,linear_drift_corrected,200.0,250.0,73.57783951915043,11
1,4,linear_drift_corrected,200.0,250.0,141.6894417618886,11
1,5,linear_drift_corrected,200.0,250.0,137.505768995082,11
1,6,linear_drift_corrected,200.0,250.0,154.2208558341965,11
1,7,linear_drift_corrected,200.0,250.0,-8.620469600847299,11
1,8,linear_drift_corrected,200.0,250.0,111.54874179736738,11
1,9,linear_drift_corrected,200.0,250.0,-200.21908761608373,11
1,10,linear_drift_corrected,200.0,250.0,-298.6645350830001,11
1,11,linear_drift_corrected,200.0,250.0,-188.25478101099912,11
1,12,linear_drift_corrected,200.0,250.0,90.94163799146887,11
1,13,linear_drift_corrected,200.0,250.0,-201.71179082032558,11
1,14,linear_drift_corrected,200.0,250.0,-42.65353068300758,11
1,15,linear_drift_corrected,200.0,250.0,-40.36422631747748,11
1,16,linear_drift_corrected,200.0,250.0,-16.975884984382745,11
1,17,linear_drift_corrected,200.0,250.0,-59.624015617591894,11
1,18,linear_drift_corrected,200.0,250.0,-177.1037020240638,11
1,19,linear_drift_corrected,200.0,250.0,73.96936682613148,11
1,20,linear_drift_corrected,200.0,250.0,-117.68871240927521,11
1,21,linear_drift_corrected,200.0,250.0,-65.51287946794614,11
1,22,linear_drift_corrected,200.0,250.0,80.22331822336483,11
1,23,linear_drift_corrected,200.0,250.0,-24.31574873543901,11
1,24,linear_drift_corrected,200.0,250.0,0.075425120940106,11
1,25,linear_drift_corrected,200.0,250.0,-207.2394407520072,11
1,26,linear_drift_corrected,200.0,250.0,94.61140879305304,11
1,27,linear_drift_corrected,200.0,250.0,63.13315074083097,11
1,28,linear_drift_corrected,200.0,250.0,54.230187135760374,11
1,29,linear_drift_corrected,200.0,250.0,-46.553806296718896,11
1,30,linear_drift_corrected,200.0,250.0,-45.52686435962619,11
1,31,linear_drift_corrected,200.0,250.0,-4.85819776448697,11
1,32,linear_drift_corrected,200.0,250.0,60.99811400417357,11
1,33,linear_drift_corrected,200.0,250.0,54.7066634288331,11
1,34,linear_drift_corrected,200.0,250.0,-134.37493392557826,11
1,35,linear_drift_corrected,200.0,250.0,-138.14354130247173,11
1,36,linear_drift_corrected,200.0,250.0,26.587261186314795,11
1,37,linear_drift_corrected,200.0,250.0,-29.985029361602017,11
1,38,linear_drift_corrected,200.0,250.0,-15.890326320914951,11
1,39,linear_drift_corrected,200.0,250.0,-21.066704254193624,11
1,40,linear_drift_corrected,200.0,250.0,86.65080658203006,11
1,41,linear_drift_corrected,200.0,250.0,153.9716337788915,11
1,42,linear_drift_corrected,200.0,250.0,-116.41152811475789,11
1,43,linear_drift_corrected,200.0,250.0,-26.721249167840234,11
1,44,linear_drift_corrected,200.0,250.0,-25.21742319150214,11
1,45,linear_drift_corrected,200.0,250.0,58.66603720130515,11
1,46,linear_drift_corrected,200.0,250.0,-33.076465684253776,11
1,47,linear_drift_corrected,200.0,250.0,-76.93095711650581,11
1,48,linear_drift_corrected,200.0,250.0,159.72734909959155,11
1,49,linear_drift_corrected,200.0,250.0,-105.8764629869301,11
1,50,linear_drift_corrected,200.0,250.0,-118.14818532540826,11
1,51,linear_drift_corrected,200.0,250.0,61.614397392903676,11
1,52,linear_drift_corrected,200.0,250.0,29.37116121269895,11
1,53,linear_drift_corrected,200.0,250.0,68.99502854638328,11
1,54,linear_drift_corrected,200.0,250.0,-35.03981221553225,11
1,55,linear_drift_corrected,200.0,250.0,4.918038246139908,11
1,56,linear_drift_corrected,200.0,250.0,-100.47129067640088,11
1,57,linear_drift_corrected,200.0,250.0,55.253043792930804,11
1,58,linear_drift_corrected,200.0,250.0,116.15520039846132,11
1,59,linear_drift_corrected,200.0,250.0,64.32647746032454,11
1,60,linear_drift_corrected,200.0,250.0,-7.199826739903776,11
1,61,linear_drift_corrected,200.0,250.0,35.30469273121323,11
1,62,linear_drift_corrected,200.0,250.0,119.58133305689603,11
1,63,linear_drift_corrected,200.0,250.0,149.79974048901013,11
1,0,far_constant_referenced,200.0,250.0,-31.950767404864933,11
1,1,far_constant_referenced,200.0,250.0,59.82999748916681,11
1,2,far_constant_referenced,200.0,250.0,30.92140903706263,11
1,3,far_constant_referenced,200.0,250.0,77.65597509733783,11
1,4,far_constant_referenced,200.0,250.0,1.0268016528857475,11
1,5,far_constant_referenced,200.0,250.0,46.61963860696426,11
1,6,far_constant_referenced,200.0,250.0,29.531928019835632,11
1,7,far_constant_referenced,200.0,250.0,78.06211861521072,11
1,8,far_constant_referenced,200.0,250.0,20.857742624577465,11
1,9,far_constant_referenced,200.0,250.0,42.29791737826385,11
1,10,far_constant_referenced,200.0,250.0,92.66962865937997,11
1,11,far_constant_referenced,200.0,250.0,70.3483226439836,11
1,12,far_constant_referenced,200.0,250.0,50.60162854664401,11
1,13,far_constant_referenced,200.0,250.0,139.77972001746278,11
1,14,far_constant_referenced,200.0,250.0,17.248658908887748,11
1,15,far_constant_referenced,200.0,250.0,76.11826697401854,11
1,16,far_constant_referenced,200.0,250.0,-40.09864368130913,11
1,17,far_constant_referenced,200.0,250.0,55.674338012053646,11
1,18,far_constant_referenced,200.0,250.0,43.94793388108151,11
1,19,far_constant_referenced,200.0,250.0,46.967040040719645,11
1,20,far_constant_referenced,200.0,250.0,95.87774464592843,11
1,21,far_constant_referenced,200.0,250.0,6.8299832768035245,11
1,22,far_constant_referenced,200.0,250.0,38.32609193933685,11
1,23,far_constant_referenced,200.0,250.0,32.456498086564366,11
1,24,far_constant_referenced,200.0,250.0,64.13382171346878,11
1,25,far_constant_referenced,200.0,250.0,92.15884690675091,11
1,26,far_constant_referenced,200.0,250.0,121.2156624649474,11
1,27,far_constant_referenced,200.0,250.0,52.60677898686027,11
1,28,far_constant_referenced,200.0,250.0,50.17509366836462,11
1,29,far_constant_referenced,200.0,250.0,34.57140019137115,11
1,30,far_constant_referenced,200.0,250.0,14.855386672994113,11
1,31,far_constant_referenced,200.0,250.0,81.67631576072357,11
1,32,far_constant_referenced,200.0,250.0,69.65102542045726,11
1,33,far_constant_referenced,200.0,250.0,113.59895930153628,11
1,34,far_constant_referenced,200.0,250.0,13.085266928138848,11
1,35,far_constant_referenced,200.0,250.0,14.285800477351552,11
1,36,far_constant_referenced,200.0,250.0,100.11528135917523,11
1,37,far_constant_referenced,200.0,250.0,23.069675178297988,11
1,38,far_constant_referenced,200.0,250.0,115.68829425720492,11
1,39,far_constant_referenced,200.0,250.0,112.30906544814582,11
1,40,far_constant_referenced,200.0,250.0,49.993816345095,11
1,41,far_constant_referenced,200.0,250.0,43.30164623802698,11
1,42,far_constant_referenced,200.0,250.0,60.606615233912706,11
1,43,far_constant_referenced,200.0,250.0,43.73080019012145,11
1,44,far_constant_referenced,200.0,250.0,57.82241505183852,11
1,45,far_constant_referenced,200.0,250.0,71.10186759560936,11
1,46,far_constant_referenced,200.0,250.0,67.76853493719268,11
1,47,far_constant_referenced,200.0,250.0,26.901068373676896,11
1,48,far_constant_referenced,200.0,250.0,87.08364308532575,11
1,49,far_constant_referenced,200.0,250.0,50.525051817031574,11
1,50,far_constant_referenced,200.0,250.0,125.64981679094322,11
1,51,far_constant_referenced,200.0,250.0,49.51365281253123,11
1,52,far_constant_referenced,200.0,250.0,17.38921587023288,11
1,53,far_constant_referenced,200.0,250.0,111.93871593906486,11
1,54,far_constant_referenced,200.0,250.0,73.9294072134231,11
1,55,far_constant_referenced,200.0,250.0,74.70583788147096,11
1,56,far_constant_referenced,200.0,250.0,48.57614910491975,11
1,57,far_constant_referenced,200.0,250.0,152.03237090834787,11
1,58,far_constant_referenced,200.0,250.0,73.87066512930562,11
1,59,far_constant_referenced,200.0,250.0,56.12388332455962,11
1,60,far_constant_referenced,200.0,250.0,54.361496083337606,11
1,61,far_constant_referenced,200.0,250.0,42.68360717683167,11
1,62,far_constant_referenced,200.0,250.0,107.24408848637937,11
1,63,far_constant_referenced,200.0,250.0,36.070757590985714,11
2,0,linear_drift_corrected,200.0,250.0,-57.546997453663764,11
2,1,linear_drift_corrected,200.0,250.0,-179.1101181304466,11
2,2,linear_drift_corrected,200.0,250.0,-196.9315882866106,11
2,3,linear_drift_corrected,200.0,250.0,37.953743833009625,11
2,4,linear_drift_corrected,200.0,250.0,331.1636889447664,11
2,5,linear_drift_corrected,200.0,250.0,135.7835858788435,11
2,6,linear_drift_corrected,200.0,250.0,115.60565278504288,11
2,7,linear_drift_corrected,200.0,250.0,160.8990380942673,11
2,8,linear_drift_corrected,200.0,250.0,70.00164951468493,11
2,9,linear_drift_corrected,200.0,250.0,-86.9926060814866,11
2,10,linear_drift_corrected,200.0,250.0,-66.13512108772237,11
2,11,linear_drift_corrected,200.0,250.0,124.35810580784393,11
2,12,linear_drift_corrected,200.0,250.0,-46.41073249991386,11
2,13,linear_drift_corrected,200.0,250.0,139.11608699087756,11
2,14,linear_drift_corrected,200.0,250.0,227.72982340842623,11
2,15,linear_drift_corrected,200.0,250.0,-130.86343992922212,11
2,16,linear_drift_corrected,200.0,250.0,45.369645673605056,11
2,17,linear_drift_corrected,200.0,250.0,-159.30836374148984,11
2,18,linear_drift_corrected,200.0,250.0,104.81809088820236,11
2,19,linear_drift_corrected,200.0,250.0,-236.5166261127676,11
2,20,linear_drift_corrected,200.0,250.0,246.14862427705282,11
2,21,linear_drift_corrected,200.0,250.0,203.2406043584665,11
2,22,linear_drift_corrected,200.0,250.0,371.22587718109537,11
2,23,linear_drift_corrected,200.0,250.0,65.87947620193668,11
2,24,linear_drift_corrected,200.0,250.0,-337.00317370607985,11
2,25,linear_drift_corrected,200.0,250.0,87.19954007104984,11
2,26,linear_drift_corrected,200.0,250.0,-1.0064238536931716,11
2,27,linear_drift_corrected,200.0,250.0,-234.24998495953946,11
2,28,linear_drift_corrected,200.0,250.0,-206.39643334650316,11
2,29,linear_drift_corrected,200.0,250.0,-7.351746283163156,11
2,30,linear_drift_corrected,200.0,250.0,53.740441968927286,11
2,31,linear_drift_corrected,200.0,250.0,-112.01300617559791,11
2,32,linear_drift_corrected,200.0,250.0,65.63979396002247,11
2,33,linear_drift_corrected,200.0,250.0,-172.06376217264776,11
2,34,linear_drift_corrected,200.0,250.0,-97.03527414027272,11
2,35,linear_drift_corrected,200.0,250.0,-252.4861601401875,11
2,36,linear_drift_corrected,200.0,250.0,109.94082872995041,11
2,37,linear_drift_corrected,200.0,250.0,47.142292481892035,11
2,38,linear_drift_corrected,200.0,250.0,112.71656819726817,11
2,39,linear_drift_corrected,200.0,250.0,161.3235353264741,11
2,40,linear_drift_corrected,200.0,250.0,97.17950392179004,11
2,41,linear_drift_corrected,200.0,250.0,157.40903695753263,11
2,42,linear_drift_corrected,200.0,250.0,-40.432284560880674,11
2,43,linear_drift_corrected,200.0,250.0,99.02422934910271,11
2,44,linear_drift_corrected,200.0,250.0,42.98740732712084,11
2,45,linear_drift_corrected,200.0,250.0,-164.31515896466047,11
2,46,linear_drift_corrected,200.0,250.0,-126.0898830061827,11
2,47,linear_drift_corrected,200.0,250.0,330.2966886897871,11
2,48,linear_drift_corrected,200.0,250.0,87.88025162656258,11
2,49,linear_drift_corrected,200.0,250.0,-229.139167684244,11
2,50,linear_drift_corrected,200.0,250.0,-85.33477641319413,11
2,51,linear_drift_corrected,200.0,250.0,-115.13700503359058,11
2,52,linear_drift_corrected,200.0,250.0,18.800710267081065,11
2,53,linear_drift_corrected,200.0,250.0,110.84469268093194,11
2,54,linear_drift_corrected,200.0,250.0,-213.20759615809467,11
2,55,linear_drift_corrected,200.0,250.0,30.16678659900908,11
2,56,linear_drift_corrected,200.0,250.0,100.9568577284643,11
2,57,linear_drift_corrected,200.0,250.0,-19.204543124523923,11
2,58,linear_drift_corrected,200.0,250.0,-9.845556295776351,11
2,59,linear_drift_corrected,200.0,250.0,-27.162728657549007,11
2,60,linear_drift_corrected,200.0,250.0,19.865509527252193,11
2,61,linear_drift_corrected,200.0,250.0,-89.62473650609812,11
2,62,linear_drift_corrected,200.0,250.0,60.98558401032444,11
2,63,linear_drift_corrected,200.0,250.0,5.879378528309684,11
2,0,far_constant_referenced,200.0,250.0,-41.66697002469245,11
2,1,far_constant_referenced,200.0,250.0,71.11845506309655,11
2,2,far_constant_referenced,200.0,250.0,25.714565577034815,11
2,3,far_constant_referenced,200.0,250.0,91.09756078197705,11
2,4,far_constant_referenced,200.0,250.0,51.26319412027942,11
2,5,far_constant_referenced,200.0,250.0,107.89411766344976,11
2,6,far_constant_referenced,200.0,250.0,16.03160025108141,11
2,7,far_constant_referenced,200.0,250.0,84.9827717330983,11
2,8,far_constant_referenced,200.0,250.0,71.43904216971099,11
2,9,far_constant_referenced,200.0,250.0,81.0185540800075,11
2,10,far_constant_referenced,200.0,250.0,28.37485862415206,11
2,11,far_constant_referenced,200.0,250.0,63.21571162386259,11
2,12,far_constant_referenced,200.0,250.0,58.63083583575892,11
2,13,far_constant_referenced,200.0,250.0,18.90254166352328,11
2,14,far_constant_referenced,200.0,250.0,77.38914136281228,11
2,15,far_constant_referenced,200.0,250.0,38.234174920245,11
2,16,far_constant_referenced,200.0,250.0,2.9437142491324675,11
2,17,far_constant_referenced,200.0,250.0,111.89269507062166,11
2,18,far_constant_referenced,200.0,250.0,40.49081880550741,11
2,19,far_constant_referenced,200.0,250.0,65.49019015461745,11
2,20,far_constant_referenced,200.0,250.0,34.32745217326641,11
