acquisition_order,block,nominal_speed_um_per_s,source,source_sha256,approach_curves,approach_skipped_curves,retract_curves,retract_skipped_curves,instrument_failure_flag_count,valid_contact_curves,contact_fit_r2_median,contact_fit_r2_min,contact_invOLS_median_nm_per_V,contact_invOLS_mad_nm_per_V,terminal_load_median_nN,far_noise_pixel_median_pN,far_noise_pixel_p95_pN,far_noise_pixel_max_pN,far_noise_pixels_over_30pN,far_noise_pixels_over_50pN,far_slope_median_pN_per_100nm,far_slope_mad_pN_per_100nm,snap_detected_pixels,snap_detected_fraction,snap_distance_median_nm,snap_distance_p95_nm,snap_distance_max_nm,primary_dmin_nm,primary_dmax_nm,primary_r2,primary_rmse_pN,primary_force_signal_pN,primary_relative_rmse_percent,primary_lambda_D_apparent_nm,primary_potential_magnitude_apparent_mV,primary_fit_quality_pass,primary_quality_flags,common_80_250_r2,common_80_250_rmse_pN,common_80_250_force_signal_pN,common_80_250_relative_rmse_percent,common_80_250_fit_quality_pass,common_80_250_quality_flags,common_80_250_line_spatial_mad_pN,common_80_250_line_reference_subtracted_spatial_mad_pN,common_80_250_constant_spatial_mad_pN,common_80_250_constant_reference_subtracted_spatial_mad_pN,primary_window_line_spatial_mad_pN,primary_window_constant_spatial_mad_pN
1,1,2.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,5619b7286869401f1bb04e5fcf13dc0c8f962c69e4f3a1154d00fe6a83b377dd,64,0,64,0,0,64,0.9998833430786322,0.9996695016893367,79.63229141265235,0.4037915338780586,30.65414794360872,18.57954440656369,26.321179010081934,48.810044532617304,2,0,-11.276017292857468,19.101543443849767,63,0.984375,23.80023315635337,26.80816191542908,29.16552890190964,40.0,250.0,0.9862480677599652,5.559514182675938,239.31466222619505,2.323098021224126,15.080983495435957,38.29126732020783,False,broad_local_parameter_scale,0.6933369745703992,4.544677248519343,33.99440861337575,13.368896338826595,False,r2_below_0.70;broad_local_parameter_scale,109.13990243831772,28.385924209032105,37.49392960673689,21.888273882228663,112.37543180780541,38.44638356138067
2,1,1.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.18.11.440.jpk-force-map,c4cfb46d414b4aaea8e55a48fce0361f1fcffb9dedd3598f2fc9736d643cd079,64,0,64,0,0,62,0.9998190144049313,0.999234302794259,79.44616152872413,0.432945555812847,30.710260821528006,20.33425890318204,28.861779229429043,71.8826156560055,3,1,-7.9815356417346734,27.571532922025927,63,0.984375,23.518479434225593,28.786519229894523,35.15222269453039,45.0,250.0,0.9831821267364959,4.940975866143641,172.92539917527634,2.857287529598525,14.718969769959333,41.37416961405395,False,broad_local_parameter_scale,0.44421882813536406,4.7926544995638585,17.712682362820065,27.057756704449886,False,parameter_boundary;r2_below_0.70;weak_signal;broad_local_parameter_scale,164.82070846894865,31.709003565355395,40.674045960636136,26.616058572437584,167.54313620822066,41.412401172757264
3,1,4.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.20.29.129.jpk-force-map,e54bbb688df107ca8718b6992eaba9ba4bc751d348428f4bdd4a99d180ecac87,64,0,64,0,0,63,0.9998864949249779,0.999357038283055,79.54057449956605,0.5291409399233423,30.68088986408936,20.434845882436527,27.703710984294997,31.715166462273945,2,0,-4.254330664409653,20.923324946355038,64,1.0,29.464424225127388,34.864650465653774,37.52556539152271,50.0,250.0,0.9897572742599058,3.3531273255025504,151.71321943588956,2.210174787648945,17.278351641302628,37.34165333078305,False,broad_local_parameter_scale,0.774149127097318,3.34743028924728,24.830488008067036,13.48112968283085,False,broad_local_parameter_scale,136.37026439438438,26.214069204741175,42.54571690654873,23.880134125466054,138.9549893719262,41.93224299700712
4,1,4.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.06.677.jpk-force-map,3447b1a8cd387a5e299b31c96085dc6e661216788245dd67dfd7f0bc372d2d8b,64,0,64,0,0,64,0.9998599278090032,0.9995521670067437,79.55084604682841,0.599239163539845,30.62912801180782,19.333959563684655,24.81902100630535,37.14713429862583,1,0,-8.521479454550459,18.243519940250664,64,1.0,30.91582195455245,36.332357202151286,39.12294137599144,50.0,250.0,0.98275187954666,4.458186677537114,168.32514416711192,2.648556577566962,16.088863957915965,41.31529571184459,False,broad_local_parameter_scale,0.7080618128065468,4.261719523330868,35.79598429850215,11.905579932632822,False,broad_local_parameter_scale,126.96289288818664,27.796478100453488,35.08935780714732,22.929575463584385,129.45893974584226,35.50960430791394
5,1,1.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.58.335.jpk-force-map,800fe9a2ce23d0a312d788ee683c6a9b2de6c34e3fb2c405db7d214e540a1780,64,0,64,0,0,58,0.9997102490121228,0.9992243917704079,79.38009019922336,0.4075324220078115,30.740679055317408,19.301615318548286,27.693865541596807,38.77920203044121,1,0,-3.6058433447616083,20.89400638646501,64,1.0,33.07037243393227,39.25404024206279,43.065507326154254,55.0,250.0,0.8933260926234724,8.019439963181274,110.24222023537064,7.274381762322561,27.956631709771994,23.28256163367385,False,broad_local_parameter_scale,0.690788920847956,7.117195081803013,43.17617063766164,16.484081327015225,False,r2_below_0.70;broad_local_parameter_scale,126.83247693534454,31.888370584307815,36.54910304980776,27.481467739829494,128.03483711377396,37.943160218815514
6,1,2.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.24.49.530.jpk-force-map,3952f968b4a09ef3c8eb206c4296502375e7beeb07046dbb78e2dcd07a26b1bf,64,0,64,0,0,63,0.9998214612400596,0.9987094783806504,79.89073362206646,0.5903699063787897,30.618370917906663,20.020066527762722,36.12212180228838,53.3082439648768,9,2,-12.039803945876724,31.365873427818773,64,1.0,38.05369574326883,45.3938129008193,54.48820791047674,65.0,250.0,0.9235355876024228,6.350267709092263,97.15198084806092,6.5364263843715635,28.813377721794485,26.518071809004727,False,broad_local_parameter_scale,0.8022502026434929,6.52252025847344,51.2382952814842,12.729776083769243,False,broad_local_parameter_scale,202.35851502584188,33.41124510009965,61.21883463204313,30.770355407798977,207.9663925511465,61.979055050944424
7,2,1.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.26.16.096.jpk-force-map,f98f811b47fa733083d56aaf69145580d60d1bbe8832f516ea87c1c001473c0d,64,0,64,0,0,63,0.999751231267423,0.9991383696288251,79.86218171097292,0.39912804641494753,30.696000265666516,23.37656545143138,52.655643643342756,80.41805012328032,17,5,-9.757353564206127,38.87394140315035,64,1.0,40.56681002480384,44.86085561523697,46.81215119206033,55.0,250.0,0.8958225521605312,6.692363882671153,100.69851488685092,6.64594099544663,9.113283922404587,249.9999999999071,False,parameter_boundary;broad_local_parameter_scale,0.0038495262155670007,6.706137217503129,8.625514837248629,77.7476747074063,False,r2_below_0.70;weak_signal;broad_local_parameter_scale,249.80529935206792,48.67674751932998,63.4407186996964,37.61324059765693,249.3868718135154,64.61996061305598
8,2,4.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.30.36.270.jpk-force-map,0c10a0f5b8e556a344290bb021936a3f5c981dec4b30be7023f077f4b7206823,64,0,64,0,0,62,0.9998783937131509,0.9996464412084118,80.19717875080121,0.3992353381925957,30.632040842563192,18.748382199920567,28.740807188866455,33.64744357004636,1,0,-10.351854957670927,29.004744495010968,64,1.0,41.55945465251632,45.63968492969323,48.34757197593941,60.0,250.0,0.9252697526415261,5.32319487731253,95.37660445723375,5.581237566178419,15.27710806365279,45.04860600118018,False,broad_local_parameter_scale,0.5089675327282717,5.192384466353807,21.041019222343987,24.67743796764314,False,r2_below_0.70;broad_local_parameter_scale,167.80448089017443,26.398975242456302,39.17907600852923,21.28238114375298,170.07116710689314,39.50857958980886
9,2,2.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.33.30.403.jpk-force-map,ad91314cd3fd910f35c5d5f9472409e1640f894f5db8e8a6308bfd0db7e1e6f7,64,0,64,0,0,63,0.9997854349211839,0.9992006097566764,80.882033695723,0.5722374476337988,30.689519788477455,16.99512224799642,25.492804135228344,36.88080305430413,2,0,-10.323763308578705,15.36934316873784,64,1.0,40.702313541613734,47.67807982876429,56.51575566737629,65.0,250.0,0.8457969410530257,6.488212714287736,70.08662281342875,9.257419538617834,31.77073721233856,20.375721573261824,False,broad_local_parameter_scale,0.7163329410326724,5.439812060980189,21.431972604195042,25.38176098599255,False,weak_signal;broad_local_parameter_scale,110.01236592845525,22.71990307794382,39.88546549022694,18.981865539658756,109.92649426632545,41.726834865218095
10,2,2.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.36.43.160.jpk-force-map,9716fbed4170c075688266146f10bee77c8729602c6ba83ea0679da31994a5b1,64,0,64,0,0,63,0.9997665960701423,0.9993769270290223,81.21580931603684,0.6173024559909421,30.712234757571835,15.7637592749822,21.6749250762847,23.97949431700009,0,0,-7.523610290122423,19.467706888979343,64,1.0,38.795632441417446,48.529010266932765,50.83154477986967,60.0,250.0,0.835997347935851,8.329271757602866,83.4375849067803,9.9826376409488,27.777401623813525,22.997907481002294,False,broad_local_parameter_scale,0.6711210782552257,6.860278432182986,41.986119607217695,16.339396201319015,False,r2_below_0.70;broad_local_parameter_scale,110.36257012820599,22.24623279107818,36.26129590937102,19.16912971022383,112.61284646999941,36.26129590937102
11,2,4.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.40.44.079.jpk-force-map,6226664169d67c82006fcdee97f47f33035c10d7202b351284a83109c2fe5aa9,64,0,64,0,0,64,0.9998677460846601,0.9994242101807094,81.69385572726596,0.5911847086636537,30.645102870689144,18.011767573721297,22.039689431313032,25.05457987099978,0,0,-14.46112631576517,21.015551495136354,64,1.0,42.875653678472254,50.565600945955566,58.041348479207805,70.0,250.0,0.5723665292060979,5.9059684491750115,26.76540222395322,22.06568165782904,9.846732980707655,249.9999996401766,False,parameter_boundary;r2_below_0.70;broad_local_parameter_scale,0.281155459733758,5.931865347823544,23.58735213012827,25.1485004128409,False,parameter_boundary;r2_below_0.70;broad_local_parameter_scale,132.5221718012317,20.97338402783122,35.433838823946495,16.13966601785471,132.89490581680127,35.50211559015372
