acquisition_order,baseline_method,distance_nm,finite_pixel_count,force_pixel_median_pN,spatial_mad_pN,reference_subtracted_spatial_mad_pN,reference_definition
1,linear_drift_corrected,80.0,64,24.712466194133594,131.90903483623092,45.04844263927226,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,85.0,64,6.91692728872234,127.50311129937717,46.19310561558839,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,90.0,64,5.001973201072609,134.85986664457596,43.221978868576784,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,95.0,64,2.074218007168165,122.5857525095964,40.26278504522167,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,100.0,64,6.803557183546834,116.77792602971796,41.14950843596303,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,105.0,64,4.975311649833233,107.47663938709366,33.73008944930798,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,110.0,64,8.725233348271516,107.52795901235727,38.37635502921404,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,115.0,64,-6.032339100909965,108.41490103514909,38.66576791796224,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,120.0,64,-13.375874684885883,99.30764239377736,30.948022223371673,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,125.0,64,-15.892194465821177,105.36622404212416,33.98285459758703,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,130.0,64,-6.887358831315119,99.92788500818347,34.158027623809296,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,135.0,64,-8.056072705279657,102.74187945655652,32.319717601196615,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,140.0,64,-9.005885972635216,109.6498349083946,28.385924209032105,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,145.0,64,-9.728491569128629,105.70905290434288,29.441194294923047,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,150.0,64,-5.30882855597639,102.93353070434922,33.10282098918183,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,155.0,64,-8.047348313541978,115.3933397533708,29.233158687146776,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,160.0,64,-13.825504941288859,113.96235714134208,35.17641679738325,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,165.0,64,-7.271969260921894,112.37543180780541,30.77836500517918,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,170.0,64,-10.638059112058418,112.54921939445356,26.594639692128645,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,175.0,64,-2.442226479800734,105.61018443872608,24.36581067236893,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,180.0,64,-2.125266955029296,105.22828821125022,24.916115617796386,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,185.0,64,-7.5189176625812095,114.5103105473635,25.860153628951327,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,190.0,64,-8.618460251570333,109.24544563795189,23.99666560673974,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,195.0,64,-10.073124535458643,110.00552064690272,20.664148686545865,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,200.0,64,-9.729337045918161,99.13563327761736,12.47983531083189,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,205.0,64,-8.988008808201375,99.69066558501906,12.388344790942073,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,210.0,64,-10.554840003212512,109.13990243831772,12.417157215164735,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,215.0,64,-9.853026736167164,103.56147408418856,12.814768426133346,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,220.0,64,-9.24653835519824,104.48439912893647,13.299622865897586,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,225.0,64,-9.281942419242153,105.04971428329434,10.597530651474058,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,230.0,64,-15.028872555103476,117.06640142030632,9.861945380827605,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,235.0,64,0.9154613981076991,102.00456916398592,10.705430698209616,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,240.0,64,-8.127012121776033,115.92803361718745,10.776162474033631,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,245.0,64,-9.639837369558029,119.1509249644723,13.941699371766353,subtract each pixel median force over 200-250 nm before spatial MAD
1,linear_drift_corrected,250.0,64,-11.123620994551413,116.47101557238494,14.826907615243593,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,80.0,64,85.05043113996078,46.53137891243531,39.49346347433951,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,85.0,64,77.73130464894373,51.177850920334784,38.368676557994114,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,90.0,64,69.75962344538408,45.410475034922605,34.309236814212554,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,95.0,64,76.58829718528256,38.48234789727561,33.70329784908632,subtract each pixel median force over 200-250 nm before spatial MAD
