source,timestamp,block,nominal_speed_um_per_s,point_index,sensitivity_nm_per_V,sensitivity_40nm_nm_per_V,sensitivity_60nm_nm_per_V,contact_fit_R2,contact_points,valid_for_consensus,retained_for_global_consensus
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,0,79.14221295597618,78.91389895769224,79.07942469074516,0.9998423402621406,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,1,79.50737500984526,79.67106292307375,79.09206698329999,0.9997753667367648,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,2,79.11081654692381,79.02098338561322,79.3391913912618,0.9998783929710924,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,3,79.72664192104894,79.25555065460607,79.40755597957684,0.9997722325737439,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,4,79.08601890190661,79.34835375205185,79.25476219574041,0.999889962250706,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,5,78.85867578614886,78.90065037877565,79.00996918854466,0.9996695016893367,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,6,81.01630194599993,81.37324312042405,80.14080934227256,0.9999180884143474,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,7,80.1667489573845,80.50245153458553,79.71225573714102,0.9998774176490455,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,8,79.68237856517626,79.86637224876252,79.630311755058,0.9997957578687463,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,9,79.27446820512081,79.25877193533786,79.29677316817936,0.9999109028410185,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,10,79.51440701057554,79.58322962347536,79.44217298081811,0.9997953553144405,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,11,79.59275343847801,79.49996475673258,79.73732987628105,0.9999258044364236,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,12,79.83367978378521,80.26670181351994,79.6115088942261,0.9997674804022767,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,13,78.81392467151267,78.95907463058525,79.11103361651007,0.999932638038064,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,14,79.50926495743578,79.50607264880645,79.56926901075988,0.9999157213671502,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,15,79.31421418685593,79.09320624389478,79.35476542812349,0.9997817876419666,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,16,79.6743705510782,79.80889685939825,79.21385600859061,0.9998013075085009,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,17,79.33583312610257,79.1986472368394,79.23738230261185,0.9998820082674723,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,18,79.6808693396893,79.42240644987413,79.44220799457975,0.999888948783964,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,19,79.61415754954083,79.47295806718165,79.58289288402506,0.9998653059133256,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,20,79.41040033115513,79.5604375140018,79.18839658145409,0.999939891946697,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,21,79.92243639537567,80.39459070433598,79.7811204253835,0.99984909045224,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,22,79.24824077264867,79.68874537010046,79.21161614516984,0.9998519327582698,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,23,79.93446335158312,80.14145311987127,79.55894384554595,0.9998195536379512,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,24,79.26880280724531,79.13423831753988,79.48901130811657,0.999933031518117,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,25,79.27340591181877,79.40602789516333,79.05420160537328,0.9999378593179007,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,26,79.30501726660218,79.2051124223654,79.19628259567418,0.9999146691203357,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,27,79.59354040051872,79.3558762977276,79.56008396772746,0.9997885736109009,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,28,79.84821875695923,79.7714696012966,79.64032598060737,0.9999208938063918,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,29,79.74800423112701,80.08044269745051,79.76276730209499,0.9999202044992295,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,30,79.48423807533273,79.5833618188791,79.2485357895012,0.999857095956963,50,True,True
